epoch,train_loss,val_loss,train_mae,val_mae,lr
0,3.0579006537412985,0.4990734472161248,0.5051716052568875,0.20107439089389073,0.02
1,0.9711588529440073,0.9341333139510382,0.2517955318475381,0.27215221382322763,0.02
2,0.9366254375531123,0.7044882433755058,0.26200125079888564,0.24537344631694613,0.02
3,0.9510139465332031,0.6959950100807917,0.27175915967195463,0.24496477842330933,0.02
4,0.9457207105098626,0.6640552736464,0.27280981357281026,0.23913215455554782,0.02
5,0.9016552191514235,0.600818741889227,0.26365279043332124,0.22266536951065063,0.02
6,0.7761521535042005,0.5246279892467317,0.2334293076625237,0.20311902392478215,0.02
7,0.6324058893399361,0.33991514926864985,0.20191478790381015,0.15568951268990835,0.02
8,0.5665267870976375,0.3485892386663528,0.20232877532641094,0.16425544236387526,0.02
9,0.41205069774236436,0.3435428710210891,0.1732329954703649,0.17010034762677692,0.02
10,0.34288005645458514,0.3560825302487328,0.15480120487702198,0.16360318660736084,0.02
11,0.41527425325833833,0.3358814375741141,0.1723350757207626,0.15922348272232784,0.02
12,0.3698902937082144,0.3230387568473816,0.15045344202946395,0.1472927757671901,0.02
13,0.39165784670756415,0.27708747557231356,0.1595462060127503,0.14147132422242845,0.02
14,0.3840947848099929,0.3086822373526437,0.1574314303887196,0.15066265350296384,0.02
15,0.42348912847347747,0.32660069068272907,0.18294879771195927,0.17615228181793577,0.02
16,0.40991490529133723,0.30177027270907447,0.17673283486794203,0.14747045295579092,0.02
17,0.32782075313421394,0.29402351521310355,0.14396483592497997,0.15401010499114082,0.02
18,0.3037881669325706,0.25774641973631723,0.13952320351814612,0.13247038565930866,0.02
19,0.3221305686693925,0.25488016718909856,0.14058001583967453,0.13506470123926798,0.02
20,0.3179045493786152,0.3230361753985995,0.13876689710678197,0.15877108027537665,0.02
21,0.23711517147528818,0.48654790719350177,0.12012172364271605,0.19230584303538004,0.02
22,0.25236197740603716,0.20905764471916927,0.12635682309285187,0.12895353315841585,0.02
23,0.27317212911752553,0.331798276021367,0.135483947625527,0.1527722825606664,0.02
24,0.44927654633155234,0.5538373703048343,0.1564692410138937,0.19378152844451724,0.02
25,0.5264520590121929,0.4681612423488072,0.1981395240013416,0.18907022405238377,0.02
26,0.40693932649416803,0.4647844816957201,0.16845102799244416,0.19655893459206536,0.02
27,0.4713731987354083,0.30378999028887066,0.1735507207039075,0.14069586850347973,0.02
28,0.3285918400837825,0.4274750635737464,0.15716433410461134,0.16557261418728603,0.02
29,0.4026565160506811,0.6245580429122561,0.1656219794200017,0.21258105408577693,0.02
30,0.3507691082281944,0.3327083275431678,0.14631692388883002,0.14494664541312627,0.02
31,0.2720851081686142,0.2791635145743688,0.1314399248896501,0.13738144650345757,0.02
32,0.2596438562258696,0.2646971969377427,0.1321583681381666,0.13065827034768604,0.02
33,0.18208385018201975,0.23385805317333766,0.10617956618467966,0.12304818559260595,0.02
34,0.17723500537089049,0.2384233417965117,0.10895249110001784,0.12899578043392726,0.02
35,0.2089630111096761,0.24323020165874845,0.12035666241859778,0.12727125059990657,0.02
36,0.20038603452535775,0.27646707991758984,0.11460339350578112,0.12946774810552597,0.02
37,0.20512591420839996,0.26533210348515285,0.13035200562996743,0.14906451744692667,0.02
38,0.1880523791679969,0.33074361440681277,0.12144487744722611,0.1566324234008789,0.02
39,0.2653745418939835,0.26480186269396827,0.1347727637260388,0.13154126490865434,0.02
40,0.16592165055947425,0.46354363078162786,0.10698778010331668,0.17395137676170894,0.02
41,0.21193924286904242,0.2897279269638516,0.11841114115638611,0.14174813564334596,0.02
42,0.18662597005948042,0.23987856862090884,0.11539864597412255,0.12041578370900381,0.02
43,0.16291600465774536,0.23987646329970586,0.10834950361496364,0.1244765158210482,0.02
44,0.12896723976502053,0.20712077475729443,0.09794379266408773,0.11795128385225932,0.02
45,0.1473774151924329,0.21589302236125582,0.10882893346059017,0.11872851032586325,0.02
46,0.1680036214681772,0.3468985997495197,0.10713665592364775,0.14775395357892626,0.02
47,0.4181463531958751,0.5373320409229824,0.16913552887928793,0.1959933993362245,0.02
48,0.2711832913546226,0.23577009780066355,0.13954400280729318,0.13901337413560777,0.02
49,0.26497731965321764,0.22565851183164687,0.12363217985018705,0.12476229986974172,0.02
50,0.2303014425513072,0.24850577541760036,0.12289840315396969,0.12545653751918248,0.02
51,0.24729588826497395,0.27532186749435605,0.118083517291607,0.13020682299420946,0.02
52,0.2323701336597785,0.3060795629308337,0.12720434612188583,0.15788809813204266,0.02
53,0.19137687194041716,0.22867071628570557,0.11217960371420933,0.13334100303195773,0.02
54,0.1667774979120646,0.2899907777706782,0.11101734634393301,0.14839911177044823,0.02
55,0.19112973641126585,0.248221755027771,0.10981574746278616,0.13616919588475002,0.02
56,0.21267886484662693,0.2224739066192082,0.11953520167332429,0.13249083005246662,0.02
57,0.18059901558817962,0.2819918550196148,0.11026098909668433,0.14902951745759874,0.02
58,0.16664436276142414,0.2772368433929625,0.10574905620171474,0.14584548700423466,0.02
59,0.11188370501383757,0.2802288674172901,0.09226509004067152,0.1379428371077492,0.02
60,0.10411064838751768,0.2828825130349114,0.08120618720467274,0.1370315956217902,0.02
61,0.11652910495415712,0.25965056390989394,0.08998562128115924,0.132879505554835,0.02
62,0.10686342517534891,0.28382054964701336,0.08474464836793068,0.13782048651150294,0.02
63,0.15036385854085285,0.27808372037751333,0.10721654089597556,0.14667170956021264,0.02
64,0.1817908490315462,0.3092388255255563,0.1122014718177991,0.1566500507649921,0.02
65,0.13472534937736316,0.28294577910786584,0.09758094216768558,0.14676826908474877,0.01
66,0.11382772603478188,0.26444095834380105,0.08792241166035335,0.13869454534280867,0.01
67,0.1225650191689149,0.26573101253736586,0.09200955537649301,0.140154606174855,0.01
68,0.09776178487600425,0.27498029669125873,0.08061458510466112,0.140979636992727,0.01
69,0.08861989583342503,0.2962450441860017,0.08122980292790975,0.14532158488319033,0.01
70,0.10878101295003524,0.2891209636415754,0.08909924698945804,0.14123075065158663,0.01
71,0.08951421166077639,0.27473158070019316,0.08209788562395634,0.13689693028018587,0.01
72,0.09281740761720217,0.26031373299303506,0.08452613659394093,0.13109165359111058,0.01
73,0.11032011875739464,0.2669999258858817,0.09271636192615215,0.13144189332212722,0.01
74,0.07085021751431318,0.26954790524074007,0.06936418708318319,0.13294986599967593,0.01
75,0.12143005316074078,0.2738177350589207,0.09130063958657093,0.13813994328180948,0.01
76,0.11724863388599494,0.30643989571503233,0.09216432326879256,0.1517795565582457,0.01
77,0.15233049782422872,0.29055084500994,0.09519841846747276,0.1432945423182987,0.01
78,0.09990818867316613,0.34466161685330526,0.08765072150108141,0.15955241379283724,0.01
79,0.09893570924416567,0.3355995281821206,0.08370680694396679,0.15768036068904967,0.01
80,0.11352813752033772,0.3345297120866321,0.08979800660640766,0.14979899852048784,0.01
81,0.09395866424609453,0.31334300410179866,0.07751425917331989,0.14240523676077524,0.01
82,0.08242605985739292,0.3112317593324752,0.08009049044205592,0.13930135326726095,0.01
83,0.11600545132771517,0.36456838108244394,0.09024678134383299,0.1592465341091156,0.01
84,0.08364020733115,0.37591383925506044,0.07710257611977749,0.14964402892759868,0.01
85,0.08982958558660287,0.32829199518476215,0.07848463979287025,0.14617217793351128,0.01
86,0.08154352628267729,0.30606148072651457,0.07677856179384085,0.14459162169978731,0.005
87,0.06538567061607654,0.3082610418399175,0.0709997024291601,0.14022964593910037,0.005
88,0.0931290314747737,0.28844430333092097,0.08258450638789397,0.14420649019025622,0.005
89,0.07890129960500276,0.28554409245649975,0.07260135381649702,0.1386577770823524,0.005
90,0.0643755712474768,0.30277313646816073,0.07295534305083445,0.14501620048568362,0.005
91,0.08338024675464019,0.3150399894941421,0.08260571773235614,0.14625157770656405,0.005
92,0.07816165543328493,0.34293006644362495,0.07472764221139443,0.14618575253656932,0.005
93,0.08591505048366693,0.3363321678979056,0.07681818012243662,0.1465351049389158,0.005
94,0.06984439186560802,0.30612526337305707,0.0690165624404565,0.14151983246916816,0.005
95,0.06352346948324106,0.32616918427603586,0.06755795295421894,0.14498224499679746,0.005
96,0.07717054459529045,0.33319573459171115,0.07192828227312137,0.1384648560058503,0.005
97,0.06289428227031842,0.32914238174756366,0.06785877606807611,0.14612816025813422,0.005
98,0.06392830732541206,0.3426944812138875,0.06866426941676018,0.14794903780732835,0.005
99,0.08481393196643927,0.38371622278576806,0.0768489386790838,0.14784520722570874,0.005
100,0.10551376594946935,0.33423758546511334,0.08620919447678786,0.1368978711820784,0.005
101,0.0889605714342533,0.30901170273621875,0.08149862652405715,0.1532011301744552,0.005
102,0.08802198372208155,0.3088200943810599,0.0799559391843967,0.14561917242549716,0.005
103,0.07945835525408769,0.3470259897765659,0.0745979939133693,0.14237723499536514,0.005
104,0.0637307563653359,0.3238027095794678,0.07080617927205868,0.1377273936356817,0.005
105,0.04550969585394248,0.31497976893470403,0.058006144830813774,0.14205573357286908,0.005
106,0.07124769504253681,0.29420439686094013,0.0688029197546152,0.13798469375996364,0.005
107,0.054495850740334924,0.3037962572915213,0.06278230349222819,0.14177392494110835,0.0025
108,0.0628266788732547,0.3088949762639545,0.07164246300474192,0.14215682659830367,0.0025
109,0.042635855255409694,0.3183960978473936,0.056540033144828604,0.14469607919454575,0.0025
110,0.06929744604306343,0.3292553552559444,0.07059640983740488,0.1467876590433575,0.0025
111,0.052240932637300244,0.3777921682312375,0.05973839266942098,0.15188532712913694,0.0025
112,0.06155611949089246,0.37351342751866295,0.0665642207249617,0.14822502043985186,0.0025
