run,mae_log_K,mae_log_G,mae_gamma,gamma_corr,kappa_mae_predicted,recall10_predicted
BASELINE 1022-xtal,0.1817,0.1898,0.1923,0.5662,0.3408,0.19
r9_full_s42,0.12503524124622345,0.1527700573205948,0.13902454677058237,0.5461960757982129,0.2502712146004018,0.43373493975903615
r9_full_s1,0.12696093320846558,0.1548190414905548,0.13968450896478526,0.533597138328486,0.2538282685438667,0.4578313253012048
r9_full_s2,0.1507311314344406,0.1726493388414383,0.1494276652277598,0.4649921162475629,0.26601949425317095,0.39759036144578314
