epoch,train_loss,val_loss,train_mae,val_mae,lr
0,0.9671620614347153,0.2453992363897342,0.24396978159042876,0.12410219809384022,0.00999938933078422
1,0.2280958650512358,0.1860946616501484,0.11515707591895613,0.10241062758327688,0.009997557473810372
2,0.19608528734400468,0.18779382775130782,0.10618104196589878,0.11132821238156661,0.009994504881061753
3,0.1941092370344129,0.1755115906301054,0.10561703298564944,0.1051909755734564,0.009990232305719946
4,0.18560423468632067,0.16293056714303286,0.10323234593941105,0.09843202774385804,0.009984740801978986
5,0.1755011580722677,0.19486242084248553,0.10011432497933974,0.10372705084895625,0.009978031724785247
6,0.17825788553228245,0.1480729436700784,0.1009863354018661,0.09272001705412726,0.009970106729503141
7,0.18135514519038243,0.14825343015124498,0.1028388086301951,0.09091411690110142,0.009960967771506667
8,0.17621293602366703,0.18563710861993069,0.10014408256433795,0.11580282514824451,0.00995061710569696
9,0.17316556845633854,0.15375482327151066,0.10056441742938946,0.09744906642483277,0.009939057285945933
10,0.16000623444775552,0.13263731240068824,0.0956328872190683,0.08673246277188792,0.009926291164466132
11,0.16043634860138328,0.13357142236047578,0.09967926143437426,0.08451126725638955,0.009912321891107011
