split,n,MAE_log10,R2,MAE_GPa,rel_error_pct,pct_of_range
train,7691,0.03186833482618807,0.9855439392172894,3.4153663204791025,7.61389108493058,0.6542845585288832
val,1648,0.07846738434242971,0.9034500929903787,7.204616934489469,19.802914743084067,1.3801944412483707
test,1648,0.07814470165586974,0.8991051418174498,7.26958747673109,19.713933717762934,1.3926409019085488
