split,n,MAE_log10,R2,MAE_GPa
train,195,0.0776389187727219,0.905101861269545,15.402320630127953
val,42,0.11795127959478469,0.707794875028504,18.741811024194014
test,41,0.15166690291427984,0.5707972491816338,20.208052727217716
