split,n,MAE_log10,R2,MAE_GPa
train,195,0.10065749577986888,0.849339883055725,12.990584031543278
val,42,0.15637460634821937,0.6009939513158224,12.58373739334381
test,41,0.16264233356568872,0.6314167439743461,11.354358155089626
