material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),in_training_set,verified_perovskite,K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95
JVASP-164839,BaSiO3,30,520.4138060223066,4.085711804429442,True,False,73.70511412091919,33.66713670823623,2.0842690933367813,0.14854709444701938,0.0589757004501838,1.2001470245501664,0.978801221521302,1.2018834834760592,1.4724921917289044
JVASP-22913,SrGeO3,30,487.0426266240576,4.260253932022546,False,False,80.14296705293735,39.79319518723401,2.0790700770609223,0.09141735029174848,0.01078878891235417,1.4821948465918455,1.1959259042045733,1.4776204450164034,1.8839241502885666
JVASP-117155,KAsO3,30,515.5301758542331,3.131192673364572,False,False,59.586666096243135,29.48597811875588,2.0573165465653607,0.09079300581863198,0.068245042583356,1.1488520782614695,0.6974164792811751,1.1661477337104733,1.9125077076987858
JVASP-163991,RbVO3,20,342.3318792805173,3.5779999104429545,False,False,67.8595643274062,27.016295836756264,2.0604632353589065,0.1739655089121818,0.06816680410564607,1.2349010611501916,0.7428103952497761,1.2344307346118457,1.990907230046188
JVASP-49174,BaGeO3,20,348.3198618425472,4.919171599986403,False,False,78.97239194521825,39.09371819937157,2.0829991898903937,0.056337816551392396,0.036900997032126764,1.7950966114874682,1.6078643155817198,1.7894184189437086,1.9914436594931657
JVASP-98938,BaSiO3,20,325.7767194901637,4.351161809599659,True,False,83.08582843305048,41.42818064036185,2.0515897005118426,0.09898872165103921,0.028956329260882714,2.1007314135673583,1.9229578841688517,2.1036557600087473,2.294260198366744
JVASP-22970,CaGeO3,30,443.71167260746506,3.608769553526555,False,False,106.40883978463985,42.76780355130855,2.0634201570612705,0.053702577204300106,0.029517171742833366,1.7753435982967962,1.329533872359295,1.7599374417554037,2.320328322745722
JVASP-55307,KVO3,20,315.975316061485,2.9017139041452964,False,False,83.5703325022527,34.12008038634904,2.051778084427017,0.12688127146069436,0.01571968275921763,1.9105313436929088,1.506505153962392,1.9110541473382132,2.4244865451410127
JVASP-165307,GePbO3,30,521.6585971509899,6.261430088846095,False,False,109.30316824129098,47.54900875670472,2.076352000936211,0.12580646852201943,0.0892073356958102,1.6432510358790993,1.0777121670246639,1.6513054415244584,2.522402102742755
JVASP-91352,LiBiO3,40,492.25775286161496,7.122265590432508,False,True,161.76424329574684,76.48103268400816,2.044039743798196,0.029765645429260704,0.0050280692714475455,2.3840951720074313,2.2259745791178385,2.384800348687976,2.5455937529156447
JVASP-20949,SrSiO3,30,453.7055560677984,3.5948828830670663,False,False,84.25856703358939,42.191583194738996,2.033013528036022,0.15976286899233716,0.06572660944591774,1.8011918056994434,1.2806785180011158,1.788533670383202,2.5617703712770377
JVASP-95486,SrSiO3,40,554.9818548611972,3.9184904831851997,False,False,97.51946206965535,48.061704990887364,2.021696156355897,0.1139038435071976,0.05765387254683514,1.7023343679681107,1.063612785336406,1.6847591681654712,2.6384901849653386
JVASP-144238,TlVO3,20,335.5118124042962,6.004911581414967,False,False,82.60480785892412,35.73477150288241,2.030383867716233,0.21973918516926647,0.12513930282477284,1.4821375497408669,0.800239921181495,1.5050247867299933,2.7308266055226933
JVASP-169181,SrSiO3,30,427.18967798014535,3.8180190709953417,False,False,93.76779890507831,47.449037872688,2.039695956071131,0.11795680054341891,0.052350149023188096,2.0291644114339626,1.4781173016813287,2.0345127307329833,2.792800714203064
JVASP-165013,BaMnO3,30,418.99445454637424,5.713199792774445,True,True,149.3544844972354,64.28761641736128,2.073501308438288,0.024213167157126823,0.046772648698826406,2.521948582633466,1.9450494817833799,2.524743099805291,3.2517743966285653
JVASP-85709,BaBiO3,10,201.61185356031334,6.495251567121441,True,False,87.69655727593992,39.158908548666524,2.140097251339726,0.1415974719439746,0.04229721021093296,2.4703739008734216,1.8529037037586815,2.46206682725104,3.337802791140198
