,true,decision_tree,random_forest,xgboost
true,1.0,0.8227398247761275,0.9115553074705265,0.9056826539203837
decision_tree,0.8227398247761275,1.0,0.9233262284651721,0.8974300437993904
random_forest,0.9115553074705265,0.9233262284651721,1.0,0.9791370760719966
xgboost,0.9056826539203837,0.8974300437993904,0.9791370760719966,1.0
