,true,decision_tree,random_forest,xgboost
true,1.0,0.8383932085891694,0.9078198851290061,0.9100813203953635
decision_tree,0.8383932085891694,1.0,0.9174400278292062,0.8941708174360107
random_forest,0.9078198851290061,0.9174400278292062,1.0,0.9806318103564658
xgboost,0.9100813203953635,0.8941708174360107,0.9806318103564658,1.0
