,true,decision_tree,random_forest,xgboost
true,1.0,0.9023032489604583,0.939713236921972,0.9495426854450915
decision_tree,0.9023032489604583,1.0,0.9434994876034133,0.9361756850133612
random_forest,0.939713236921972,0.9434994876034133,1.0,0.9866403361964845
xgboost,0.9495426854450915,0.9361756850133612,0.9866403361964845,1.0
