quantity,median,mean,sd,p05,p95,median_as_factor
log10 kappa gap (tree - r9),-0.26066708667993543,-0.32979354081536416,0.35028053297239914,-0.9701477063489872,0.16634306501360072,0.5486974139247229
"...from the moduli (K, G)",-0.24909555650906007,-0.32166032022048313,0.34297504419398817,-0.9698469507127607,0.15026571110146694,0.5635136539696103
...from gamma,-0.010785113131029596,-0.008133220594881065,0.04438375265563587,-0.07501715655387838,0.07446466637689156,0.9754721773781541
log10 K gap (tree - r9),-0.20537607649666112,-0.26452781250527263,0.2705329593501101,-0.7907609360326024,0.08015759375457007,0.6231949472562137
log10 G gap (tree - r9),-0.16571514219106243,-0.21371057882322234,0.22837234798236639,-0.6453510451181977,0.1008922324633638,0.6827863932762315
gamma gap (tree - r9),0.024833640721763084,0.0187274324998053,0.10219736723600217,-0.17146123075420547,0.1727333863997607,
