,true,decision_tree,random_forest,xgboost
true,1.0,0.8588977680638665,0.9174075033880068,0.9198478439482604
decision_tree,0.8588977680638665,1.0,0.9304461021962788,0.9142183977363861
random_forest,0.9174075033880068,0.9304461021962788,1.0,0.982661010514171
xgboost,0.9198478439482604,0.9142183977363861,0.982661010514171,1.0
