,true,decision_tree,random_forest,xgboost
true,1.0,0.6533627412114912,0.7938071271106085,0.7818455501299137
decision_tree,0.6533627412114912,1.0,0.8566022797222971,0.8144597503676922
random_forest,0.7938071271106085,0.8566022797222971,1.0,0.9699751473058762
xgboost,0.7818455501299137,0.8144597503676922,0.9699751473058762,1.0
