dataset,target,n_train,cgcnn,tree,floor,cgcnn_over_floor,winner
matbench,K_VRH,3894,0.08028054910088044,0.0916224737697062,0.0812945659917813,0.9875266338096524,CGCNN
AFLOW,K_VRH,3894,0.1154,0.0592,0.0485596544917335,2.3764584243416516,TREE
matbench,G_VRH,3894,0.10348612627068766,0.1158682358645481,0.0961366081586658,1.0764486937160511,CGCNN
AFLOW,G_VRH,3894,0.1548,0.101,0.0961060623136607,1.6107204506494115,TREE
