target,size,n_train,model,train_mae,test_mae,test_over_train
K_VRH,sub,3894,random_forest,0.03839016286976443,0.09346590587059912,2.4346316577940748
K_VRH,sub,3894,xgboost,0.01435732878495373,0.09162247376970625,6.381582196942182
K_VRH,full,7691,random_forest,0.037223872817027284,0.08678078476957635,2.3313206875637156
K_VRH,full,7691,xgboost,0.02721877909766519,0.08830444596617001,3.2442471298701534
G_VRH,sub,3894,random_forest,0.047637634804960194,0.11961933830641998,2.511025973396244
G_VRH,sub,3894,xgboost,0.019665716165278423,0.11586823586454811,5.8918899719057185
G_VRH,full,7691,random_forest,0.045311323779563845,0.10613052202700557,2.3422516310342756
G_VRH,full,7691,xgboost,0.03490086263742514,0.1051381197758249,3.012479114573015
