target,arm,train,test,test_over_train,train_sd,test_sd
K_VRH,r9,0.11713657528162003,0.13424243529637656,1.1460334654110433,0.019187104602817025,0.014312054277196465
K_VRH,recipe,0.08793389061209149,0.11535518642016747,1.3118399017398346,0.0014072145289866337,0.0009210889014701053
K_VRH,tree_random_forest,0.0290943891638178,0.0625120395454271,2.148594328392636,,
K_VRH,tree_xgboost,0.0371322235453521,0.0591705530780081,1.5935095566183666,,
G_VRH,r9,0.13047358393669128,0.1600794792175293,1.2269110297085382,0.018912949534286676,0.010933920260170637
G_VRH,recipe,0.1117965932594262,0.15481407629575075,1.3847834874225695,0.004650781955217695,0.0013082703419464831
G_VRH,tree_random_forest,0.0481553088901226,0.1009678936316682,2.096713653359584,,
G_VRH,tree_xgboost,0.0707994456747188,0.1034523547162116,1.4612028912134911,,
