epoch,train_loss,val_loss,train_mae,val_mae,lr
0,1.0239055340768395,0.39242735100023957,0.24343190321747463,0.17266338528359979,0.01
1,0.23787817221022042,0.3065688890739552,0.11959372150845281,0.13007934051520617,0.01
2,0.20746719964384305,0.18139588934125253,0.10861199112307993,0.09875924190849934,0.01
3,0.1887392934928587,0.17490226420962696,0.10449767970648223,0.10277525740630418,0.01
4,0.18591581124382728,0.1495058536529541,0.10247228264483157,0.09473630192789059,0.01
5,0.18656816799011983,0.15979877447040336,0.10443536975986392,0.10086698302076859,0.01
6,0.17408683026426713,0.15823555824536722,0.09902701931716779,0.09434884164518523,0.01
7,0.16608925348387754,0.21974518432200535,0.09676500498093767,0.12440627610799178,0.01
8,0.20685519731613614,0.1874377429485321,0.10745079203725187,0.10877894443794361,0.01
9,0.16439309961412807,0.15919611291977967,0.0950763588755482,0.10467703184745844,0.01
10,0.15783289379857168,0.18268519191487323,0.09352209621575638,0.11114793798877197,0.01
11,0.1630717254133718,0.13681332036418822,0.09565385619761838,0.08478427150295777,0.01
12,0.14367359806883398,0.13067246619069461,0.0889636563543318,0.08378112656109542,0.01
13,0.1665916592057079,0.1534982552950822,0.0993476454364728,0.09377810670044816,0.01
14,0.1473318693340561,0.13635722403098077,0.08926300806584431,0.09565132993806913,0.01
15,0.15405403555385036,0.12795809229600777,0.09448217471838462,0.08674313258198858,0.01
16,0.13677699862941936,0.1246530739500106,0.08657065966228192,0.07672483651238737,0.01
17,0.14291264845159798,0.12369284207381091,0.0883310895561862,0.08815072071783751,0.01
18,0.1287566935540625,0.11633611629599507,0.08387901174891926,0.07969577820266335,0.01
19,0.14307581839767922,0.12896818125132217,0.09239016889851574,0.0833606621594105,0.01
20,0.1384127492995957,0.13320383776738806,0.08773893431776476,0.08399707881860363,0.01
21,0.12907488005771747,0.12083496522266889,0.08487492529674154,0.07967369258403778,0.01
22,0.1306532546616301,0.1421312319422231,0.08539785258157125,0.0834924376126632,0.01
23,0.12568969372236097,0.15124485692352924,0.08420879418325121,0.09675308063770961,0.01
24,0.15391314726024033,0.13769391179084778,0.09517517272625645,0.0890997838482116,0.01
25,0.12596803981853918,0.1296553562567072,0.08390232041999339,0.09112729732562037,0.01
26,0.1263942470973373,0.1353575799939702,0.08550110998722221,0.0891436893239762,0.01
27,0.17202463404880577,0.12603098298739462,0.10065090099448672,0.08464492676616872,0.01
28,0.13055280849149642,0.12227849401895283,0.08715440458438282,0.07862853765198329,0.01
29,0.12148783245611805,0.11064192493563717,0.08247520397278596,0.0757083550674244,0.01
30,0.11291223921452335,0.11150716237940834,0.07908378710514732,0.07441299372506373,0.01
31,0.11073489552464261,0.10687471701971536,0.08023612963902968,0.07327152745237628,0.01
32,0.11163845114257831,0.11720994548890197,0.08018878970293737,0.07827201970283268,0.01
33,0.11668681749157843,0.14318039984379,0.08150441613483764,0.09190864600602863,0.01
34,0.10207508981398374,0.11736209328892161,0.07467239648161839,0.08630880214346265,0.01
35,0.11192684374461945,0.14976471329776986,0.07976168603724117,0.0875893199038737,0.01
36,0.10308658775024987,0.12297749135968755,0.07606235887221251,0.08166834408218421,0.01
37,0.11002201685870117,0.12128345234301484,0.08084794512582126,0.08173352747576908,0.01
38,0.10378225880576085,0.12247595986694966,0.0760180864489415,0.0776853271335074,0.01
39,0.10712177272023375,0.11352454755202081,0.0766373754783781,0.07398472516571433,0.01
40,0.10414146123367515,0.15375869713940668,0.07683755188188385,0.09102362170092111,0.01
41,0.10113059164659051,0.1452132639954391,0.07574084412174314,0.09035224879829629,0.01
42,0.11356622258114298,0.13447503181337153,0.08501716292333795,0.09502062866988692,0.01
43,0.12241433559685748,0.10799550923328956,0.08642726334785705,0.07158728725123174,0.01
44,0.0970090725668043,0.1398371002338465,0.07462122486915161,0.09032454341650009,0.01
45,0.10499127096037703,0.12669925905257753,0.07863917750354986,0.0771721479962173,0.01
46,0.09861072432140801,0.19065009346864756,0.0744232969144714,0.10478489990662603,0.01
47,0.1009832188233243,0.11502386354705663,0.07578665906997639,0.07818318664738276,0.01
48,0.09529571707731353,0.11420551701946166,0.07298907029808552,0.07546914159094245,0.01
49,0.10377622592214365,0.12932000244126737,0.07549765976631445,0.08485116968745167,0.01
50,0.09821662445121679,0.1440025928240378,0.07480799546556097,0.08917478001812129,0.01
51,0.12916117253445816,0.14447488990223523,0.08553360427965068,0.08839240561700562,0.01
52,0.1051296613259916,0.12198916562263248,0.07699868315110327,0.07898465594620381,0.01
53,0.09773234858917114,0.1148176730691808,0.07549073364129846,0.07536291027242698,0.01
54,0.11355692863526355,0.11774557481691675,0.08138877624979318,0.0795872900092486,0.01
55,0.12497396636165765,0.1145394350429183,0.08551787512461427,0.07620255157206822,0.01
56,0.10564122282665117,0.13087837911635927,0.07921067269756554,0.08820988541667901,0.01
57,0.08854077130017488,0.11412401034415347,0.07038181808130156,0.07647513634371526,0.01
58,0.08986762112451924,0.12102776295641093,0.07210251075841564,0.08296634235139032,0.01
59,0.08945425773072639,0.10643645412134893,0.07343767132857595,0.07290990903828908,0.01
60,0.08024112018632448,0.11275122227888663,0.0687506782258383,0.07392027909026562,0.01
61,0.09916934776799823,0.11814943086175085,0.07817451440029408,0.0768852419789555,0.01
62,0.08430932742375079,0.11009122821891192,0.06951052681659788,0.07410071631079738,0.01
63,0.08280507296211402,0.10733569312153511,0.06851817638034582,0.0713130644368894,0.01
64,0.09351608932343777,0.13090010891550952,0.07434728179970267,0.08092831776848117,0.01
65,0.08838976072003389,0.12378076905185736,0.0720914113559938,0.07702691853046417,0.01
66,0.08264147062370455,0.11634281552532344,0.07098860816068356,0.07686331021843605,0.01
67,0.08153084369271921,0.12151420796380459,0.0699181713080541,0.07803413561246927,0.01
68,0.0765630852916882,0.11533987160446574,0.06754791550507798,0.07278490247367655,0.01
69,0.08129490525820772,0.13192005889508332,0.06988569694018894,0.0859170109756942,0.01
70,0.07499632153705105,0.14392096925418355,0.06449613804943369,0.08443361976482336,0.01
