material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,family
398ee92965,BaGaSbO,4,107.95298033074876,5.303878394803111,344.8094,34.65129440496693,22.64551580191213,0.046031289178913,0.0493572440330357,0.2316869276894665,1.41579804450849,4.992839387494784,3.0044986285942143,5.01059827711458,7.963725355698732,False,39.797119140625,21.1279354095459,3.669388642112636,False,True,complex oxide (4 elements)
3221982d94,DyHoPbO2,5,104.6700525569477,8.98929319669386,566.62912,80.01198570513108,34.28617337961542,0.0230948364750939,0.0214073066313189,0.3125223802519319,1.8530898712775647,3.689364666274965,2.9414062832872427,3.7015946411243785,4.644605377555019,False,83.25914001464844,37.15111541748047,4.34452282986061,False,True,complex oxide (4 elements)
0df62af5b8,DyErPbO2,5,103.69086786931422,9.111474085234889,568.9578,80.3818437279856,34.78804922778023,0.0229342860843481,0.0207948026489712,0.3108890053765607,1.842286838109889,3.7733432828662448,3.018251369812748,3.808190480152625,4.72629189957761,False,83.7537841796875,37.01363754272461,4.23443863534762,False,True,complex oxide (4 elements)
cdbe450754,Cs2In2As2O,7,220.1190956871737,4.988649683020692,661.2895038,16.845530644360647,13.497612960107572,0.1873106949847629,0.0301402899960326,0.1838186798144392,1.2258709905077634,2.0648599038479665,0.9873329303224092,2.0570129863245565,3.624186489450759,False,28.844823837280277,17.555173873901367,2.378254559656453,False,True,complex oxide (4 elements)
a92f3ad880,Rb2Ga2As2O,7,178.039045250451,4.441659909784134,476.2242,18.005369922388006,17.47717112714532,0.1070689969361517,0.0899634395729429,0.1333116012751813,1.0624363344551015,3.519735705424686,1.4306114734290698,3.5542293995647536,7.723189594280834,False,29.237585067749023,16.62114143371582,2.0232712869805143,False,True,complex oxide (4 elements)
a82f90eade,BaSr3Sb2O,7,228.4194474668098,4.795862451141515,659.7064,38.12405171123893,26.553903550052187,0.0640718150719121,0.0333485303208808,0.217363447916636,1.354723711198155,5.1906175536272485,3.514160630838657,5.198451314006565,7.496292295191596,False,40.42283248901367,22.66519927978516,3.323173017839378,False,True,complex oxide (4 elements)
26f790a4a2,KRb2BiO4,8,189.4956696301344,4.232604007620725,483.0119,27.24195816274789,8.472903868089926,0.04560555343489,0.0519411546556306,0.3590961426115318,2.20940570749865,0.3545046186753142,0.2056419133595467,0.3568846366477519,0.607598117671654,True,21.51108169555664,7.445504665374756,0.3286285492502651,True,True,complex oxide (4 elements)
c3b3e9a64e,NaAg(HgO2)2,8,124.4387605883574,7.9536339366917,596.03556928,53.656463653573006,14.214210938352585,0.1055295512015624,0.083735693494166,0.3782915970650454,2.3897551181679835,0.4088939913101401,0.1622648681662479,0.4105762749150876,1.0225426210709203,True,45.07765197753906,19.36870002746582,1.1058187965863375,False,True,complex oxide (4 elements)
bcf3ef5d3b,CsK2SbO4,8,182.6576449615065,3.6078476594659903,396.8596519,26.679781594738188,8.978495695804027,0.0491416411768873,0.0411833555246183,0.34870736617421,2.1208805090546594,0.4514134316518436,0.2805148064208487,0.4535955355184561,0.7073783582459436,True,36.3021354675293,9.356131553649902,0.3574431626047917,True,True,complex oxide (4 elements)
15aca1906a,K2RbSbO4,8,175.43559264491546,3.3073612588669903,349.422,30.81823747950553,9.51799488471989,0.0613149571760025,0.0349448019092364,0.359992024318584,2.2173206332054063,0.4617528231785603,0.3032651709630355,0.4606684716406425,0.7151534987612392,True,37.99662399291992,11.187141418457031,0.5580383672718205,True,True,complex oxide (4 elements)
