material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,family
02d3f81a5f,Cs16MnSi3O16,36,879.5155041667915,4.760956624894356,2521.6721754,42.633169343184726,17.113465302370727,2.1724815934758746,0.1836451567751737,0.0573710366667261,0.3670857388840933,0.2753759214280957,0.367314512651352,0.4817815157040022,0.2541208485202172,False,True,complex oxide (4 elements),complex oxide (4 elements)
5e2a739004,Ba3Sr5(Sb2O)2,14,465.98676583252114,4.878844389218211,1369.1198000000002,22.379131789166205,11.689414890406784,2.1520119309275394,0.0338432285682852,0.0325488443035684,0.4324768024227839,0.3838111920943119,0.4309248104395894,0.4910328304971492,2.835372559633432,False,True,complex oxide (4 elements),complex oxide (4 elements)
dc561e7fe3,BaSr7(Sb2O)2,14,447.7699511013238,4.708659171408365,1269.7058000000002,23.482725421922076,12.467620984816415,2.149081226037392,0.0308092096594898,0.032421817449456,0.479726696444877,0.421296860672893,0.4769285570309104,0.5421050848829335,3.537310279415124,False,True,complex oxide (4 elements),complex oxide (4 elements)
6a36e64e1c,Cs5Ag(GeO3)3,36,833.3741673567141,4.520337307893743,2268.620119,36.56301034208456,16.309286704800698,2.149738505225677,0.1375562288666123,0.0783323127234829,0.3515275515550488,0.1983013684664761,0.3498495478708231,0.6168185589272145,0.3053894809145886,False,True,complex oxide (4 elements),complex oxide (4 elements)
c2d948b3e8,Cs11LiCr4O16,32,721.930787701953,4.445877343955848,1932.8757709,36.7990938799242,14.968030512876686,2.184982004688625,0.218188450465878,0.1145030250135345,0.3231909904894395,0.1605950448843172,0.3200792251581057,0.6469288113607758,0.3960571294170271,False,True,complex oxide (4 elements),complex oxide (4 elements)
9527ad4042,Cs8Ce(MoO4)6,39,869.1268683992463,4.132562904137514,2162.9852152,50.34379042759847,13.881921290331771,2.219412899536494,0.3389907758647546,0.1613313420332442,0.2539311435333247,0.0887956834937013,0.2543775074726808,0.6868080083230224,0.2340707422646607,False,True,complex oxide (4 elements),complex oxide (4 elements)
dbbb5abf92,Cs11Li(RhO4)4,32,756.7124894030388,4.688390866190412,2136.5133709,34.8729322217478,13.770617257204618,2.225943819035012,0.2171098852320744,0.1708431514699164,0.2710271865362252,0.0915439117735114,0.2673978319213237,0.7451306077740948,0.4009614154841071,False,True,complex oxide (4 elements),complex oxide (4 elements)
e5657941b3,Cs8MnFeO8,36,951.099889869312,4.546437636002831,2604.0437204000004,51.27693234744445,17.709017051084803,2.2261032326176498,0.2391021285024314,0.1290902481307921,0.3858582160266948,0.2011237501692609,0.3942705984149276,0.7458675335024473,0.1283295566710174,False,True,complex oxide (4 elements),complex oxide (4 elements)
17174a5932,RbCe2(AsO4)3,36,698.4498558441381,3.7205278849839374,1564.9148,60.0485141489288,19.048525810913763,2.1713994805071244,0.2032652667636151,0.108269164796093,0.4541651938295606,0.2654805595015578,0.4540191199686872,0.7656019640014327,0.7045592575172234,False,True,complex oxide (4 elements),complex oxide (4 elements)
3813f5f056,NaSr4Sb3O,18,558.6890017657712,4.486540736843761,1509.49833856,21.102733011506512,10.9732972901698,2.1068636804040843,0.1226226991664705,0.1434845780456611,0.3546102455429165,0.1660943429873283,0.3582213426841889,0.788517446449385,1.8746331855205165,False,True,complex oxide (4 elements),complex oxide (4 elements)
b91ac8619e,Cs8Mo6PbO24,39,860.833700636564,4.301779839122243,2230.0692152,51.35314043481779,14.672256564912514,2.2039276747996275,0.3350927855432981,0.1728522097693568,0.2736278411237442,0.0939737776668533,0.2758125471058044,0.7953006440178039,0.2082951769788608,False,True,complex oxide (4 elements),complex oxide (4 elements)
a82f90eade,BaSr3Sb2O,7,228.4194474668098,4.795862451141515,659.7064,22.33667340796625,11.758796807174967,2.1467413261483803,0.0378341812813303,0.0372440061155131,0.6975410180343248,0.5919597962784615,0.6992931907017965,0.8239186761961825,5.1906175536272485,False,True,complex oxide (4 elements),complex oxide (4 elements)
b03798b163,La3Eu(MoO4)6,34,656.1088979135791,3.867973513147681,1528.3060099999998,74.40601895953834,19.76926426237158,2.218517484174067,0.2705919887220792,0.102233314325382,0.466811145216649,0.2563228149550625,0.4685379623797193,0.8441729353330532,0.5739225156207376,False,True,complex oxide (4 elements),complex oxide (4 elements)
9f6e239e37,Cs3ReMoO8,13,298.1931146474576,4.504266419960764,808.8585557,43.89570016528625,11.464500032297693,2.196370016626121,0.3193626345985079,0.108925738112012,0.3923536322754993,0.1770867614910461,0.3881102441268354,0.8654672302889879,0.343015903886134,False,True,complex oxide (4 elements),complex oxide (4 elements)
ac7eccee23,Cs2HgAs2O7,24,578.0199554856557,4.184183609337175,1456.4798076000002,35.80602587798505,15.81856823105228,2.1385659798473107,0.1615920142571873,0.1083476206289131,0.4687143867477586,0.2483565931003686,0.4700442966877304,0.8794603088954553,0.4234219151700117,False,True,complex oxide (4 elements),complex oxide (4 elements)
97633258cf,Pr4CrMo5O24,34,643.0201137131348,3.820185118470152,1479.3122999999998,72.80354666266638,19.35343354223142,2.218830837434421,0.2354996127054479,0.1057416058188663,0.4518111470095476,0.2295092345558246,0.4541090779560145,0.8826211828420838,0.7000774118726585,False,True,complex oxide (4 elements),complex oxide (4 elements)
