material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence,confidence_old,family
801c8bda45,K3ReO4,8,156.46169181111577,3.900298344563921,367.4995,28.540615183358607,12.829768759655494,0.217180010801933,0.0528071079809733,0.3045267893836756,1.8011366204283887,0.964069013668834,0.3413229390832386,0.9501907745056396,2.4529826712280416,C2,monoclinic,7.186691518057717,wide,tight,ternary oxide (other ratio)
c635459bbc,Rb4RuO4,9,199.8814525925061,4.211454699939388,506.9388,22.355555209291182,10.129351390776772,0.3241101026835752,0.1210087065965172,0.3031760228964362,1.7925853735594353,0.6330332426705559,0.1155248691188218,0.6034134803345514,2.79267882533962,C2/m,monoclinic,24.173832410640863,wide,moderate,ternary oxide (other ratio)
568c80f9cb,Rb3IrO4,8,167.71166593607853,5.075509873928903,512.6179999999999,23.02755902321739,12.067182239162044,0.3050659096411088,0.0823043818350563,0.2769463371481528,1.6382855094136053,0.9252908817744716,0.2298391340499882,0.9349291255676164,2.967689196549996,I4/mmm,tetragonal,12.912027400453685,wide,tight,ternary oxide (other ratio)
09880933a7,Rb3ReO4,8,179.17863011067334,4.69499279075754,506.608,25.13327503853318,9.356809942691331,0.2691807450189967,0.3200632307106949,0.3344057087166761,2.00806877363774,0.4673558394196682,0.0201667149171879,0.4735259230008348,9.508437835704711,I-42m,tetragonal,471.4916571563541,wide,moderate,ternary oxide (other ratio)
