material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,family
63e6e2dbd9,Ba3As2O,24,727.5383572987432,5.275315881936441,2311.2944,27.4848160575453,14.327924439685178,2.0694829077840846,0.0533418947248482,0.0548280996959058,0.4148160216514923,0.3461041467036971,0.4142824572669474,0.4975342104120011,2.290783702286119,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
d3e2f2e94c,Cs6W2O9,34,843.9781312703328,5.1513747938386505,2618.2146228,29.166535646985672,12.215516573058188,2.245514950134736,0.2278413632926536,0.1714514840166068,0.206507120945229,0.0813692261132207,0.2076988166360051,0.5523235315447412,0.1460397440536419,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
6bae0e1249,Cs4CoO4,36,902.751578129452,4.8159879001605335,2618.2104104,57.73848847650292,17.935737963256695,2.205593032365743,0.2639240599426136,0.1098704709087277,0.3839068506298091,0.2161474688653168,0.3844458932672703,0.6767997386621156,0.1299529336896816,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
afb3e65ad8,Cs3RuO4,32,819.8211700181915,4.567753647295245,2255.1358228,30.05920941145067,12.719018047460793,2.2037186826518256,0.2316170333512906,0.1788223768372053,0.2555913589405546,0.0863805844834551,0.2516914973165077,0.6902893588699816,0.1450441814369927,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
2784255095,Cs3CoO4,32,760.4702617183881,4.556209585215415,2086.5886028,55.46691379773692,17.026715448339985,2.1773082714314387,0.2720067454313041,0.095497768988537,0.3987064123200027,0.2261224993410438,0.3976404071026407,0.7251506766636028,0.2853814688901706,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
bb91457ac5,Cs3AsO3,28,787.6055688355359,4.399142162398606,2086.5446228,30.62904151959492,12.622861706480329,2.102586590206016,0.234813216967109,0.1399503316186752,0.3213898622440863,0.1333323444774479,0.3229275220224411,0.7654359309235382,0.2115650127875805,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
c6f76fa977,Cs3MoO4,32,841.7012042744531,4.408532218965765,2234.6158228,36.933016534431765,12.975971045392445,2.2227628441439933,0.2902301508833091,0.198435476205176,0.2662896002058777,0.0841824408113225,0.2624236580309303,0.8004644138876489,0.2829929901041784,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
56cf0ce462,Cs8Pr2O7,34,1036.1231673856748,4.670287001203781,2914.1094304,48.56648875078501,18.29217235750888,2.087672293818604,0.1748350013845326,0.0870900314943992,0.4993093248067167,0.3151963156620813,0.4957550728161905,0.8006878180088509,0.1825873592172955,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
bc521c74ff,Cs6Ge10O23,39,756.2633356787792,4.153895958584089,1891.8189114,54.658914689499646,24.745094824566767,2.055644581635398,0.1017153671754798,0.0623454971668646,0.6727152577254147,0.463854007952254,0.6678420520398348,0.9486979926423114,0.8890521144324186,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
a2f0ff450f,Fe(ReO4)3,32,620.7023925442066,4.314970784582452,1612.9176,64.05515684278598,23.323239455610764,2.185899936953847,0.2499859208531365,0.0926657797484569,0.6071915405971904,0.3717314894871627,0.601226052493583,0.9772768391664004,0.3937626719656106,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
e63359ccad,Cs4Ga2O5,22,515.9889559549067,4.834105233909988,1502.1296152,37.43662044717075,15.465028483374253,2.151223101550226,0.2240168645705967,0.141442375532969,0.4377368567207976,0.1916154812528624,0.4382094664142328,0.9806930593226566,1.0908717414495168,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
606593bece,Cs8Lu2O7,34,957.8214868006928,5.2882715155558815,3050.3468304,49.87380119937619,17.38350785293662,2.1188752095751977,0.2595192412494002,0.1519686458915766,0.4110212782226571,0.1679454280531679,0.4179160469951255,0.9908100544965612,0.2349709936262503,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
99eaae02c5,Rb6W2O9,34,739.2454276037984,4.602507710047327,2048.9628,39.92907071171677,17.25559634794066,2.2280919011902527,0.2387215262551582,0.1853414313861733,0.3568917538859398,0.126575109499459,0.3584650253665115,1.0027139383590828,0.2747124813171993,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
e2ab1a92d4,Cs8Nd2O7,34,1027.175500771333,4.732530935964558,2927.4468304,57.338352897423306,18.977189701210044,2.096751470516576,0.2692785285900802,0.1293843897517971,0.5189548127164504,0.2691168085380148,0.5277889957223367,1.0391338079878254,0.2126080866004159,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
bd9ecc2f0b,Rb4OsO4,18,400.3268600885527,4.945185772033255,1192.1976,56.74259591405913,23.15804147340394,2.2207336864559246,0.1405476326538776,0.0453859804070211,0.83092935516006,0.6706563612393921,0.8358251802252082,1.0393894082663515,0.2750632133702193,False,True,"ternary oxide (A-B-O, other ratio)",ternary oxide (other ratio)
