section,population,match_rule,quantity,n,MAE,median_abs,bias,sd,p90_abs,p99_abs,MAE_debiased,model_error,ratio
provenance,"AFLOW full (5,563)",formula,G,2637.0,0.06124452180469941,0.027607254219427446,-0.0031806590709380677,0.11718628390951628,0.1498040003062084,0.47769063767615805,0.06128606254070615,,
provenance,"AFLOW full (5,563)",formula+atoms,G,2666.0,0.05386782630730677,0.02394041774055089,-0.005612691729181037,0.10014280091442326,0.13452194471694978,0.4340582541554273,0.05417669721491951,,
provenance,AFLOW soft subset,formula,G,455.0,0.1121990607377874,0.05593266081742909,-0.04403650992097016,0.1870601653591857,0.29000432010803934,0.7187354017601973,0.11680845837903422,,
provenance,AFLOW soft subset,formula+atoms,G,450.0,0.10438424647721288,0.04782156906377666,-0.04661905740260754,0.20324031255998318,0.27403857169730056,0.7187655151500928,0.11184994384514584,,
bias_vs_scatter,"AFLOW full (5,563)",formula+atoms,K,2666.0,0.04410979515013732,0.0146173971361232,-0.004437026976172071,0.10041523598134613,0.11159422798566121,0.4648849062810923,0.044234960537238924,,
bias_vs_scatter,"AFLOW full (5,563)",formula+atoms,G,2666.0,0.05386782630730677,0.02394041774055089,-0.005612691729181037,0.10014280091442326,0.13452194471694978,0.4340582541554273,0.05417669721491951,,
bias_vs_scatter,"AFLOW full (5,563)",formula+atoms,K/G,2666.0,0.05612254888992642,0.02536979435299032,0.0011756647530089656,0.10812927950407233,0.1344585153454172,0.45307642028364586,0.05614625159174556,,
by_stiffness,<20 GPa,formula+atoms,G,398.0,0.0816889951253836,,,,,,,0.12044308928109827,0.6782372954145361
by_stiffness,20-40,formula+atoms,G,771.0,0.053485918940399765,,,,,,,0.07438835598830766,0.7190092888839574
by_stiffness,40-70,formula+atoms,G,707.0,0.04600628850074655,,,,,,,0.06711864387089347,0.6854472296735056
by_stiffness,>70,formula+atoms,G,790.0,0.047259892914305233,,,,,,,0.055122062227374875,0.857368012092169
calibration,as_quoted,,G,,0.1085,,,,,,,0.0781,1.3892445582586428
calibration,full_matched,,G,,0.05386782630730677,,,,,,,0.0780969453390844,0.6897558678309544
calibration,soft_matched,,G,,0.10438424647721288,,,,,,,0.10327956197599764,1.010696061060677
selection_test,matbench G < 20,formula+atoms,G,398.0,0.0816889951253836,0.04391681216951582,0.030219063118227793,0.13317890198730403,0.2112659878226043,0.46521298159368585,0.08135039002705312,,
selection_test,AFLOW    G < 20,formula+atoms,G,436.0,0.08692164535622056,0.04507717388269361,-0.026629310152242843,0.13987841199346573,0.232750118986449,0.5622838619052126,0.08983812983525834,,
