material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,id_unverifiable
000e39bcdd,Rb2Co3Br8,13,459.0149233168772,3.5704668567019406,986.967185,12.530979780380587,3.800638249803722,0.0412287988532805,0.0899265981782264,0.3622743501167528,2.237695033759778,0.0932016689115592,0.0381382177571097,0.0912313979249618,0.2228295902155677,False
0013d39502,Ho7Er(OsBr4)2,18,520.7846258990954,7.465833273682971,2341.46324,31.799373064355784,17.281930729738864,0.06776836430697,0.0365270657616868,0.2699424511049888,1.6005355878100584,0.8796952759690713,0.5575796527654908,0.8754029335993954,1.3324962240207574,False
001de430cb,Cs2MgTiSe4,16,611.2848791081531,3.552184956705047,1307.6458076,11.73817237351744,7.202082876579874,0.0563659457504753,0.0320833737591196,0.2453090460904404,1.477734097211084,0.4590224797150761,0.3178685905305163,0.4582835441339378,0.6533731546550299,False
001e7a0d7b,Cs4LaNd3(GeSe4)4,28,947.0502279373912,4.659034875008451,2657.1732776,16.62961737575911,12.588653545774717,0.0380982320095107,0.0470610439504765,0.1977635372084527,1.2771972097865802,0.7444653452900433,0.4684543929655,0.746766164221774,1.1260266054104162,False
0024ba3671,Cs6Sb2SeS7,32,1254.972348602781,3.557648278481472,2688.7354228,11.008890617277451,4.451930588692488,0.0315038155564762,0.0249773288393444,0.3218211072935297,1.9165407112916677,0.0922079568503907,0.070153975237712,0.0924461056077489,0.1209900903103126,False
002f783acd,Cs2Rb4Sc(AsBr6)3,28,1027.0275138593668,3.744075451396879,2315.6748158,9.845985492139256,5.713973724166951,0.0895987319102521,0.0262605741240425,0.2568654953790796,1.5335064702597527,0.2032690390847936,0.1322755556497223,0.201595548809243,0.3038556644734196,False
00307ed1d2,Cs6Y(ScI6)3,28,1341.7688357897591,4.090786546871652,3305.4867574,10.151037602478368,4.780789108764171,0.0785916995314331,0.0443808111890542,0.296469216489213,1.7510509808586636,0.1315239681371789,0.0780950735126891,0.1300158352740607,0.2163040641651259,False
0032baf733,Na5SrTaAs4,22,603.4866443079017,3.759769977002735,1366.4062528,28.18680325180486,13.9556758422782,0.0336714777842744,0.0586216008675353,0.2875117181482132,1.697870122992144,0.7028765845347054,0.3935777348046703,0.6991253278092426,1.250086851528247,False
003898fc6c,CrBrF13,15,256.4501938291413,2.453279288814461,378.8793416,4.400620906315584,2.6799644753904746,0.0558739509504854,0.0444418358980481,0.2468838651941099,1.4851535851637612,0.0993925321671825,0.0609572248637072,0.1006856313876611,0.1577135627887013,False
005159625b,SrTb4Sm2CoI12,20,811.9853129387551,5.329012141182313,2605.828235,8.843287995749673,6.391226840521886,0.0061934093600427,0.0604718946050785,0.2087933595233194,1.3200085489422078,0.3212579081554073,0.1859120151332672,0.3257391153560378,0.5509630477891255,False
005a577c89,RbAl3Se5,36,1100.424704884651,3.387474447864422,2244.8496632,15.911187543651744,9.656156867106336,0.047278374952707,0.1320795127245303,0.2476162032618275,1.4886228655193272,0.3903675454704218,0.1101360019803522,0.3885707426380565,1.2371403334949067,False
005a97218c,Na8TiBi4,26,846.1347423882751,4.190748094236042,2135.41350848,21.84818034815155,12.843649165737029,0.0336393539516968,0.0139110380268652,0.2542298948738743,1.520511725254214,0.6620160838713111,0.549101735840569,0.6653737586115982,0.790073410073469,False
005c11c5a7,Rb4ZrReBr12,18,656.533240615271,3.99154209049344,1578.1502,11.88101378381683,4.105116218410445,0.02562024396712,0.0281726048307585,0.3450827735400564,2.091340397154913,0.0929934918139506,0.0692118323160211,0.0929575171617732,0.1243698889431622,False
005fa66b0b,TbDy2Ho4CoI12,20,776.156096096138,5.830900215997192,2725.433465,9.9437561971099,6.693020592879771,0.0139160430088125,0.0719972104278668,0.2251272752034817,1.3873363270529755,0.3036528849078286,0.1513085762588244,0.3012084755015033,0.584588007297461,False
00605d5741,K6Ba6AlGaSb8,22,902.7742926505464,3.916644736011608,2129.3363386,23.19216572621413,13.449919575571538,0.0159435172860835,0.0063946666190564,0.2570065028449713,1.5342064152863095,0.8744391643542603,0.8035023026365483,0.8746333923178504,0.9503573005307688,False
0065492a8f,NdDy7(OsI4)2,18,850.2177702831848,5.229236744370573,2677.43776,19.582974595687315,11.892442222156882,0.0414120024277549,0.0649220646275351,0.2474756740843977,1.4879562015392929,0.7886089443612332,0.422657705430067,0.786089501923561,1.445585192512219,False
00717f8b0b,Cs3InPBr9,14,542.9102081569732,3.8649677149653,1263.6441177,10.218788581982372,5.681856177941204,0.0464199323461233,0.0388934032062004,0.2654595129953503,1.5770649917574269,0.3074480185665237,0.2032108808877888,0.3091347495313998,0.4572881463999048,False
73768315,Os2NF8,11,180.2336756558972,5.034620137004418,546.4539256,13.198102354338932,4.888262568620221,0.1080983476474038,0.1211015818660521,0.3351625386381598,2.0137947400210745,0.123488322286997,0.0360836876292509,0.1226036399486527,0.4346069193742651,False
0075ee47cf,PrNd3Pt4F28,36,568.6590077536057,5.507082452852491,1885.9249396,35.87988277005739,17.182088460089584,0.0320537710378636,0.0990676254060143,0.2935204768255178,1.7332623406608807,0.4591523409528472,0.1741585761952961,0.4754640960816623,1.212775537660245,False
007666d1df,YTm7Se12,20,564.5061385714865,6.5272604754358365,2218.96532,57.41177535977744,20.50302419441709,0.0497678810560533,0.0197821595579696,0.3404337473681575,2.054412151677489,0.720350269556026,0.5319263739905407,0.7173162976988985,0.958217160816559,False
007b27dc8d,La3PrNd2(CBr5)2,18,594.1632794264488,4.664914842353884,1669.16946,11.381275280833298,8.342635559717905,0.0416177602372678,0.0627167225052463,0.2054602118753144,1.306855313224811,0.5193167698379331,0.2856226542265017,0.5189954316033302,0.9395242540801708,False
007d97a60c,Cs6HoSc(InBr9)2,28,1117.6166576887117,3.974814465391089,2675.2269434,12.805253443392107,6.42683436893522,0.0453531978761166,0.019140426115464,0.2850202108489089,1.6835217401606457,0.2090454964526487,0.1607211871275876,0.2079576295221334,0.2667751901942808,False
0083f761f1,K3WF8,24,396.7308329493212,3.7931359504240554,906.2442512,16.653306538094053,8.433589080229982,0.1067584785845917,0.0192596690500118,0.2833597620152279,1.6740629329156682,0.2681984212870079,0.1690018589476842,0.2699514684447798,0.4091455170252874,False
88260477,K6InTe4I,24,971.2518601673156,3.3739431373351136,1973.42454,15.60076985460516,9.857954106179964,0.0313882398298173,0.0445806943589696,0.2390246673507735,1.448670464235113,0.6036024336913297,0.3978995499984143,0.5996083915959292,0.9250510008041556,False
008ce6e997,CsRbTiZnTe4,16,664.0796181688378,4.21110855529769,1684.0985038,11.960147527150696,6.330223727305102,0.063810230825336,0.0998825369504289,0.2750489053761346,1.6279252774112631,0.3084092503514918,0.1138416721135421,0.3014744681382094,0.8017009443813201,False
009084d44e,Tb3NdTm2CoBr10,17,553.2849327676589,5.452825981336307,1816.859665,13.145620478038648,7.338044820709847,0.0142560283955444,0.0800691604084132,0.2646800792908235,1.5730376572345597,0.3160798574724302,0.1485164536583574,0.3203835754037604,0.660094437329317,False
0092f71d56,Cs3K8Rb(AlTe3)4,28,1188.792813670918,3.402808055591368,2436.0967101,14.299283826271822,6.888729894505287,0.0537851503072344,0.0024850564385388,0.2924522118866521,1.726887076885408,0.2453014599894536,0.1979321457049165,0.2463284372271598,0.3002996697032626,False
009b686e2c,KRb5(GaTe3)2,28,1189.3951229067325,3.829512259064329,2742.9666,15.937104721741235,6.955375182622263,0.037585562601594,0.0219415492136761,0.309499845651274,1.8331767798706573,0.2114320068430068,0.1611504011354265,0.2108229443873799,0.2766010731252374,False
009c00a1dd,LaY5CoI10,17,667.9014492380303,4.752161157390876,1911.412615,10.111065000818288,5.735116438198123,0.0342107804230197,0.061595358236725,0.2614893984862008,1.5567129470900305,0.2530948901083235,0.1376175671489601,0.250387538192832,0.4624347378521466,False
009d50c590,K5Er(H9W)3,36,408.767542961542,3.8246001987113343,941.48488,22.37136807773999,11.751929262888432,0.04280015249888,0.1131968895889788,0.2764830673879081,1.6357466968722476,0.3071259880357816,0.1048062149392463,0.3069561818640232,0.8792973895292953,False
009fc45dfb,La4Tb2RuI10,17,736.0093252247088,5.061843926820511,2243.58728,9.415782744974294,5.556547840190179,0.0321740471073101,0.0279470975116781,0.253436061282253,1.5166302361803847,0.2511996336716255,0.1885815049330182,0.2515406619753501,0.3321188545199697,False
00a16f479e,NaPrSiS4,14,342.2208739619106,3.107793354934981,640.4858385599999,36.97040817825603,15.524522942659686,0.027441334454722,0.0758461556182434,0.3158211986831743,1.8752147580043488,0.9916312983508148,0.4811355362857394,0.9974576271216152,2.04275744099668,False
00a46aa420,PrNd3Br10,14,495.6903837501876,4.59839105099677,1372.67365,13.438440324512545,8.30931267344553,0.0474177434296748,0.0094620013678567,0.2436696572223612,1.4700690896800666,0.5368255105430093,0.4397090957682081,0.5383913940255887,0.6495500329800465,False
