material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,stoichiometry_pattern
d0ab0811b7,LiAg(NO3)4,36,484.930215116485,2.4848581463814803,725.6576,13.466752685614583,5.835266162779398,0.1218418473527506,0.1131386745502902,0.3106888719895984,1.8409699868760263,0.1154401458735688,0.0360108282622428,0.1169587708753363,0.3614288037441269,complex oxide (4 elements)
2085fc2d4b,TaNbBr2(OF3)4,20,342.95837153285333,3.513413958393976,725.6406984,8.057747997610429,4.226921540675731,0.0473490005982631,0.1584895185762521,0.2767484029790917,1.6372000517550729,0.1171820786286793,0.0255832789291493,0.115968893809316,0.4979749874287825,complex oxide (5 elements)
cd928b1f64,LuAg(NO3)4,36,528.3844713729441,3.336605002918525,1061.7096,13.590627451217491,6.175881939352572,0.058134631507367,0.0725730284023232,0.3026780817247753,1.7894490866145436,0.1173996024106553,0.0548779242636066,0.1169094150697398,0.2429268863876749,complex oxide (4 elements)
481de6dd2f,CaHg3(NO3)8,36,507.5877936929929,3.722520862601408,1137.8872,13.513172846581792,6.330429923508347,0.1090550326896542,0.1030882434550041,0.2974044095075728,1.7567519890728986,0.1175164953902899,0.0409720571173021,0.1146501075576149,0.3422802359945003,complex oxide (4 elements)
56ad730aa1,Cs4AsC3O11,38,804.8804562062872,3.377559092637706,1637.1378152000002,17.023808682969047,6.608366009448599,0.0302011103700739,0.0372528442742944,0.3281452019774241,1.9616853590017411,0.1189012073170264,0.0805944127467467,0.1188693535082353,0.1771135986161745,complex oxide (4 elements)
5b040142c2,InAg(NO3)4,36,515.3668193286264,3.033277819031791,941.4116,23.42300736997855,7.694365477783175,0.0807271212572699,0.0740586024843123,0.3519619455518266,2.147984848721856,0.1194159876420301,0.0514638683709472,0.1185444830322558,0.2697413616704212,complex oxide (4 elements)
e813091d53,CdAg(NO3)4,36,506.9941086999464,3.067603508539291,936.5976,19.44917259596478,7.161896707806261,0.0642011021999023,0.0470445773783005,0.3360106689334791,2.020242605748121,0.1202488784806645,0.0681573576989172,0.120134680431321,0.2026771910828356,complex oxide (4 elements)
9031620592,Rb2Na(CO3)3,30,509.0487992031999,2.439695455189731,747.90413856,16.697652383109155,6.046876177944682,0.0119163872845093,0.0912515353139584,0.3384335376622724,2.0388458985265228,0.1234225994388831,0.0491464994897159,0.1243372608592563,0.2972063768254543,complex oxide (4 elements)
8c7beb6d8b,Rb2Se(S4O13)2,37,603.8718882918656,2.536434079593236,922.4,13.604162168308603,5.991223631413667,0.0619006315500785,0.0432018550803496,0.307988823515448,1.823347676042537,0.1266009238103219,0.0781161498143076,0.127745334243217,0.2075305955781329,complex oxide (4 elements)
14c794ef32,Cs7Nb(SeO4)6,38,892.1461018105936,3.501060661324508,1880.9901433,20.04138657773157,7.226098297271658,0.054187062007741,0.0598465327200656,0.3390630153041979,2.043724191923956,0.1274978405039093,0.0661262360638646,0.1268128752181174,0.2420656833898928,complex oxide (4 elements)
