epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.00999938933078422,1.0832819633002773,0.4384353244767606,7691,0.2746638357639313,0.2766026556491852,0.13597047328948975,0.8818693330143886,0.4757240116596222,0.4141729176044464,0.1413552612066269,0.3254825174808502,1648,0.156948983669281,0.1958395093679428,0.13297441601753235,0.7227813081185904,0.3934103548526764,0.2920116186141968,0.13888493180274963,0.3197944164276123,0.3934103548526764
1,0.009997557473810372,0.2719192055852372,0.239377421950831,7691,0.129176527261734,0.15044869482517242,0.13079681992530823,0.5583145733820372,0.320979505777359,0.22412367165088654,0.1359725445508957,0.31308838725090027,1648,0.11876842379570007,0.13453315198421478,0.12770020961761475,0.49452538001607194,0.2951982021331787,0.20037469267845154,0.13318800926208496,0.3066767454147339,0.2951982021331787
2,0.009994504881061753,0.2341774273908366,0.20054196877386962,7691,0.11942693591117859,0.13735581934452057,0.12965066730976105,0.4932736859633833,0.3029654622077942,0.20444051921367645,0.13475178182125092,0.31027743220329285,1648,0.10585448145866394,0.12591436505317688,0.12731167674064636,0.4330522322584057,0.28952351212501526,0.187257319688797,0.13276879489421844,0.3057114779949188,0.28952351212501526
3,0.009990232305719946,0.21997200121647545,0.18837614400872907,7691,0.11239214986562729,0.13371624052524567,0.13108965754508972,0.4540242103857762,0.3020869195461273,0.19885645806789398,0.13628478348255157,0.31380733847618103,1648,0.1001105010509491,0.12730969488620758,0.1278447061777115,0.39745890275703477,0.2953353524208069,0.18918953835964203,0.13332723081111908,0.30699726939201355,0.2953353524208069
4,0.009984740801978986,0.22937435915730212,0.2672264467454651,7691,0.11748719215393066,0.1351521611213684,0.12991048395633698,0.4826713228388832,0.3000820279121399,0.20110905170440674,0.13503506779670715,0.3109297752380371,1648,0.13012319803237915,0.1506798267364502,0.12817421555519104,0.4086856474448924,0.3149678409099579,0.2248389720916748,0.1336761713027954,0.3078007996082306,0.3149678409099579
5,0.009978031724785247,0.2169536559400176,0.26501841799726766,7691,0.11498364806175232,0.13154707849025726,0.13035202026367188,0.4516711756361885,0.2965374290943146,0.19570551812648773,0.13549278676509857,0.31198373436927795,1648,0.12941601872444153,0.14138895273208618,0.12682466208934784,0.42022426157422854,0.30000039935112,0.21088860929012299,0.1322791874408722,0.3045840859413147,0.30000039935112
6,0.009970106729503141,0.2150665430153258,0.18555571688610373,7691,0.1134408712387085,0.132015198469162,0.13016988337039948,0.44745353822360817,0.2977847158908844,0.19634781777858734,0.1353149563074112,0.31157419085502625,1648,0.09934116899967194,0.12857386469841003,0.12836229801177979,0.3899950760773531,0.2977527379989624,0.1910618096590042,0.1338764727115631,0.3082619905471802,0.2977527379989624
7,0.009960967771506667,0.20154280806917654,0.18392381419255896,7691,0.10880431532859802,0.12722043693065643,0.12941335141658783,0.41560617597487365,0.2909768223762512,0.1891358345746994,0.13451062142848969,0.3097221851348877,1648,0.10801155865192413,0.1298612356185913,0.12794271111488342,0.3284765130495552,0.29683735966682434,0.1930491179227829,0.1334695965051651,0.3073251247406006,0.29683735966682434
8,0.00995061710569696,0.1942240963793517,0.2031766685467322,7691,0.10639303177595139,0.12585996091365814,0.13002434372901917,0.3884220340434321,0.2912020683288574,0.18705306947231293,0.13516223430633545,0.31122249364852905,1648,0.10282538831233978,0.13005682826042175,0.12885743379592896,0.31668950609757435,0.2987213134765625,0.19340677559375763,0.13432034850120544,0.3092840313911438,0.2987213134765625
9,0.009939057285945933,0.19322937138174215,0.2062115278637525,7691,0.10763222724199295,0.12474318593740463,0.1290755718946457,0.3908322557630064,0.28793203830718994,0.18541404604911804,0.13413512706756592,0.3088575601577759,1648,0.10310843586921692,0.12646253407001495,0.12471852451562881,0.3905807980651839,0.28759440779685974,0.18815156817436218,0.1300344318151474,0.29941534996032715,0.28759440779685974
10,0.009926291164466132,0.18117995966458844,0.1953200350687342,7691,0.10012509673833847,0.12071153521537781,0.1273719221353531,0.3636872603511723,0.28445419669151306,0.17932158708572388,0.13234271109104156,0.3047303855419159,1648,0.09637276828289032,0.1366344839334488,0.1273246556520462,0.34389418028580465,0.3103230595588684,0.20313212275505066,0.13231965899467468,0.304677277803421,0.3103230595588684
11,0.009912321891107011,0.20411793678948573,0.19538263238749456,7691,0.10879790782928467,0.13010001182556152,0.12519605457782745,0.4491109022213807,0.2921472489833832,0.19353654980659485,0.13000822067260742,0.29935500025749207,1648,0.11789944767951965,0.12924034893512726,0.11790349334478378,0.39448807476510483,0.2824001610279083,0.19247126579284668,0.12289362400770187,0.2829730212688446,0.2824001610279083
12,0.009897152912577742,0.2036848690323488,0.2202613308881093,7691,0.10989227145910263,0.12739120423793793,0.12284091860055923,0.46504536393337836,0.2850728929042816,0.18955685198307037,0.12752291560173035,0.2936323881149292,1648,0.10846463590860367,0.13671322166919708,0.11515162885189056,0.4808343569465234,0.29256799817085266,0.20377083122730255,0.11990491300821304,0.2760912775993347,0.29256799817085266
