material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
56ad730aa1,Cs4AsC3O11,38,804.8804562062872,3.377559092637706,1637.1378152000002,20.188166349166,9.442787560751308,2.0524119834931085,0.0961681043478631,0.073568867362815,0.1847478086377047,0.1008512492257734,0.1895457547945118,0.3473536715185967,0.1189012073170264,False,True,complex oxide (4 elements),36.21455829258399,17.422870903712713,2.0148080132686506,0.4804797616968893,30.606916,29.040031,1.9500471,1.0845914900437923,0.4804797616968893,2.600733211613474
7c2a47b04a,Cs12Ge4S13O,30,1118.2409522577143,3.4425296312797307,2318.2698228,23.488485416878387,12.238597147610417,2.084833287911337,0.064915261525176,0.0488532492953058,0.3685641252924409,0.3278334326357521,0.3692699267042174,0.4135797327599762,0.3952176192294501,False,True,complex oxide (4 elements),22.109730447100493,8.392451250249097,2.101132038893885,0.2073181287684768,20.938278,8.002382,2.1043367,0.1923899302955118,0.2073181287684768,0.562502193082352
551aae45a2,CsRb(CO3)2,20,440.4701843925604,2.551417018283774,676.7821038,16.536381876585313,7.702558501038164,2.003141961487731,0.0991355944781855,0.0873789404472655,0.2556869873398764,0.1452668103384528,0.2572837773350729,0.4441581214806859,0.0935614252892194,False,True,complex oxide (4 elements),64.86231311066977,24.909924151645136,1.936053240492485,1.5966925253675828,45.20889,24.945972,1.9126006,1.6251898550826749,1.5966925253675828,6.244715626631211
4377d56262,Cs2BO3,24,567.884185314223,3.796861253450827,1298.4804152,18.738187866498528,8.4328082126786,2.030874721916705,0.1209002661391524,0.0902881758506277,0.2119695399933573,0.0983510289918573,0.2089353831410937,0.4529799837129322,0.1691597561005645,False,True,"ternary oxide (A-B-O, other ratio)",28.479868607819597,9.788647635478771,1.9050254518219443,0.3022920694370495,31.027704,12.553836,1.8905016,0.44404911962745375,0.3022920694370495,1.4261108904917317
660939cd61,IrOF8,20,346.77335352302646,3.44970100498633,720.4072512,61.18597844188522,14.838524979288373,2.1788256076111234,0.1286938980686675,0.0148554528813371,0.4606975615960619,0.4502290765400749,0.460580329699064,0.4719251354204087,0.0725167611346402,False,True,"ternary oxide (A-B-O, other ratio)",23.322722041169914,16.080307407216676,2.220508798111091,0.48822770710034286,23.717995,12.960465,2.1393614,0.3853274381254425,0.48822770710034286,1.0597575238056487
02d3f81a5f,Cs16MnSi3O16,36,879.5155041667915,4.760956624894356,2521.6721754,42.633169343184726,17.113465302370727,2.1724815934758746,0.1836451567751737,0.0573710366667261,0.3670857388840933,0.2753759214280957,0.367314512651352,0.4817815157040022,0.2541208485202172,False,True,complex oxide (4 elements),24.125018278548342,7.63544772180253,2.123230831462025,0.11549879007464711,22.065002,7.8872333,2.1610057,0.11650394358256827,0.11549879007464711,0.31463709384557614
5e2a739004,Ba3Sr5(Sb2O)2,14,465.98676583252114,4.878844389218211,1369.1198000000002,22.379131789166205,11.689414890406784,2.1520119309275394,0.0338432285682852,0.0325488443035684,0.4324768024227839,0.3838111920943119,0.4309248104395894,0.4910328304971492,2.835372559633432,False,True,complex oxide (4 elements),38.166233480987344,24.89529790179276,2.050469680202473,1.4798568644212313,38.410946,27.76967,2.0569293,1.72768486107813,1.4798568644212313,3.421817901286048
63e6e2dbd9,Ba3As2O,24,727.5383572987432,5.275315881936441,2311.2944,27.4848160575453,14.327924439685178,2.0694829077840846,0.0533418947248482,0.0548280996959058,0.4148160216514923,0.3461041467036971,0.4142824572669474,0.4975342104120011,2.290783702286119,False,True,"ternary oxide (A-B-O, other ratio)",36.79468812204987,24.740753788919594,2.0325259586048867,0.9706672338929225,35.43405,23.377825,2.0487583,0.877636264007837,0.9706672338929225,2.339994559584366
c0e87fb53a,Ba12TaNb3(P3O)4,32,990.1586681602666,4.265180504785175,2543.273764,37.024406128429895,16.025695911119648,2.1794716362188056,0.0391152444369419,0.0330402858101619,0.4079713501005054,0.3251145965052928,0.4099823282584365,0.5100118798518292,0.9759552685808373,False,True,complex oxide (5 elements),39.50931736207521,24.01295766891766,2.132052743380206,0.7786074410749396,43.530148,27.844625,2.1051002,0.9975156874183834,0.7786074410749396,1.9084855857724483
583f4c1916,Ba6TaNb(P3O)2,32,989.125116073555,4.417440956167791,2631.315264,36.9318574725605,16.06173832843773,2.171903644005482,0.0370951729747351,0.0351418060033318,0.4051153542206544,0.3220755987144261,0.4040724554729382,0.511563809985602,1.0024619007657103,False,True,complex oxide (5 elements),39.701473262846896,24.071358510386894,2.120319772944672,0.7767020012796504,43.742065,27.501776,2.1042423,0.9630285085738959,0.7767020012796504,1.917236641829684
fd46afb628,Ba3TaP3O,32,987.170247122799,4.722381486858446,2807.398264,35.358876861747234,15.962694596832584,2.142242212831222,0.0271267768228529,0.0407042759014196,0.3993219282342349,0.3095870530386333,0.4003830366998142,0.5226126116658186,1.0779404130346972,False,True,complex oxide (4 elements),40.121684087113714,24.981173268356272,2.1235675248950687,0.7905827022690887,44.330124,27.71021,2.0732741,0.9711533705374061,0.7905827022690887,1.9798128937345694
fc1b5f7275,Ba3NbP3O,32,989.1644748933804,4.121669551551934,2455.232264,38.99170488912822,16.351553945563765,2.1845761767876626,0.0636692696353228,0.0292282483080686,0.4256676849309845,0.3475541842038136,0.4267644492583396,0.5232539772664518,0.9339059030963844,False,True,complex oxide (4 elements),39.1653238437516,24.10147650413549,2.1335472587885973,0.794732238965999,43.530148,28.026371,2.1139183,1.0151839262579285,0.794732238965999,1.8670250693210424
35c2a0315d,Cs2Li(NO3)3,30,525.6648744000574,2.898424095751447,917.5332076,20.25312626956766,9.655471291826332,1.9140683421771885,0.0792877334172853,0.1211787027919261,0.2601253902672311,0.1227754462859904,0.2607677407665411,0.5363803575939396,0.2381591999688905,False,True,complex oxide (4 elements),49.92359965240725,21.138116349913815,2.120328413377622,0.6873554301247538,22.329266,19.046041,2.1238809,0.5759793840023881,0.6873554301247538,2.642400380134451
dc561e7fe3,BaSr7(Sb2O)2,14,447.7699511013238,4.708659171408365,1269.7058000000002,23.482725421922076,12.467620984816415,2.149081226037392,0.0308092096594898,0.032421817449456,0.479726696444877,0.421296860672893,0.4769285570309104,0.5421050848829335,3.537310279415124,False,True,complex oxide (4 elements),39.3996510913259,25.542174275163404,2.042229823279852,1.5578036571745082,39.76267,29.15009,2.060869,1.858400857078168,1.5578036571745082,3.2472732260242427
d3e2f2e94c,Cs6W2O9,34,843.9781312703328,5.1513747938386505,2618.2146228,29.166535646985672,12.215516573058188,2.245514950134736,0.2278413632926536,0.1714514840166068,0.206507120945229,0.0813692261132207,0.2076988166360051,0.5523235315447412,0.1460397440536419,False,True,"ternary oxide (A-B-O, other ratio)",32.503833573537214,11.034614693286045,2.1719028372488296,0.19165247710383135,31.568989,12.051821,2.1757681,0.21742258676908746,0.19165247710383135,0.9280671592659632
14c794ef32,Cs7Nb(SeO4)6,38,892.1461018105936,3.501060661324508,1880.9901433,28.620646101323327,13.037528010154135,2.1057680172007505,0.1134802296961938,0.0994618026723148,0.2890080342117938,0.149173288588651,0.2852090309463708,0.5631826198578106,0.1274978405039093,False,True,complex oxide (4 elements),62.22918100534452,22.48558545365321,2.2248972681190775,0.5838522762376845,42.42278,12.804545,2.2573195,0.2436821114423294,0.5838522762376845,2.020193929314159
abbd9e4b22,COF14,32,562.9635055646781,1.7343153906021582,587.9754896000001,37.13412433728801,13.288071667050517,2.090621554790101,0.1611967923056937,0.0682646466095836,0.4389657722322618,0.3262875576702539,0.4430154526802118,0.5937695961218091,0.0436744203135016,False,True,"ternary oxide (A-B-O, other ratio)",39.27373009057468,13.820895329487733,2.1447421155274182,0.44136454865946095,48.474266,14.096291,2.0775204,0.487874665594882,0.44136454865946095,1.0054646092678268
e9b19e4287,Ba3BiBO3,16,418.2524088075764,5.397628874015667,1359.5412,36.17672190181727,14.875134923938298,2.139478111872452,0.1683051499275069,0.044691930194398,0.50688379266915,0.4368282820744495,0.5085011674383052,0.5951843180697487,0.9402537069088852,False,True,complex oxide (4 elements),60.201224469994244,28.566664419525864,2.0652048489985346,1.449207414037398,55.488346,31.871191,2.0273175,1.7659190568620275,1.449207414037398,2.8590525777242908
6a36e64e1c,Cs5Ag(GeO3)3,36,833.3741673567141,4.520337307893743,2268.620119,36.56301034208456,16.309286704800698,2.149738505225677,0.1375562288666123,0.0783323127234829,0.3515275515550488,0.1983013684664761,0.3498495478708231,0.6168185589272145,0.3053894809145886,False,True,complex oxide (4 elements),36.308390586547965,18.29925303640795,2.141759540908963,0.42003725698233785,33.15795,17.728895,2.143592,0.3992736410539635,0.42003725698233785,1.1948914249373155
2d261f65ce,Rb6I4O,22,1027.22932360864,3.350805194624979,2072.84816,20.039749593784546,9.795070954340687,2.1249366586065346,0.0898634901879912,0.0974540359819814,0.3411323996688897,0.1719996526142839,0.3396473199644317,0.6327196314436037,0.6183998305141248,False,True,"ternary oxide (A-B-O, other ratio)",11.811291266096275,6.303709706949601,2.2870427531117645,0.14946089597938877,11.080275,4.7932415,2.2232046,0.10613081126970543,0.14946089597938877,0.43813163488562995
c2d948b3e8,Cs11LiCr4O16,32,721.930787701953,4.445877343955848,1932.8757709,36.7990938799242,14.968030512876686,2.184982004688625,0.218188450465878,0.1145030250135345,0.3231909904894395,0.1605950448843172,0.3200792251581057,0.6469288113607758,0.3960571294170271,False,True,complex oxide (4 elements),33.61220566272242,12.595207090918542,2.157113301253618,0.25703635442328093,31.634523,13.193286,2.1647403,0.2728748025952424,0.25703635442328093,0.7953079200445093
ee5a883006,Cs7Nb(SO4)6,38,814.0904442553178,3.262821424971796,1599.6201433,39.1750546482056,15.855755056697417,2.095681616207965,0.0890855778896992,0.0773919593394888,0.3943131821178334,0.2422946912582805,0.3952455705762813,0.65051331103185,0.1599557210638061,False,True,complex oxide (4 elements),59.590395957003594,20.95133511081675,2.0936286251444307,0.6019324957479596,45.527615,11.72784,2.216884,0.2240336470906285,0.6019324957479596,1.526534042090642
51bfd70f1b,Ba3BSbO3,16,409.3061382179499,4.807906188166757,1185.1004,35.037925805292794,14.411536335492746,2.11212890203068,0.1734816385505378,0.0546321327936266,0.5225837536262604,0.4038163268441876,0.5191943267662077,0.6735458030786121,1.0902371760924243,False,True,complex oxide (4 elements),62.75524335344019,32.34454954203305,2.05856657718322,1.8454646336637708,59.571983,37.27092,2.0072794,2.391770265555277,1.8454646336637708,3.531423663399233
b52c3705f5,Cs2Te(OF2)2,9,189.0866464945939,4.403271261803082,501.4033166,32.567646728121964,10.463837593189734,2.124147715941708,0.2567196984731924,0.0844299786222978,0.460657330901485,0.3158237828797678,0.4578909868952334,0.676577324690093,0.6672588542316138,False,True,complex oxide (4 elements),16.98917992485131,6.500251816574363,2.2883143606053116,0.19097523990501486,17.412468,7.252735,2.2950642,0.22317873135906482,0.19097523990501486,0.4145711510360319
6bae0e1249,Cs4CoO4,36,902.751578129452,4.8159879001605335,2618.2104104,57.73848847650292,17.935737963256695,2.205593032365743,0.2639240599426136,0.1098704709087277,0.3839068506298091,0.2161474688653168,0.3844458932672703,0.6767997386621156,0.1299529336896816,False,True,"ternary oxide (A-B-O, other ratio)",23.556621817220265,7.931663740074904,2.143180863047867,0.12008961252405613,20.799294,8.452246,2.1623192,0.12912724999671304,0.12008961252405613,0.312809246115421
1f21f7a1c6,Se4I2O11,34,669.0549189417086,3.701245449235851,1491.2846800000002,42.22744980474789,18.684911738364544,2.1280556515002464,0.0582709437875318,0.0533284909773872,0.4791788669978378,0.3418884469501054,0.4838797296575588,0.6799018509437593,0.260951285181883,False,True,"ternary oxide (A-B-O, other ratio)",37.105339823210436,16.34245969630795,2.255628558219939,0.34506534885241436,37.732533,15.413106,2.1941297,0.3366333003868808,0.34506534885241436,0.7201180448844198
9527ad4042,Cs8Ce(MoO4)6,39,869.1268683992463,4.132562904137514,2162.9852152,50.34379042759847,13.881921290331771,2.219412899536494,0.3389907758647546,0.1613313420332442,0.2539311435333247,0.0887956834937013,0.2543775074726808,0.6868080083230224,0.2340707422646607,False,True,complex oxide (4 elements),83.4293707708151,25.076172903188606,2.167843602751157,0.6493573895619316,64.702446,24.487032,2.2252092,0.589181876339384,0.6493573895619316,2.5572183881285637
afb3e65ad8,Cs3RuO4,32,819.8211700181915,4.567753647295245,2255.1358228,30.05920941145067,12.719018047460793,2.2037186826518256,0.2316170333512906,0.1788223768372053,0.2555913589405546,0.0863805844834551,0.2516914973165077,0.6902893588699816,0.1450441814369927,False,True,"ternary oxide (A-B-O, other ratio)",31.30909706944044,11.016501726801186,2.069933360293851,0.23641475673223525,29.404583,11.839124,2.1558073,0.24107031463709577,0.23641475673223525,0.9249716332828785
2784255095,Cs3CoO4,32,760.4702617183881,4.556209585215415,2086.5886028,55.46691379773692,17.026715448339985,2.1773082714314387,0.2720067454313041,0.095497768988537,0.3987064123200027,0.2261224993410438,0.3976404071026407,0.7251506766636028,0.2853814688901706,False,True,"ternary oxide (A-B-O, other ratio)",34.22974461355155,11.963794231487624,2.110342534692256,0.25095054078451584,28.679495,12.322859,2.148131,0.25156385481184446,0.25095054078451584,0.6294118504999171
d514ba2f7c,Rb6Si2Se6O,30,1023.0267437083204,3.4370059143247955,2117.4744,27.445825906705767,14.11850582339147,2.07248441136352,0.0680220282856457,0.0855715425859652,0.4493164149384171,0.2626255621128969,0.4473647111410203,0.7387192419338,0.4127758614251182,False,True,complex oxide (4 elements),23.073342524357816,9.36647528767223,2.1027322499905976,0.23678368640115072,17.94335,7.573885,2.153266,0.16355626029510154,0.23678368640115072,0.5269865033388643
dbbb5abf92,Cs11Li(RhO4)4,32,756.7124894030388,4.688390866190412,2136.5133709,34.8729322217478,13.770617257204618,2.225943819035012,0.2171098852320744,0.1708431514699164,0.2710271865362252,0.0915439117735114,0.2673978319213237,0.7451306077740948,0.4009614154841071,False,True,complex oxide (4 elements),31.79914857880195,11.445321381122831,2.1116113015374705,0.23067850642119012,32.147923,12.342618,2.1628513,0.2451184122764983,0.23067850642119012,0.8511268163511628
6b5a97c315,KRb(CO3)2,20,381.8363059138817,2.12730489630508,489.1678,19.03525409643276,9.366246522076269,2.010235926401723,0.146291325877276,0.1298145055828924,0.3550547087414716,0.176775242724544,0.3567545388481771,0.7452240021519688,0.1034224367931577,False,True,complex oxide (4 elements),61.82435386587702,26.338495081315248,1.9405896331795944,1.8007433463993128,49.148087,27.30112,1.8974361,1.9723654117762786,1.8007433463993128,5.071734868077754
e5657941b3,Cs8MnFeO8,36,951.099889869312,4.546437636002831,2604.0437204000004,51.27693234744445,17.709017051084803,2.2261032326176498,0.2391021285024314,0.1290902481307921,0.3858582160266948,0.2011237501692609,0.3942705984149276,0.7458675335024473,0.1283295566710174,False,True,complex oxide (4 elements),24.53563782933262,7.911690197964523,2.142343418805017,0.12549459813196434,20.792547,8.659441,2.173895,0.1385499819267431,0.12549459813196434,0.3252350032201524
ccd3662a08,Rb6Ge2Se6O,30,1064.7928147492814,3.580120815635219,2295.6923999999995,22.920356907354908,11.71551939678526,2.097162656583262,0.1024028533808502,0.1240197717680534,0.3290755951285959,0.1474853099336047,0.3333816216892114,0.7524174135370744,0.2799810274253416,False,True,complex oxide (4 elements),21.419918323449604,9.125189019632781,2.1087536635664668,0.22450862562984572,16.692589,7.512408,2.1651325,0.15832306606427587,0.22450862562984572,0.6822402783837933
b7c9da25a8,Ba2Sr6Sb4H2O,15,461.2675376338826,4.69947729743051,1305.4292799999998,28.95808172637452,15.699304501491632,2.132875351279836,0.0332166484003241,0.038335540438506,0.6497167851475553,0.5564962566603276,0.6465154949914169,0.7532467045123782,2.536111253635707,False,True,complex oxide (5 elements),34.69547739815551,22.898598831136717,2.0171993278728713,1.2787204040041076,34.661854,22.337284,1.9549292,1.3119281615029608,1.2787204040041076,1.9681196995914167
aa6c5c6c86,Ba3MoI2O5,22,560.2295284646169,4.989813632505656,1683.4538799999998,44.15154440528804,17.943757962483623,2.22324866880154,0.1111979731414287,0.0684296453127371,0.5152806946675613,0.3448121693613996,0.5177056041869558,0.7581525710795911,1.3603785065416425,False,True,complex oxide (4 elements),57.37200373669248,32.25000906219735,2.2268645430898952,1.2282762346797251,44.07147,28.45573,2.2064075,1.0355512708515102,1.2282762346797251,2.3837031881665203
17b77551b6,CsTeOF5,16,360.08787966949814,3.42630284415883,742.9937358,29.51390681177288,10.854226353463622,2.2175670938918177,0.2780133176895646,0.1567542828284762,0.3496826325859821,0.1688841587742024,0.3568681671983019,0.7607255705406043,0.2139532684328162,False,True,complex oxide (4 elements),26.698090425014144,8.8166152811764,2.2964660159543486,0.23716648156300496,21.028389,7.103147,2.2758162,0.17501124819087685,0.23716648156300496,0.678233516514976
bb91457ac5,Cs3AsO3,28,787.6055688355359,4.399142162398606,2086.5446228,30.62904151959492,12.622861706480329,2.102586590206016,0.234813216967109,0.1399503316186752,0.3213898622440863,0.1333323444774479,0.3229275220224411,0.7654359309235382,0.2115650127875805,False,True,"ternary oxide (A-B-O, other ratio)",20.45305173465744,7.03949526591734,2.163602609236085,0.12640856163894681,18.980986,8.172533,2.1675792,0.15679638300494056,0.12640856163894681,0.39331844743423544
17174a5932,RbCe2(AsO4)3,36,698.4498558441381,3.7205278849839374,1564.9148,60.0485141489288,19.048525810913763,2.1713994805071244,0.2032652667636151,0.108269164796093,0.4541651938295606,0.2654805595015578,0.4540191199686872,0.7656019640014327,0.7045592575172234,False,True,complex oxide (4 elements),116.37884154536074,50.36198157771017,2.2247614299473257,1.8404365632197937,139.92459,57.423317,2.1256437,2.477012487520167,1.8404365632197937,4.052350528452151
dae6a75e32,Ba8Sb3PO2,14,511.1863364926739,4.959883939196477,1526.868562,22.22351471160143,11.01665894405688,2.158624425432968,0.0955901631173703,0.1066489196876443,0.4025511958138025,0.2153406690544924,0.3977477546852686,0.7725713079568729,1.6784634886349692,False,True,complex oxide (4 elements),33.80090296011812,23.25857251786107,2.066294306432684,1.3436511818759476,32.512207,21.870256,2.0803218,1.208785607885561,1.3436511818759476,3.3378392508798926
873d0bb629,K2HNO6,20,344.8460613027252,1.8221851058483736,378.41528,22.6304973340124,11.824147551167671,2.012385122364208,0.0884876384027891,0.0785126252665154,0.5241236058269627,0.3526326334204359,0.5268099191607983,0.7863881656888901,0.1915259519923938,False,True,complex oxide (4 elements),60.38660561444719,18.65946495661744,2.118541446371049,0.9444435450250966,39.275528,12.439064,2.0785728,0.5347868570490184,0.9444435450250966,1.8019481178203236
be479fdd7f,Rb6Se2O9,17,400.0525677471349,3.381747360362712,814.7213999999999,43.92146628643832,15.76792152999297,2.175953561451624,0.0916389278015422,0.0425068104506049,0.6267230321159273,0.4984757551014025,0.6262630796013808,0.7867055333069956,0.4204121496877417,False,True,"ternary oxide (A-B-O, other ratio)",29.708849174216073,13.21228008486638,2.1710441456248724,0.4810840679682454,36.36667,16.171906,2.1942954,0.6365008442487168,0.4810840679682454,0.7676182991775823
3813f5f056,NaSr4Sb3O,18,558.6890017657712,4.486540736843761,1509.49833856,21.102733011506512,10.9732972901698,2.1068636804040843,0.1226226991664705,0.1434845780456611,0.3546102455429165,0.1660943429873283,0.3582213426841889,0.788517446449385,1.8746331855205165,False,True,complex oxide (4 elements),36.02121290047717,22.838854803227708,2.027332550857705,1.1474502725334714,37.336884,24.333101,2.0154536,1.2760872470574982,1.1474502725334714,3.23580688080994
4f7d62f350,Cs2Cr2O7,22,480.6967556715399,3.328692751441826,963.5978076,46.77885076861918,15.831114437868518,2.1602859411661526,0.2218708246027584,0.0631763734271006,0.5304486914539464,0.3608070528354928,0.5302156679175274,0.7924462657413781,0.2838413914405192,False,True,A2B2O7-type (pyrochlore-like),108.53271922856672,24.324006863170005,2.1925587792712484,0.9856266186322771,67.9952,24.101732,2.2256312,0.9336012524328976,0.9856266186322771,1.8580998209849469
b91ac8619e,Cs8Mo6PbO24,39,860.833700636564,4.301779839122243,2230.0692152,51.35314043481779,14.672256564912514,2.2039276747996275,0.3350927855432981,0.1728522097693568,0.2736278411237442,0.0939737776668533,0.2758125471058044,0.7953006440178039,0.2082951769788608,False,True,complex oxide (4 elements),84.24209465271171,26.481777794071593,2.1805793473625665,0.6792734962605023,59.241302,27.404612,2.2462397,0.6645462383061992,0.6792734962605023,2.4824721544081134
