feature,permutation_importance_mean,permutation_importance_std,mdi_importance
G_VRH_pred,2.962859884352064,0.02831242140740137,0.926113071246679
K_VRH_pred,0.19735199061414846,0.0018007981266729978,0.023915442499434163
Number of Atoms,0.06531237860799824,0.0008793607800077301,0.03219847176990037
Atomic mass (amu),0.009193426016411077,0.0004011894438455269,0.01127955164930675
Density (g cm-3),0.006179131496100404,0.00014097172675640954,0.004170008673363116
Volume (A3),0.0027576722897641017,7.020480988444489e-05,0.0023234541613165066
