formula,K_alignn,K_round9,max_real_K_same_chemistry,round9_exceeds_all_real,alignn_inside_real_range
MoBr5Cl,5.545167922973633,127.56639582835832,26.359,True,True
ZrPbBr6,5.01692533493042,66.62998518682396,26.359,True,True
TbBiCl8,7.543740749359131,88.12527319443245,26.359,True,True
YBiCl8,6.912527084350586,87.39080810616883,26.359,True,True
WBrCl3,6.587401390075684,135.46109724523373,26.359,True,True
Pt2ICl7,4.770090103149414,124.60782960752788,26.359,True,True
