material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal
a0e05c85e7,MoBr5Cl,7,239.96625930935124,3.673857238242029,530.913,6.875097205268106,1.9457924520576488,0.057378966000053,0.1781593790699776,0.3706890342833699,2.31552807427742,0.0466373695071553,0.0076598114149527,0.0480015402167489,0.2547885447965724,True,5.545167922973633,1.4582427740097046,0.027895193759416,True,True,Cm,monoclinic,0.0466373695071553
5fbe5bcacf,PdSe2I5Br,9,391.17629016743314,4.154852439608664,978.76635,4.272736509074029,1.859816666951612,0.0665249215915344,0.0285991460574868,0.3099386822504261,1.8360469874462548,0.0601032511540474,0.0405077391032083,0.0596853410026133,0.0874315509977588,True,4.928729057312012,2.1040279865264893,0.0708355674283733,True,True,P1,triclinic,0.0708355674283733
10d40a0dce,CoIrBr6,8,227.9421216301513,5.322171193574639,730.5741949999999,10.914193342671943,3.637859412923774,0.1092451946691718,0.0679786576268227,0.3500076083950478,2.1316421765472744,0.1021132643287625,0.045875836109239,0.1019253580830643,0.223590762193644,True,10.851346015930176,2.8024158477783203,0.0520570799360035,True,True,C2,monoclinic,0.1021132643287625
1d21b4ae34,NaGaBr6,8,336.9603670747021,2.8194872483163165,572.13676928,4.127642096580551,2.0692425280071545,0.0335241045368259,0.0768948116765671,0.2852319723667457,1.684733968321418,0.1062960773232516,0.050962346462119,0.1067694388784234,0.2260681722009087,True,6.424408435821533,1.863058924674988,0.0502082420139558,True,True,P1,triclinic,0.1062960773232516
7fb1d14f79,RuPtI6,8,292.744807919877,5.998925421184931,1057.58082,7.186872575488965,3.2261582623001424,0.0565091257074861,0.0327546798054327,0.3047653557024407,1.8026535358853912,0.120605945639343,0.0808884576387586,0.1210558251650127,0.1773907140293269,True,3.7188007831573486,2.4048142433166504,0.1121507782340992,True,True,C2,monoclinic,0.120605945639343
a204f466ca,EuZrCl6,8,303.2124508551137,2.4967633176672823,455.906,9.135369166789074,3.052457308203524,0.0403913891907977,0.0641658272232555,0.349674927525906,2.1288802843637846,0.1263661999616711,0.0635233598227897,0.1256758669985177,0.2390356676870033,True,4.470212936401367,1.9245778322219849,0.0833658578208466,True,True,R3,trigonal,0.1263661999616711
7a34973f56,RuPtBr6,8,256.4116995481002,5.02269425406325,775.578,10.190538375122928,3.8091264362865465,0.0561778874188857,0.1042089812196901,0.3338113317252507,2.003590136177339,0.1328427523717517,0.0485095302111258,0.1311680822981678,0.3837255153591641,True,8.173014640808105,2.432324171066284,0.0527229900563349,True,True,C2,monoclinic,0.1328427523717517
38731d0243,ErMoBr6,8,338.1630510799054,3.646626977845641,742.6229999999999,15.449868574915833,4.1522292618226695,0.1237183018518009,0.130667171406077,0.3766709388997391,2.3736055518827905,0.1351843340593095,0.0335202562198692,0.1388029636073567,0.5688595856263979,True,6.676199913024902,2.9272444248199463,0.1368215824436703,True,True,P-31m,trigonal,0.1368215824436703
ebe4491461,GaIrCl6,8,205.9973134170349,3.826205984442952,474.658,5.475624262807284,2.961179494182705,0.1269943411710352,0.1136021173751486,0.270901729759656,1.6056269912287209,0.1432360009029993,0.0433665355302588,0.1471179921335986,0.4425071198593495,True,5.837257385253906,2.7679073810577397,0.1130809544226755,True,True,C2,monoclinic,0.1432360009029993
9a57fc02a9,CoF8,9,161.59791365250567,2.1673646083852645,210.9204206,6.036348086636237,2.479447628563645,0.0271219852921668,0.0699580358128776,0.3193567813032553,1.8993942253079448,0.0896552178846222,0.0445300889082873,0.0881931883349661,0.1737210648114791,True,5.551172733306885,2.883700132369995,0.14393686994476,True,True,C2/m,monoclinic,0.14393686994476
164b7cd4e3,MnPtCl6,8,218.0471997545069,3.5239981267423564,462.740045,6.645203048636021,3.246349364248554,0.0333205611432678,0.0795655071307978,0.2899433715128354,1.7120568174395745,0.1573399907402564,0.0731508113833312,0.1570916066626886,0.3205496887855615,True,5.83645486831665,2.9466254711151123,0.1407681683006013,True,True,C2,monoclinic,0.1573399907402564
09f6f8cefc,MgBr7,8,383.5775929379354,2.526595443148834,583.6329999999999,5.326135572030601,1.771463880996149,0.0193722982129514,0.1245278241897839,0.3502977355829194,2.134055532819493,0.0597585504750904,0.0182029991119086,0.0595157360699785,0.2005767991647118,True,2.700357675552368,2.007504940032959,0.1640408538055589,True,True,C2,monoclinic,0.1640408538055589
