material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate
cb20d49643,GePAu,3,67.61851297661825,7.38149008315219,300.580331,67.94520975154487,19.57033950083006,0.1153215428754185,0.0842934902778867,0.3686001568589379,2.295796595433967,1.636954156768933,0.6296111615416128,1.653937570861723,4.283186750129707,False
f7ee908e60,TaSnIr,3,60.631781276597366,13.471110992670043,491.87488,191.64173521103237,62.569733815506765,0.0151216720658429,0.079081029057532,0.3527759282223652,2.1548516132189253,7.67441860667902,3.4461617637514763,7.769384187245997,16.751644211352477,False
430f484f4c,CeHN,3,40.25586748844595,6.399079303917595,155.13064,131.27670451609967,57.64708536119071,0.0268717291496265,0.022698602830706,0.3084717716627783,1.826480206604528,11.860173037095151,9.329320483677629,11.803041823545094,15.126463352347782,False
03fa857a23,GdHO,3,39.19019997796844,7.38350713389434,174.25734,109.18143562327644,59.197523895256985,0.0144808289089377,0.0020556706832649,0.2703990652699219,1.6029560085054662,14.172207022071346,13.356413310413796,14.1686106058255,14.977698937123757,False
14feb7947b,LuTeH,3,55.25684769829184,9.122815890031816,303.57494,68.83143022550937,50.343287193895165,0.0381493583429908,0.0292068165346856,0.2059817670880673,1.3089009083987893,14.934638212083838,11.154781551771489,14.972681039914775,19.910345220723112,False
daf3d19a96,LuHS,3,42.331774937843534,8.160736202840894,208.03994,91.6397332874539,61.43685590196792,0.1148531946996379,0.098115960753373,0.2260186570937758,1.3911541984294056,17.98004144449324,6.500172547480917,17.417313086045688,46.53106670570094,False
57428ddc4f,ScTeH,3,50.14605908577917,5.747401938510087,173.56385199999997,71.9940006904882,57.98715089265117,0.0502773713640103,0.0553567377975488,0.1825163512099136,1.221228524961627,24.521797834381932,14.6432476731824,24.63214314975364,39.253437765384376,False
00e45d8bd8,YHS,3,45.79840329089962,4.422655197999796,121.97879,91.93518284004315,61.86907558790508,0.0661103973847311,0.0344826611581893,0.2251685298325338,1.3875126842186645,25.428190412551885,16.81322460754262,25.35790792803,37.57326382108631,False
b3802bf821,RbAlBiH,4,117.3749171568395,4.561625052239459,322.4376786,22.407307766379496,8.745103438534308,0.0714821886056641,0.201692318204594,0.3273243574070763,1.955730719672357,0.783390587299771,0.1064460119221704,0.7815568457074306,5.030422494487537,True
871f594192,BaNaHgBi,4,138.82710985982266,6.816535404512773,569.88716928,25.832020104905013,12.696455015484815,0.0199518799284703,0.0270622766883376,0.2888440914026671,1.705620806938417,1.5150005208007928,1.1545288400027225,1.5166362166072074,1.9750301565736323,False
