epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.00999938933078422,0.44906196909970075,0.33842271190245177,7691,0.298534095287323,0.30539706349372864,0.13128897547721863,0.8918293922042536,0.5176534056663513,0.45723676681518555,0.13645362854003906,0.3141961395740509,1648,0.16057130694389343,0.17117176949977875,0.11040563136339188,0.7489149173635731,0.3196702301502228,0.2559501826763153,0.11467140913009644,0.26404067873954773,0.3196702301502228
1,0.009997557473810372,0.2808824415739949,0.29324165912507805,7691,0.14936554431915283,0.16879373788833618,0.11530131101608276,0.7026240440210759,0.32869917154312134,0.25195109844207764,0.11945904046297073,0.275064617395401,1648,0.15549573302268982,0.16460585594177246,0.1096159815788269,0.7014800828804174,0.31165599822998047,0.2458677738904953,0.11408253014087677,0.26268473267555237,0.31165599822998047
2,0.009994504881061753,0.2549037096474357,0.2749326689150727,7691,0.12836334109306335,0.15173234045505524,0.11117551475763321,0.6611407164452594,0.30595847964286804,0.2262735366821289,0.11505741626024246,0.26492953300476074,1648,0.12970900535583496,0.15990442037582397,0.11100596189498901,0.661162642926211,0.32032346725463867,0.2385345697402954,0.11555615067481995,0.2660779058933258,0.32032346725463867
3,0.009990232305719946,0.25669456260433093,0.2723412561474495,7691,0.13061930239200592,0.14947928488254547,0.11068561673164368,0.6521712447146518,0.30091726779937744,0.2229873389005661,0.11458414047956467,0.2638397216796875,1648,0.10899993777275085,0.15797121822834015,0.13247628509998322,0.6294584521319616,0.3456971347332001,0.23497603833675385,0.1387476921081543,0.3194783627986908,0.3456971347332001
4,0.009984740801978986,0.252439894873909,0.29429979694699776,7691,0.1338314414024353,0.15471714735031128,0.10998311638832092,0.6753701027395921,0.30715563893318176,0.2308359444141388,0.11382320523262024,0.2620876133441925,1648,0.1324358433485031,0.14976902306079865,0.10196942090988159,0.7356426081661797,0.2932279706001282,0.2236543744802475,0.1057584285736084,0.24351777136325836,0.2932279706001282
5,0.009978031724785247,0.23618609807051416,0.2583417594432831,7691,0.1164063960313797,0.1392611265182495,0.1055494025349617,0.6230348898176445,0.28496336936950684,0.2076309770345688,0.10912816971540451,0.2512768805027008,1648,0.11144639551639557,0.1378796547651291,0.11407920718193054,0.6442187027976266,0.2916854918003082,0.20536744594573975,0.11889877170324326,0.27377453446388245,0.2916854918003082
6,0.009970106729503141,0.23670866308527236,0.2481716535623791,7691,0.11776810139417648,0.14087863266468048,0.10501619428396225,0.644799388177368,0.2860887348651886,0.21007975935935974,0.10853549093008041,0.24991221725940704,1648,0.12088470160961151,0.1483519822359085,0.10679570585489273,0.6245867274248597,0.3018849194049835,0.22116400301456451,0.11083294451236725,0.2552022933959961,0.3018849194049835
7,0.009960967771506667,0.2306086626773289,0.2535475402781107,7691,0.1197994127869606,0.14037689566612244,0.10387956351041794,0.6449246132149221,0.2831753194332123,0.20935609936714172,0.10732588917016983,0.2471269965171814,1648,0.1367315649986267,0.1655627340078354,0.10838919132947922,0.6014519419346537,0.32759368419647217,0.24694448709487915,0.1126188412308693,0.2593144476413727,0.32759368419647217
8,0.00995061710569696,0.22428257745367206,0.26404270905892824,7691,0.11527170985937119,0.1373884528875351,0.10255826264619827,0.6316049129495498,0.279615193605423,0.20484408736228943,0.10599282383918762,0.24405750632286072,1648,0.11748818308115005,0.12979552149772644,0.10353363305330276,0.6212618048032861,0.2665266692638397,0.19360218942165375,0.10770740360021591,0.2480054646730423,0.2665266692638397
9,0.009939057285945933,0.223561380783629,0.2520926803061106,7691,0.11694861203432083,0.13577380776405334,0.10343286395072937,0.6286882359914617,0.2768079340457916,0.20244748890399933,0.10675431042909622,0.24581089615821838,1648,0.10932155698537827,0.12431498616933823,0.10392787307500839,0.6109790912730775,0.25875985622406006,0.1853804737329483,0.10786347091197968,0.24836482107639313,0.25875985622406006
10,0.009926291164466132,0.21816281307241167,0.2856152969077953,7691,0.10911070555448532,0.13279323279857635,0.10241804271936417,0.6067718723277862,0.2748450040817261,0.19793611764907837,0.10576517134904861,0.24353329837322235,1648,0.13166239857673645,0.1566695123910904,0.09864668548107147,0.6166745187723226,0.29830431938171387,0.23416703939437866,0.1023445874452591,0.23565711081027985,0.29830431938171387
11,0.009912321891107011,0.22326165522560001,0.2323561028658765,7691,0.1154123917222023,0.13844044506549835,0.1020706295967102,0.6377923061134251,0.2802274823188782,0.2064640372991562,0.10535559058189392,0.24259023368358612,1648,0.12615929543972015,0.15512274205684662,0.1027093231678009,0.5809873368112146,0.30871105194091797,0.2314002960920334,0.10691596567630768,0.2461831122636795,0.30871105194091797
12,0.009897152912577742,0.2222595803372774,0.25272763498778483,7691,0.12247980386018753,0.1421094387769699,0.10029759258031845,0.6694895221442743,0.28178080916404724,0.21205799281597137,0.10349127650260925,0.2382974922657013,1648,0.11980632692575455,0.14062857627868652,0.10018202662467957,0.6550602529772498,0.28088662028312683,0.20980706810951233,0.10400404781103134,0.23947817087173462,0.28088662028312683
13,0.009880787971596802,0.2140742464022772,0.25726412337960547,7691,0.11396973580121994,0.13179603219032288,0.09934042394161224,0.6355072212824681,0.2668946087360382,0.1966228187084198,0.10256469249725342,0.2361639440059662,1648,0.1048901230096817,0.16349640488624573,0.13008275628089905,0.5888204388460325,0.35687482357025146,0.24328120052814484,0.13664235174655914,0.3146305978298187,0.35687482357025146
