material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system,space_group_order
655d2e49bc,Rb8HfBi4,26,1318.603572391143,4.277026273983593,3396.308,13.784772657086224,4.947565908988945,0.0715282059689356,0.0518925319408219,0.3397182092487307,2.048821731457473,0.1082572584549107,0.0583600276234865,0.1069431066656482,0.1943064448334084,True,Fd-3m,227.0,cubic,192
2d975cdfa8,Rb8TiBi4,26,1279.3077079114298,4.069304751540582,3135.062,13.898793376533156,5.657401503439447,0.11763374846161,0.0422011759880482,0.3207935678522792,1.9093615149310608,0.1540668903790046,0.0790607853267948,0.1515583242178673,0.2848381545404462,True,Fd-3m,227.0,cubic,192
2a5022efb3,Rb8SnBi4,26,1336.900874734665,4.0699861716265096,3276.748,13.954467951270374,5.662654286920473,0.054199195073985,0.046290940671229,0.3212773841830351,1.912736513828642,0.1560320850570595,0.0950687344578179,0.1555942293341803,0.2551409205268403,True,Fd-3m,227.0,cubic,192
935856cf2a,Rb8Hf6BeBr20,35,1231.6289392490194,4.53249989214854,3361.774582,14.86169001392125,6.862426984449797,0.0454023826267783,0.0534516864891862,0.2999195087871841,1.772228469749114,0.1636399789373336,0.0939464530529956,0.1661268411764615,0.2837457058956883,True,Fm-3m,225.0,cubic,192
a22fe37213,K8Hf6BeBr20,35,1141.8209864253197,4.349518149084867,2990.818582,13.699732091295417,6.680645275179471,0.0630345419502592,0.0234475375951775,0.2902678705520914,1.7139638647506938,0.1656398903371141,0.1186146527489742,0.1638976830210584,0.2304979917533103,True,Fm-3m,225.0,cubic,192
dece20c5a4,Rb8Y6ZnI20,35,1617.6787652808998,3.9219044830136096,3820.6759,13.641551721924756,6.323239904000872,0.0857486876005936,0.0327755100911977,0.2992532822468773,1.7681082635280527,0.1710906373490448,0.1076389044581151,0.1717126076872635,0.2707192978557373,True,Fm-3m,225.0,cubic,192
6794c6f10e,Cs8Zr6CBr20,35,1361.94740897499,3.926775832583744,3220.6783152,11.099544398718866,6.060458372016376,0.0532096986109344,0.0168893983600301,0.2690320788456514,1.5957264756566811,0.1793229216078225,0.1395143663916495,0.1808176721997725,0.2298729931802336,True,Fm-3m,225.0,cubic,192
1056c3e629,K2Rb6TiBi4,26,1249.9872828317966,3.9183594395979218,2949.584,16.09939663964103,6.382214216939777,0.1047396457239372,0.0435674216604376,0.3249222646265908,1.9384695941138184,0.1814200312353799,0.099464625370006,0.1820058425972353,0.3318411954464075,True,Fd-3m,227.0,cubic,192
b2abbd586a,K2Rb6SnBi4,26,1311.429329139833,3.91418316909778,3091.27,15.967405503867129,6.321708655966612,0.0598976787729931,0.0322640350675286,0.3251221586293137,1.9398967447082944,0.1815722419814212,0.1207490880411928,0.1846330925270986,0.2724380782473791,True,Fd-3m,227.0,cubic,192
617d4ed7ea,Rb8Dy6ZnBr20,35,1336.797138057719,4.126800453588787,3322.2314,13.82167594247932,6.826297989006168,0.0151839959323096,0.0102633528896892,0.2879650887525949,1.700501349699733,0.1875743924092654,0.167919479129015,0.1870730081238145,0.209219460859799,True,Fm-3m,225.0,cubic,192
