material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence,confidence_old
801c8bda45,K3ReO4,8,156.46169181111577,3.900298344563921,367.4995,28.540615183358607,12.829768759655494,0.21718001080193308,0.05280710798097337,0.3045267893836756,1.8011366204283887,0.964069013668834,0.3413229390832386,0.9501907745056396,2.4529826712280416,C2,monoclinic,7.186691518057717,wide,tight
4212cc1a82,Zn2InBCl2O3,9,197.26837301062093,3.1595806395810184,375.3512,38.31014738170515,11.596109271031244,0.22630222999902777,0.12256582504544146,0.3625255828767723,2.239956479898038,0.5742912765375695,0.12913347568802042,0.5672300359002698,2.500638593297709,R32,trigonal,19.364758672949517,wide,moderate
15aca1906a,K2RbSbO4,8,175.43559264491546,3.3073612588669903,349.422,30.81823747950553,9.51799488471989,0.26154378452321947,0.15856331913726893,0.359992024318584,2.2173206332054063,0.4617528231785603,0.0774762184972442,0.4735543294786082,2.6860807671575215,I-42m,tetragonal,34.669745365193116,wide,moderate
c635459bbc,Rb4RuO4,9,199.8814525925061,4.211454699939388,506.9388,22.355555209291182,10.129351390776772,0.32411010268357526,0.12100870659651723,0.3031760228964362,1.7925853735594353,0.6330332426705559,0.11552486911882187,0.6034134803345514,2.79267882533962,C2/m,monoclinic,24.173832410640866,wide,moderate
c03b821eda,Ag3HgAsO4,9,146.94118851876254,7.493653638846149,663.1138000000001,52.92164909557099,12.587567428372283,0.09267818815005116,0.2489167054239464,0.3898098976023013,2.509979984053035,0.2929269394868671,0.024293137061745098,0.29240358301506886,2.9019867260905645,P1,triclinic,119.45705977431719,wide,moderate
568c80f9cb,Rb3IrO4,8,167.71166593607853,5.075509873928903,512.6179999999999,23.02755902321739,12.067182239162044,0.30506590964110886,0.0823043818350563,0.2769463371481528,1.6382855094136053,0.9252908817744716,0.22983913404998826,0.9349291255676164,2.967689196549996,I4/mmm,tetragonal,12.912027400453685,wide,tight
bcf3ef5d3b,CsK2SbO4,8,182.6576449615065,3.6078476594659903,396.8596519,26.679781594738188,8.978495695804027,0.2096175452621123,0.18687098476490843,0.34870736617421,2.1208805090546594,0.4514134316518436,0.058295574512580106,0.4475828995775314,2.9950566750728225,I-42m,tetragonal,51.37708479786048,wide,moderate
26f790a4a2,KRb2BiO4,8,189.4956696301344,4.232604007620725,483.0119,27.24195816274789,8.472903868089926,0.19453408417783863,0.23568489251736513,0.3590961426115318,2.20940570749865,0.3545046186753142,0.03303121845822268,0.36981729215653714,3.4839561526921616,C2,monoclinic,105.47464838751284,wide,moderate
8175bee583,Rb2H2SeO,6,143.95019406423845,3.090488943906595,267.91088,17.626313923562982,8.256158994690571,0.1691149593062837,0.17170894814597001,0.2974283457949416,1.7568982855461444,0.7571416248071919,0.12918597555972824,0.7750395149499832,4.011179117614377,P1,triclinic,31.04964838663804,wide,moderate
28362a88b3,Cs2RuOF5,9,197.78041007368003,4.012154978785394,477.8723198,26.53454920792516,8.559582052870217,0.6960907290201547,0.26613978247066195,0.3543681631628513,2.16838721282298,0.347092655709403,0.017414902934023004,0.33511862927162767,5.717246332439384,I4mm,tetragonal,328.29619286994483,wide,wide
2c8d4b19df,Rb2IrOF5,9,173.81992324805017,4.529599646290612,474.144016,18.659174292854544,8.689897887988083,0.3819910614971358,0.28576809713534884,0.2984325541753442,1.7630530552841466,0.4765432878384605,0.021118809486636112,0.46488460359352957,5.857376236460828,I4mm,tetragonal,277.3535241258438,wide,moderate
0d392955a3,Nb2I3BrO2,8,232.30843707796257,4.849405490141894,678.4289699999999,13.017284324000943,9.276549031788944,0.09224619910292117,0.2196548472200917,0.2120777230210989,1.333157944076756,0.957768116596644,0.11140072759581417,0.9753239729467611,6.551031310466021,P1,triclinic,58.80600110831029,wide,moderate
5e5c060528,KAg(HgO2)2,8,139.99801260064197,7.260740170351605,612.1441000000001,38.79056659488402,12.809954909939334,0.2918016740369056,0.2692453205631441,0.3512564929568634,2.1420623137541885,0.4860363676802423,0.026563337305301783,0.4731587438499629,6.711867124436814,P-1,triclinic,252.6740916359629,wide,moderate
b52c3705f5,Cs2Te(OF2)2,9,189.0866464945939,4.403271261803082,501.4033166,23.98186377479653,10.815774330108134,0.32657681632681956,0.2501250069594705,0.3039705922339317,1.7976078101663655,0.6672588542316138,0.04742560832281174,0.6694857279651798,6.765506395695056,C2/m,monoclinic,142.65513158301113,wide,moderate
76149ff4ec,FePb2(BrO)2,7,160.96815805876523,6.829691616073913,662.0518,48.63300814836816,15.51726477266477,0.18461297553752892,0.2172221537319172,0.3558020552213583,2.1806953980991977,0.7700989574657394,0.08684248338238278,0.76550803290371,6.792093772083199,C2/m,monoclinic,78.21164834930401,wide,moderate
8b73a21f72,Cs2CoCuO4,8,182.0217099140831,4.126108883406401,452.2876988,22.98068941749071,11.661313385745512,0.37456745818404796,0.23782731914003152,0.2829871436768038,1.6719515465394037,0.9694266015461156,0.07061344096492973,0.9784912765150955,8.35939056957015,Amm2,orthorhombic,118.38242769845834,wide,moderate
09880933a7,Rb3ReO4,8,179.17863011067334,4.69499279075754,506.608,25.13327503853318,9.356809942691331,0.2691807450189967,0.3200632307106949,0.3344057087166761,2.00806877363774,0.4673558394196682,0.020166714917187953,0.47352592300083485,9.508437835704713,I-42m,tetragonal,471.49165715635405,wide,moderate
7b2a583a1e,Rb2Te(OF2)2,9,164.83534285889078,4.095333174043256,406.5280128,24.035291917083857,12.181411411310409,0.11291187520070343,0.2860945243176407,0.2832162152552755,1.6732490606440258,0.8922868960159436,0.055610128279837995,0.9320090096248193,11.757666364292906,C2/m,monoclinic,211.43030465829307,wide,moderate
c3b3e9a64e,NaAg(HgO2)2,8,124.4387605883574,7.9536339366917,596.03556928,53.656463653573006,14.214210938352585,0.4501446216633066,0.3799537775369839,0.3782915970650454,2.3897551181679835,0.4088939913101401,0.012781029882206477,0.403119104593669,16.841736574103614,P-1,triclinic,1317.7135746744775,wide,wide
