material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,stoichiometry_pattern,is_low_kappa_candidate,space_group,space_group_number,crystal_system
62ce3edf15,Rb2I4O11,34,643.6367983946612,4.409345407232579,1709.0937600000002,17.652311192791554,13.257683199210614,0.0804623128347683,0.0358500959437117,0.1996656362806614,1.284435748770258,0.5946358706382682,0.3734713858281377,0.6040877624037939,0.8924789726448816,"ternary oxide (A-B-O, other ratio)",True,P6_3,173.0,hexagonal
9a4e9cdbb7,PtOF3,20,319.0417469584289,5.581150542540825,1072.3144384,12.4971761291527,7.358649924676907,0.0221969654990646,0.1644110597157793,0.2538922853283541,1.5188591419638708,0.2340256489123876,0.0479329350156799,0.2288794164215714,0.9815106319220436,"ternary oxide (A-B-O, other ratio)",True,P4_1,76.0,tetragonal
601d0c677b,Pd(SeO3)2,36,570.6498180172928,4.194184603320786,1441.3456,22.06642606444033,14.681472763154584,0.0957288612164142,0.0559288552089121,0.2277200213363165,1.3984843424561746,0.5769374277492411,0.3079630562151213,0.5861300760926252,1.033206278588367,"ternary oxide (A-B-O, other ratio)",True,I-42d,122.0,tetragonal
41e31e028c,LaAsSe2O,20,493.99848785741153,5.213523345493832,1550.98588,33.698371301082226,16.767123965608736,0.0512217625861463,0.0218832996439469,0.2866094653963882,1.692652396923553,0.8129895212690159,0.5999542099914067,0.815479749800399,1.069414674971508,complex oxide (4 elements),True,Pca2_1,29.0,orthorhombic
cb05d3e591,K6SbIO5,13,347.2432501604565,2.693503009839982,563.25127,25.65071172602778,9.988832686165008,0.0205327394188749,0.0710894362070276,0.3276618101072591,1.9581752066649205,0.5484005363772717,0.2690649701613495,0.5389539991294976,1.089649250592793,complex oxide (4 elements),True,F-43m,216.0,cubic
6dfd8f1d7b,KDy(AuO2)4,14,241.99159748282952,7.667975397890639,1117.459776,77.63834689277157,23.10737100150884,0.087932216054283,0.0269873406764508,0.3646171002185164,2.258929082841054,0.7003954445302536,0.4423983740771734,0.6853786221051617,1.0908749570366332,complex oxide (4 elements),True,Pmmm,47.0,orthorhombic
c4ac68c097,Na2V4PbO12,38,590.8206775613745,3.647764898637874,1297.8766771199998,30.12514335818645,19.03045555905752,0.0397897449312797,0.0246303251679591,0.2390845732543011,1.4489434804971038,0.8330160507146331,0.6313307667154993,0.8351811930526589,1.0934187663119916,complex oxide (4 elements),True,P4/nbm,125.0,tetragonal
4fb01de76c,Nd3Gd3Se8(O12F)2,40,697.78466094423,4.659840647371047,1958.1384064,65.0192038426266,24.77681239233633,0.0646883514650351,0.0482643417086103,0.3309399505056916,1.9821775962975927,0.6524438003805975,0.365697363609755,0.6462392339786704,1.101379927465161,complex oxide (5 elements),True,P3m1,156.0,trigonal
ab2ee866b3,K2Ba(RuO4)2,13,232.2148540632802,3.90193710628472,545.6587999999999,35.45400422390251,15.864045336679562,0.040485141343324,0.0076571620416465,0.3053110082026332,1.8061305774910863,0.9257452091915236,0.7742675752830113,0.9205240617192252,1.106980192375431,complex oxide (4 elements),True,R-3m,166.0,trigonal
090b39c5c9,LaNd(AuO3)2,20,305.2672290370326,8.41049711832676,1546.154016,123.84289897775122,36.034105027036965,0.0109250030761555,0.0168142357052083,0.36737956143058,2.28439437835444,0.9606085506235454,0.8040745897942037,0.9624411875929634,1.135353925781631,complex oxide (4 elements),True,Pma2,28.0,orthorhombic
c4627d1f77,TlVCu4P4O17,54,713.9735848835193,4.21147660666264,1810.787296,56.82322260526245,28.87504908384523,0.0694056571368357,0.0151490827871178,0.2827252495104991,1.6704700146855385,0.8748015955208859,0.6422537281071798,0.8715946594959117,1.1663867101145478,complex oxide (5 elements),True,P42_12,90.0,tetragonal
576e0282c1,HoCuPd5O8,15,223.32970651696465,6.606858297096029,888.57152,159.27839163882314,34.22461048036617,0.0075468211608813,0.033365710278536,0.3997442931770863,2.6220063063236005,0.863765474659305,0.6278319454170452,0.870896592618069,1.2022135497146962,complex oxide (4 elements),True,Immm,71.0,orthorhombic
9ce7a8963d,NaLi(Ag3O2)2,12,186.302099505522,6.605872357318043,741.1375692800001,58.499520914892166,18.381758298146984,0.04001977101524,0.067868695811804,0.3577852703208061,2.1979071682265827,0.6079355686613181,0.309147610987574,0.6085828544892662,1.2030459846192492,complex oxide (4 elements),True,I222,23.0,orthorhombic
a2dfb72e0b,LaBiPb2O7,22,338.8789661127134,8.568126177490468,1748.56334,103.8788127181434,33.87644653302499,0.0311590436518231,0.0277249629667504,0.3529297399559974,2.1561531728837267,0.926534661782902,0.6828019188029496,0.9270080737608752,1.2550203656191672,complex oxide (4 elements),True,Imma,74.0,orthorhombic
0f3467e253,P2SeO6,18,269.99593030795967,2.9140307480468493,473.807848,17.055008311356733,8.168903285091611,0.0261524629345064,0.1434008595782661,0.2934848526735465,1.7330491521451696,0.3229172947199134,0.0799584302696795,0.3195105900510525,1.2577997848042126,"ternary oxide (A-B-O, other ratio)",True,Pmna,53.0,orthorhombic
c265fdd42b,CsNaCdO2,20,397.2761802399738,5.020872079076258,1201.22008472,44.78150534536715,20.88564738100421,0.0083953627560436,0.0247823755282415,0.2981805186449088,1.7615051822358545,1.0012161082046136,0.7881000715143217,1.0030411560100614,1.2616666420337614,complex oxide (4 elements),False,Cccm,66.0,orthorhombic
35c738a32d,Ba12CrCo3(O9F)2,36,642.477995935459,5.693080356124098,2202.7056914,65.87634269263035,30.796462520487072,0.0183329589098578,0.0143755393189208,0.2977690945974549,1.7589829709613407,1.100555562781416,0.938709398408848,1.102610653953806,1.2921685468147197,complex oxide (5 elements),False,P-4,81.0,tetragonal
69071f813c,Mg2Hg2OF6,22,287.93160598284965,6.687331443636783,1159.5596384,76.42890324230106,27.70850441693713,0.0568310735714084,0.0381138309393821,0.3382741999150888,2.037614037181105,0.8256451151747732,0.5434144413313556,0.8283247467072268,1.2935431747839927,complex oxide (4 elements),True,Fd-3m,227.0,cubic
