material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable
c03b821eda,Ag3HgAsO4,9,146.94118851876254,7.493653638846149,663.1138000000001,52.92164909557099,12.587567428372283,0.021726989796102,0.0548572331247012,0.3898098976023013,2.509979984053035,0.2929269394868671,0.1677542490590502,0.2911106061812037,0.4951831685996306,True,50.27485656738281,9.793946266174316,0.1620202032126562,True,True
b52c3705f5,Cs2Te(OF2)2,9,189.0866464945939,4.403271261803082,501.4033166,23.98186377479653,10.815774330108134,0.0765609610805967,0.0551235233236908,0.3039705922339317,1.7976078101663655,0.6672588542316138,0.3619427425309266,0.6577134949939079,1.2026028153717463,True,22.718795776367188,7.906653881072998,0.3150778718291801,True,True
7b2a583a1e,Rb2Te(OF2)2,9,164.83534285889078,4.095333174043256,406.5280128,24.035291917083857,12.181411411310409,0.0264704695820391,0.0630506256679849,0.2832162152552755,1.6732490606440258,0.8922868960159436,0.4990617428157888,0.8885584864924305,1.614254341338151,True,35.073970794677734,9.59460163116455,0.3196480147649813,True,True
26f790a4a2,KRb2BiO4,8,189.4956696301344,4.232604007620725,483.0119,27.24195816274789,8.472903868089926,0.04560555343489,0.0519411546556306,0.3590961426115318,2.20940570749865,0.3545046186753142,0.2056419133595467,0.3568846366477519,0.607598117671654,True,21.51108169555664,7.445504665374756,0.3286285492502651,True,True
bcf3ef5d3b,CsK2SbO4,8,182.6576449615065,3.6078476594659903,396.8596519,26.679781594738188,8.978495695804027,0.0491416411768873,0.0411833555246183,0.34870736617421,2.1208805090546594,0.4514134316518436,0.2805148064208487,0.4535955355184561,0.7073783582459436,True,36.3021354675293,9.356131553649902,0.35744316260479175,True,True
198468c59e,V(OF3)2,9,128.5474611956122,2.5438942944543816,196.9307192,6.24544631054811,3.820818604056623,0.1325945574515759,0.1215771096923182,0.2459241973633341,1.4806256656552186,0.2209559334425295,0.0623068694557536,0.2257354879529509,0.6949024509376537,True,8.888897895812988,5.357105255126953,0.3615272691140203,True,True
28362a88b3,Cs2RuOF5,9,197.78041007368003,4.012154978785394,477.8723198,26.53454920792516,8.559582052870217,0.163187870506225,0.0586529219317951,0.3543681631628513,2.16838721282298,0.347092655709403,0.1458713376076358,0.3465101838732158,0.8152837935675749,True,17.312646865844727,7.415807723999023,0.38137465473323007,True,True
8b73a21f72,Cs2CoCuO4,8,182.0217099140831,4.126108883406401,452.2876988,22.98068941749071,11.661313385745512,0.0878116362044156,0.05241331097994,0.2829871436768038,1.6719515465394037,0.9694266015461156,0.5212671014310023,0.9525314838043024,1.6901537492400445,True,31.757047653198242,9.969520568847656,0.4568420822947468,True,True
15aca1906a,K2RbSbO4,8,175.43559264491546,3.3073612588669903,349.422,30.81823747950553,9.51799488471989,0.0613149571760025,0.0349448019092364,0.359992024318584,2.2173206332054063,0.4617528231785603,0.3032651709630355,0.4606684716406425,0.7151534987612392,True,37.99662399291992,11.187141418457031,0.5580383672718205,True,True
44cc9d9400,NbIClO,8,209.27518949753195,4.304793374395921,542.5265,15.057897490349257,9.630557738917794,0.0515846904033893,0.0950813481441355,0.2364102865556606,1.4368296947004795,0.9387921906087464,0.3587700659685537,0.9330270216094524,2.2138291928234173,True,11.780754089355469,7.2493696212768555,0.5908151380592804,True,True
c635459bbc,Rb4RuO4,9,199.8814525925061,4.211454699939388,506.9388,22.355555209291182,10.129351390776772,0.0759826776330405,0.026668370114323,0.3031760228964362,1.7925853735594353,0.6330332426705559,0.4203923061057146,0.6290951038160442,0.923704615509342,True,28.236425399780273,10.899154663085938,0.5948949109348677,True,True
09880933a7,Rb3ReO4,8,179.17863011067334,4.69499279075754,506.608,25.13327503853318,9.356809942691331,0.0631053262593551,0.0705367814982036,0.3344057087166761,2.00806877363774,0.4673558394196682,0.2229408013390296,0.4619370214933814,0.951888525800707,True,25.897165298461914,10.548142433166504,0.6167611693660698,True,True
8175bee583,Rb2H2SeO,6,143.95019406423845,3.090488943906595,267.91088,17.626313923562982,8.256158994690571,0.0396464267219687,0.0378418868351876,0.2974283457949416,1.7568982855461444,0.7571416248071919,0.510341167358621,0.7504959716912157,1.1028229490105488,True,13.959616661071777,6.92937707901001,0.618445218616117,True,True
3a65500650,Nb2I3ClO2,8,229.53738921950549,4.5863778079869,633.9779699999999,14.010361055717311,9.674469825063817,0.0269464647106784,0.0444706312092724,0.2193395312921136,1.3629170185161517,1.014886137053704,0.6769746359045742,1.0184329353007384,1.5397298205147043,False,11.452990531921387,7.647311210632324,0.6912835226431484,True,True
2c8d4b19df,Rb2IrOF5,9,173.81992324805017,4.529599646290612,474.144016,18.659174292854544,8.689897887988083,0.0895519869455482,0.0629786863740483,0.2984325541753442,1.7630530552841466,0.4765432878384605,0.2302435442583534,0.4685960466902926,0.9078474735634392,True,14.676529884338379,9.177075386047363,0.6961178209184612,True,True
0d392955a3,Nb2I3BrO2,8,232.30843707796257,4.849405490141894,678.4289699999999,13.017284324000943,9.276549031788944,0.0216257165428547,0.0484083908325905,0.2120777230210989,1.333157944076756,0.957768116596644,0.6077168291248723,0.9500104928011152,1.47569090021917,True,11.798924446105957,7.8937506675720215,0.7091589277169904,True,True
3d26d1d90b,Rb2Os(OF2)2,9,174.23923408493758,4.4711813263108,469.1580128,23.35490380882296,10.143146003151823,0.0794826064286583,0.1218592322999118,0.3103088713212659,1.8384737031657263,0.562224369633318,0.1547375593376704,0.5741265786796494,1.7164352792592203,True,15.537732124328613,9.440876960754395,0.7116654771552492,True,True
ddfd779509,NbAg2OF5,9,145.04003876690055,4.804321503476135,419.634196,47.624110959537,8.342847384274924,0.0806009583204509,0.1817361022009627,0.4172419656898437,2.841021679367547,0.1416843815485321,0.0262012212467625,0.1343960914587737,0.8700388402702852,True,40.55490493774414,14.680231094360352,0.7294016701091176,True,True
