material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system
7f8d1f0d38,CrSi3Cl16,20,740.9895310637913,1.5765273088697558,703.5006000000001,3.657127940314808,0.5662226859736705,0.1651716191868483,0.087807163314035,0.4263855957948267,2.96816056008762,0.0029883688768935,0.0012289740054427,0.0031165395509807,0.0093725039463927,True,P1,1.0,triclinic
eef595e920,Cr3SiCl16,20,763.8378152487495,1.6333299783344823,751.3218,5.968758295412012,0.8754008798880287,0.0360959734677335,0.1264110796534733,0.4300860404479751,3.0224073359371904,0.0054029108032541,0.0016695257997466,0.0054648395105615,0.0195805783352939,True,P1,1.0,triclinic
ac16802926,TiCr3Cl16,20,757.1081446942028,1.6912341582856882,771.1033,5.663390573514001,1.013997484547976,0.1110940408281219,0.1738129925342396,0.4155197771418433,2.818111304941989,0.0080798733531761,0.0016437768712285,0.0080519828142713,0.0485146191091094,True,P1,1.0,triclinic
490ab8245f,Cs7KS24,32,1179.996223433661,2.447187127108376,1738.9964633,3.773374356386513,1.0452397122104624,0.0144105598209257,0.1088586024659725,0.3732055341976805,2.3396719058575925,0.008172021850937,0.0028121303279379,0.0080717559915871,0.0232524808543409,True,P1,1.0,triclinic
2ce38f1e37,Nb(OsCl6)5,36,1151.9614289728268,3.0381478662688486,2107.64638,4.571162597132003,1.2572793797861148,0.1042885057611995,0.0982972397626468,0.3740265580170494,2.3476388188165176,0.0084652132790527,0.0029552870623478,0.0084524570655003,0.0247588083783597,True,P1,1.0,triclinic
440629e12a,AgAu3Br20,24,980.3201699404234,3.890571470310987,2296.847907,6.348875694892927,1.4685176718151756,0.1074096736848784,0.0618032285466153,0.3926268113694159,2.5409202064036185,0.0110919807138153,0.0052026926613307,0.0109472295774657,0.0241899306088033,True,P1,1.0,triclinic
7abe66a674,KRb7S24,32,1042.1475757029325,2.2417813966732045,1406.9328999999998,6.914437990340564,1.559085246690037,0.0333691072495984,0.0719614776254954,0.3951400767600911,2.5690671348984986,0.0118999756391041,0.0056414112016759,0.0120318220656137,0.0248215127579813,True,P1,1.0,triclinic
bd2eca644f,CrSi3Br20,24,1063.2427688992698,2.708626030707049,1734.3326,4.316727210667956,1.1885851148570243,0.1697290836661405,0.1241809947462936,0.3739014721576496,2.346422146358204,0.0120496923048359,0.0031132342709468,0.0123642736885361,0.0474983715000334,True,P1,1.0,triclinic
ddbc65713f,Ag3AuBr20,24,954.0864241955326,3.687404987974675,2118.651169,7.680937351739551,1.6424205894214192,0.0747161699377447,0.0483176951114588,0.4001981905701399,2.6273242731776763,0.0122620458529341,0.0070169540064901,0.0122731594473147,0.0219410835670969,True,P1,1.0,triclinic
f43005d011,NbOs3Cl20,24,765.8898701173736,2.97608002942118,1372.65638,4.716340199845991,1.3210738482062778,0.098864640800316,0.0993388465073894,0.3719070023132041,2.3271620377950955,0.0123063907978165,0.0043832209986426,0.0120122398255284,0.0363805211188495,True,P1,1.0,triclinic
04caf40a0d,Cr3SnCl16,20,764.3333815211686,1.8291556523413703,841.9463000000001,5.879021257242608,1.2327655047630306,0.0866107768714547,0.1080234341797563,0.4020050351251283,2.6486745112222376,0.0123539832756542,0.0041738040581701,0.0126096179923229,0.0346662327563509,True,P1,1.0,triclinic
99f5327c41,W2ICl27,30,1330.507569342296,1.8119373120058009,1451.81547,2.236948091358141,0.8966909744270564,0.1758666479146298,0.0506172236955876,0.3231968150386779,1.926219737725087,0.0125830009559907,0.0055077845025611,0.0129317059591338,0.0283048484731332,True,P1,1.0,triclinic
02401615c0,Nb(OsBr6)5,36,1378.672426793254,4.144717563783988,3441.17638,6.466875733715722,1.7899584210685977,0.1142813626621749,0.153344344356435,0.3732957323846649,2.340544975502906,0.0131630549490246,0.002855423355275,0.0132112742244732,0.066863765833029,True,P1,1.0,triclinic
f4cb435dce,AuSeBr18,20,905.5722418907208,3.143309350746148,1714.198569,4.621504692195732,1.2498571213591323,0.0146678269809833,0.0261183210942019,0.3759600609588419,2.366578594952454,0.0134497889884442,0.0102848330748653,0.0133938723729506,0.0175198445493933,True,P1,1.0,triclinic
b579dd59a0,YAg3Br20,24,943.4814872403036,3.538664021472304,2010.59045,9.063838253367672,1.8258921687999996,0.0660813019275439,0.0353494656424446,0.4056139557917576,2.6922033314285287,0.0137093557003076,0.0089329054125688,0.013753765846047,0.0209482110176906,True,P1,1.0,triclinic
34747f5cf5,Au3Cl13,16,524.2188261724408,3.331693088885424,1051.7887070000002,3.8845849272174457,1.1718678797920845,0.1161730618766796,0.1079773131624471,0.362946083313965,2.2437499432351884,0.0139459761384087,0.0043946827000318,0.0139814713626621,0.0454721735882369,True,P1,1.0,triclinic
99803e6d37,Sb(AuCl8)3,28,1200.085799888152,2.163433218867062,1563.531707,3.375407363618113,1.13368736927189,0.1015697263652613,0.0797708222164328,0.3489747133465165,2.123086057497817,0.0139661258350873,0.0057054854409185,0.0138180082858379,0.0325179446114483,True,P1,1.0,triclinic
339beab5d5,Co(AuCl8)3,28,1135.6689100255958,2.1942831213320746,1500.704902,3.866229804156772,1.2165921129402348,0.077402368585406,0.0584391535094551,0.3576006179972008,2.196295296493569,0.0140832729583998,0.007579541548075,0.0138688716678244,0.026726053332216,True,P1,1.0,triclinic
0ae426e347,Si3GeBr20,24,1138.098549224998,2.560592881232424,1754.9765,4.102385923652707,1.218385142014442,0.1851848435672997,0.1231583502063524,0.3648795301762856,2.261328209759181,0.0143080815862102,0.0037425179519395,0.0152461796916206,0.0582695837733835,True,P1,1.0,triclinic
d3ca0b95e3,GaAg3Br20,24,934.3940867477698,3.5389887081304385,1991.4076,6.088588354628857,1.5735434920333005,0.0539155181856843,0.049103402533394,0.3810283517998084,2.417442408669042,0.0143404721490574,0.0085388523972864,0.014422527088145,0.02414772301836,True,P1,1.0,triclinic
29b68ed26b,Ta5OsCl30,36,1194.8068070740028,2.999959654617625,2158.5594,4.328488687858881,1.5030992150745377,0.0772834183687021,0.0520926401254689,0.3443842589483986,2.0857239283808946,0.0145883903292085,0.0079560589756078,0.0144704381950953,0.0267049971141833,True,P1,1.0,triclinic
dcf8b0fabb,LiAg3Br20,24,1020.7866307816583,3.137343360058453,1928.6256,7.947235865391083,1.713838783699846,0.0342580859960025,0.0645174205834835,0.3994050787513417,2.618043785616337,0.0146263636978663,0.0075345259506958,0.0145963089204888,0.028040565601191,True,P1,1.0,triclinic
3e65480cf5,GaAs3Cl28,32,1244.1350389323186,1.7179799583060815,1287.1718,1.3995181343806686,0.8041210648737455,0.0883121827674218,0.0396183996440003,0.2588926955141795,1.5436158074976989,0.0146316441057958,0.0089976211207084,0.0145879883703435,0.0237370977930229,True,P1,1.0,triclinic
64e9b0fd36,TaNbSbCl15,36,1209.4992464762245,2.5465072650435228,1854.8185200000005,4.095010099787598,1.4224344538324385,0.0765217596482855,0.0606273413237981,0.3443438141796936,2.0853994741716715,0.0146408875675925,0.0073495799667163,0.01477276727161,0.0292139993507617,True,P1,1.0,triclinic
c781869da1,TiSi3Br20,24,1138.5537642821082,2.523438592944866,1730.2034999999998,3.593964157554891,1.1587059261137576,0.1619602242629212,0.0914160539614994,0.3544412238712888,2.169011615044685,0.0146410889769945,0.0049530350247497,0.0150984309027611,0.04430893482197,True,P1,1.0,triclinic
bc6ad2a4da,TaSb(Ru2Cl15)2,36,1162.733461904904,2.528622285875186,1770.57788,4.918609647821402,1.548519116076511,0.0907587829607612,0.0827935578625851,0.3575362433608279,2.195733808473692,0.0147764592177536,0.0060540037254863,0.0147380747516253,0.0358632475685885,True,P1,1.0,triclinic
