material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95
000e39bcdd,Rb2Co3Br8,13,459.01492331687723,3.5704668567019406,986.967185,12.530979780380587,3.800638249803722,0.04122879885328057,0.08992659817822644,0.36227435011675285,2.237695033759778,0.0932016689115592,0.03813821775710973,0.09123139792496188,0.22282959021556778
0013d39502,Ho7Er(OsBr4)2,18,520.7846258990954,7.465833273682971,2341.46324,31.799373064355784,17.281930729738864,0.06776836430697002,0.03652706576168688,0.2699424511049888,1.6005355878100584,0.8796952759690713,0.5575796527654908,0.8754029335993954,1.3324962240207574
001de430cb,Cs2MgTiSe4,16,611.2848791081531,3.552184956705047,1307.6458076,11.738172373517441,7.202082876579874,0.056365945750475384,0.032083373759119675,0.24530904609044044,1.477734097211084,0.45902247971507615,0.31786859053051636,0.4582835441339378,0.6533731546550299
001e7a0d7b,Cs4LaNd3(GeSe4)4,28,947.0502279373911,4.659034875008451,2657.1732776,16.62961737575911,12.588653545774715,0.03809823200951078,0.04706104395047653,0.19776353720845277,1.2771972097865802,0.7444653452900433,0.46845439296550007,0.746766164221774,1.1260266054104162
0024ba3671,Cs6Sb2SeS7,32,1254.972348602781,3.557648278481472,2688.7354228,11.008890617277453,4.451930588692488,0.03150381555647626,0.02497732883934449,0.3218211072935297,1.9165407112916675,0.09220795685039071,0.07015397523771202,0.0924461056077489,0.1209900903103126
002f783acd,Cs2Rb4Sc(AsBr6)3,28,1027.0275138593668,3.744075451396879,2315.6748158,9.845985492139256,5.713973724166951,0.08959873191025211,0.02626057412404259,0.25686549537907966,1.5335064702597527,0.2032690390847936,0.13227555564972235,0.20159554880924302,0.3038556644734196
00307ed1d2,Cs6Y(ScI6)3,28,1341.7688357897591,4.0907865468716516,3305.4867574,10.151037602478368,4.780789108764171,0.0785916995314331,0.044380811189054244,0.296469216489213,1.7510509808586636,0.1315239681371789,0.07809507351268918,0.13001583527406074,0.21630406416512593
0032baf733,Na5SrTaAs4,22,603.4866443079017,3.759769977002735,1366.4062528,28.18680325180486,13.955675842278199,0.03367147778427444,0.05862160086753533,0.2875117181482132,1.697870122992144,0.7028765845347054,0.3935777348046703,0.6991253278092426,1.250086851528247
003898fc6c,CrBrF13,15,256.4501938291413,2.4532792888144606,378.8793416,4.4006209063155834,2.6799644753904746,0.05587395095048549,0.04444183589804813,0.24688386519410993,1.4851535851637612,0.09939253216718259,0.06095722486370726,0.10068563138766118,0.15771356278870133
005159625b,SrTb4Sm2CoI12,20,811.9853129387551,5.329012141182313,2605.828235,8.843287995749673,6.391226840521886,0.006193409360042752,0.060471894605078555,0.20879335952331943,1.3200085489422078,0.32125790815540733,0.1859120151332672,0.32573911535603783,0.5509630477891255
005a577c89,RbAl3Se5,36,1100.424704884651,3.387474447864422,2244.8496631999997,15.911187543651744,9.656156867106336,0.04727837495270702,0.1320795127245303,0.2476162032618275,1.4886228655193272,0.39036754547042185,0.11013600198035223,0.3885707426380565,1.2371403334949067
005a97218c,Na8TiBi4,26,846.1347423882751,4.190748094236042,2135.41350848,21.84818034815155,12.843649165737029,0.03363935395169689,0.013911038026865273,0.2542298948738743,1.520511725254214,0.6620160838713111,0.549101735840569,0.6653737586115982,0.790073410073469
005c11c5a7,Rb4ZrReBr12,18,656.533240615271,3.9915420904934398,1578.1502,11.88101378381683,4.105116218410445,0.025620243967120027,0.02817260483075854,0.34508277354005645,2.091340397154913,0.09299349181395068,0.06921183231602113,0.09295751716177325,0.1243698889431622
005fa66b0b,TbDy2Ho4CoI12,20,776.156096096138,5.830900215997192,2725.433465,9.9437561971099,6.693020592879771,0.013916043008812521,0.07199721042786682,0.22512727520348175,1.3873363270529755,0.30365288490782866,0.15130857625882446,0.30120847550150337,0.584588007297461
