material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal,formula_reduced,also_in_this_screen
65ace95f61,CaCeBr6,8,317.3518792882036,3.4514415418607127,659.6179999999999,9.682480480131378,4.503637636600876,0.0472774968594415,0.026097779998542,0.2986515891367161,1.76439997764905,0.2796932047838203,0.204733290771786,0.2813003000140304,0.3777264111399049,True,6.990028381347656,4.429701805114746,0.3724714660589617,True,True,C2,monoclinic,0.3724714660589617,CaCeBr6,False
6d7b04ae71,IrRhI6,8,297.64135325770803,5.894481411599428,1056.54932,12.655232441232966,6.306678525666214,0.0364608374981616,0.0191768530084371,0.2863223374167534,1.690997128777419,0.3730270032382537,0.292652817153034,0.3718077554747991,0.4652464183837788,True,5.655240535736084,2.070625066757202,0.0504972066318144,True,True,C2,monoclinic,0.3730270032382537,IrRhI6,False
55e39c76c1,NaLiZrBr6,9,294.28347186242667,3.3888566831220026,600.57876928,10.6738117154149,5.537474292908658,0.047315665546871,0.0332804494848757,0.2788484393344987,1.648772993641632,0.3735469369500671,0.2543263863998963,0.3746553547753111,0.5357755779839061,True,7.526280403137207,3.5951123237609863,0.1794333542561036,True,True,P312,trigonal,0.3735469369500671,NaLiZrBr6,False
a9692b8038,K3AsPAu3,8,229.4089181686005,5.8926575737865,814.089969,26.639516657016607,8.80550005947034,0.0183795885335425,0.0365942111478858,0.3511311185111364,2.1410125204738453,0.3628757682593982,0.2512398383053703,0.3627862538267312,0.5233798808738453,True,22.55517196655273,8.302229881286621,0.3739340531792936,True,True,R3m,trigonal,0.3739340531792936,K3AsPAu3,False
3dc9a53ee3,Rb2Ru(Cl2F)2,9,242.47981287062137,3.094094575734468,451.8144064,20.17089875962376,7.27891031304855,0.0598787663255673,0.0606534719269943,0.3389422228138462,2.042786627498496,0.3753479865755696,0.1952444344606636,0.3695437074138107,0.7033725700661863,True,14.786263465881348,5.512304306030273,0.2563311752568936,True,True,I4/mmm,tetragonal,0.3753479865755696,Rb2Ru(Cl2F)2,False
3b333fcade,SrZrBr6,8,341.850592332415,3.1975364569704223,658.268,6.549108959973228,3.210726558382521,0.0440438139540573,0.0132369583911538,0.2893044632792889,1.708311605807226,0.1894298801084239,0.1531451750887298,0.1900028223123251,0.233633604557139,True,7.134209156036377,4.368918418884277,0.3759574947208716,True,True,P312,trigonal,0.3759574947208716,SrZrBr6,False
28362a88b3,Cs2RuOF5,9,197.78041007368003,4.012154978785394,477.8723198,26.53454920792516,8.559582052870217,0.163187870506225,0.0586529219317951,0.3543681631628513,2.16838721282298,0.347092655709403,0.1458713376076358,0.3465101838732158,0.8152837935675749,True,17.312646865844727,7.415807723999023,0.38137465473323,True,True,I4mm,tetragonal,0.38137465473323,Cs2RuOF5,False
a50d5f760c,TmInSnI6,9,424.7696041907879,4.549956463773534,1163.88903,7.495654893250167,3.797647775490572,0.095759681770232,0.0629204245518461,0.2832773196509505,1.6735954319543804,0.2019567332957993,0.0969379569287756,0.2008642123798726,0.3874478452987144,True,6.186725616455078,4.560332298278809,0.3819606874308647,True,True,R3,trigonal,0.3819606874308647,TmInSnI6,False
871f3f6ecb,Cs2Ni(PdS2)2,9,246.2133805250588,4.489040963347265,665.6043038,20.34855755003115,7.413102155265436,0.1066489901776056,0.0540113141737906,0.3375715419314264,2.0321959236064555,0.3252795851782202,0.1650399323785183,0.3244022419350049,0.6409207753674042,True,20.538475036621094,7.977221488952637,0.3893879618828768,True,True,Fmmm,orthorhombic,0.3893879618828768,Cs2Ni(PdS2)2,False
1f933cd457,Cs2Pd2PtS4,9,254.65091277144063,5.229684262038871,801.9949038,20.907361477513973,7.075195406284955,0.1205012485239553,0.0369139435905069,0.347948327872747,2.1146387951405554,0.262047178073795,0.1404809661354292,0.2577261936904513,0.5057505019642831,True,19.294809341430664,8.083457946777344,0.4038540379912912,True,True,C2/m,monoclinic,0.4038540379912912,Cs2Pd2PtS4,False
8344cb67c9,MgMnCl6,8,210.1122643046233,2.3073984920857487,291.961045,7.902394786640953,4.096512276562348,0.0542343229333076,0.0793788987260267,0.2789945525883744,1.6495828641547268,0.2894019026238521,0.1314763958277062,0.2887352455690718,0.6132729417978718,True,6.67186975479126,4.388854026794434,0.4056899528320482,True,True,C2,monoclinic,0.4056899528320482,MgMnCl6,False
045269ad3b,Cs2Ni2PdSe4,9,258.15204895287485,5.181031841303144,805.4577038,20.64552505016774,8.381175126480827,0.0847382905554676,0.0827072638442708,0.3212149472899711,1.9123004361852096,0.4159792748072387,0.1683020349366243,0.4205408632755786,0.9660558867813276,True,16.226667404174805,7.077875137329102,0.3486744533095931,True,True,C2/m,monoclinic,0.4159792748072387,Cs2Ni2PdSe4,False
4c996b9ceb,EuPtCl6,8,258.44069157860093,3.596621363205008,559.7660000000001,9.088488939102588,3.247740800679905,0.0380469102589949,0.0661616493864119,0.3403441794120648,2.053711024772724,0.1179624312652995,0.0591627445559471,0.1178387389630602,0.2287585375556704,True,6.5603132247924805,4.6938066482543945,0.4162738767311031,True,True,C2,monoclinic,0.4162738767311031,EuPtCl6,False
34e7f7b4b5,NaEuTmI6,9,410.27120620032105,4.473671025218711,1105.31479928,11.203209912577314,5.363087470868639,0.0292064371067799,0.0891023095188211,0.2935830041502046,1.7336366264672955,0.3185917446702817,0.1363951839882594,0.3251448367843985,0.7354236801647966,True,4.553483963012695,4.295426368713379,0.4291833255264144,True,True,R3,trigonal,0.4291833255264144,NaEuTmI6,False
50b5380512,Rb3Cu(AsAu)2,8,244.5432771743216,5.865016406721174,863.725738,23.48813726291533,7.502654272984212,0.0295853377375274,0.0547608913462713,0.3556572412181572,2.179447197240328,0.2813794169325879,0.1628723230576262,0.2851294973117856,0.4822961237008115,True,19.117652893066406,8.156249046325684,0.4374426411519239,True,True,C2/m,monoclinic,0.4374426411519239,Rb3Cu(AsAu)2,False
