epoch,lr,train_loss,val_loss,train_n,train_mae_log_K,train_mae_log_G,train_mae_log_ratio,train_residual_corr,train_kappa_mae_total,train_kappa_mae_prefactor,train_kappa_mae_anharmonic,train_gamma_mae,val_n,val_mae_log_K,val_mae_log_G,val_mae_log_ratio,val_residual_corr,val_kappa_mae_total,val_kappa_mae_prefactor,val_kappa_mae_anharmonic,val_gamma_mae,val_select_score
0,0.00999938933078422,0.4235728048151421,0.4001701983433325,7691,0.30549687147140503,0.3105078339576721,0.13283264636993408,0.8961270911002013,0.5229057669639587,0.4651080369949341,0.13819555938243866,0.3182070553302765,1648,0.28851574659347534,0.3029616177082062,0.12719808518886566,0.8883050109183475,0.5122764110565186,0.4537087678909302,0.13265426456928253,0.3054477274417877,0.5122764110565186
1,0.009997557473810372,0.3941224870578224,0.398020592997375,7691,0.2876603901386261,0.29123204946517944,0.13077794015407562,0.8791453833850181,0.49261000752449036,0.4362122118473053,0.13594655692577362,0.3130285441875458,1648,0.29294833540916443,0.30036064982414246,0.12754793465137482,0.8883050119888773,0.5086371898651123,0.44980576634407043,0.13302329182624817,0.3062974512577057,0.5086371898651123
2,0.009994504881061753,0.39452122038121556,0.3962328810136295,7691,0.2883348762989044,0.2918384075164795,0.1305520385503769,0.8801826771035888,0.4932200312614441,0.43713581562042236,0.13570839166641235,0.3124801218509674,1648,0.29141542315483093,0.30051761865615845,0.12721219658851624,0.8883050147449352,0.5092335939407349,0.4500243663787842,0.13266924023628235,0.30548223853111267,0.5092335939407349
3,0.009990232305719946,0.3937489094558734,0.39591391399068737,7691,0.287913054227829,0.29113900661468506,0.1306280493736267,0.8793277955833046,0.4922350347042084,0.4360903203487396,0.1357867568731308,0.3126606345176697,1648,0.2902638018131256,0.300260454416275,0.12727372348308563,0.8883049983442105,0.5089611411094666,0.4496516287326813,0.13273465633392334,0.3056328296661377,0.5089611411094666
4,0.009984740801978986,0.3957728879951777,0.41064789833374393,7691,0.29077422618865967,0.2935454547405243,0.13025887310504913,0.8815532969824117,0.4946669340133667,0.4396898150444031,0.13539360463619232,0.31175535917282104,1648,0.2895592749118805,0.30044665932655334,0.13542932271957397,0.8883050074687158,0.5092848539352417,0.44995713233947754,0.14154602587223053,0.32592177391052246,0.5092848539352417
5,0.009978031724785247,0.3946657774507604,0.40621441573772615,7691,0.28873375058174133,0.29211074113845825,0.13039110600948334,0.8806110745051055,0.49343571066856384,0.43756842613220215,0.13554230332374573,0.3120977580547333,1648,0.29821524024009705,0.3006468415260315,0.13052009046077728,0.888304968471778,0.5085445642471313,0.45026063919067383,0.136128768324852,0.313448041677475,0.5085445642471313
6,0.009970106729503141,0.39351701878855,2.0891667847494477,7691,0.2891829311847687,0.29103994369506836,0.1303224414587021,0.8803953595085022,0.49177172780036926,0.435952365398407,0.13547463715076447,0.31194189190864563,1648,0.8602284789085388,1.135759949684143,0.3485791087150574,0.9892042414146159,1.8906810283660889,1.6980026960372925,0.24239423871040344,0.5581333041191101,1.8906810283660889
7,0.009960967771506667,0.2846028305102876,0.36253154856487385,7691,0.19282972812652588,0.18515849113464355,0.12944960594177246,0.7529550653325281,0.3435836136341095,0.2769394516944885,0.13453221321105957,0.30977189540863037,1648,0.2886883616447449,0.288692831993103,0.12705457210540771,0.6911049425724497,0.4791128933429718,0.43229246139526367,0.13250987231731415,0.3051152527332306,0.4791128933429718
8,0.00995061710569696,0.2569853701147886,0.2416990952005664,7691,0.17007923126220703,0.15782266855239868,0.12824086844921112,0.6749586936008419,0.30693453550338745,0.2358580231666565,0.13328608870506287,0.30690258741378784,1648,0.14872993528842926,0.1449102759361267,0.1255209594964981,0.6097390244097246,0.296809583902359,0.21627847850322723,0.13089115917682648,0.3013879954814911,0.296809583902359
9,0.009939057285945933,0.2371970451966232,0.24388366011739934,7691,0.15167704224586487,0.13551102578639984,0.12702815234661102,0.5930886241663736,0.2787019908428192,0.2023356705904007,0.1320255994796753,0.30400019884109497,1648,0.14966554939746857,0.14822536706924438,0.12596681714057922,0.6267058145580199,0.3015257716178894,0.2212274819612503,0.13139133155345917,0.30253973603248596,0.3015257716178894
