run,family,n,residual_corr,mae_log_K,mae_log_G,mae_log_ratio
"separate, 1 model each",separate,1648.0,0.2631720391958152,0.06956000047401316,0.08355411614101489,0.0993148365320222
"separate, 3-model ens.",separate,1648.0,0.2971411181198405,0.06301523072337642,0.07809694533908443,0.08868315464494492
"joint r4, 3-model ens.",joint,1648.0,0.45728664909706224,0.06939976084911004,0.08361321559761327,0.08105755075093042
joint r5 ens B,joint,1648.0,0.4102435025826054,0.07432220628438511,0.08600177477980785,0.08100766582713795
joint r5 ens C,joint,1648.0,0.4421748015936185,0.06815847268689319,0.08350922867394821,0.08126558172127832
round 2: K and G heads,round2,,0.39166876282739643,,,0.09157862017552058
round 2: G and K/G heads,round2,,0.45515131562378164,,,0.09107565879821777
