compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density
He8Ne4,aflow:0c36787efc568915,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/He2Ne1_ICSD_659143,194,hP12,0.00210114,0.0423603,62.8615,35.9206,3.77037,1.1662,12,1.01028
Al1Co2Ti1,aflow:7fd9c09131def966,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Co2Ti1_ICSD_185966,225,cF16,0.436803,213.507,480.001,10.5929,105.533,76.2483,4,5.76491
Co2Ge1Zn1,aflow:6be08f2a9d7b1505,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ge1Zn1_ICSD_52994,225,cF16,0.597264,10.6235,181.003,11.7862,73.8333,13.0602,4,7.5727
Cr1N1,aflow:f9fa918a66519781,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cr1N1_ICSD_181079,216,cF8,0.637592,45.6585,331.006,5.6509,157.294,30.5686,2,4.54363
Ag1Mn3N1,aflow:c568d79d0d0e9fc8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Mn3N1_ICSD_52592,221,cP5,0.840364,16.2358,274.028,14.3976,58.2889,29.2627,5,6.13433
Al1Co2Hf1,aflow:c7c796937969b5fa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Co2Hf1_ICSD_110809,225,cF16,0.863232,61.6353,369.974,11.1352,118.944,70.9509,4,8.91382
Cl8Co1Li6,aflow:40fd346993f7f6ee,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl8Co1Li6_ICSD_202401,225,cF60,1.07688,3.7919,326.676,42.492,50.4167,23.0011,15,2.33074
Co4Ge4Ta4,aflow:3893846e555c633e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Ge1Ta1_ICSD_623611,62,oP12,1.08316,16.4019,326.014,33.9683,144.315,64.7056,12,11.3759
B2Mn1,aflow:0e5997687be5d3dc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mn1_ICSD_187733,191,hP3,1.09402,113.623,774.954,6.5862,151.559,111.453,3,4.53738
Ba1,aflow:7b2394cca289b7b1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ba1_ICSD_52679,225,cF4,1.10473,3.00786,83.9735,2.98859,8.37778,3.85914,1,3.56738
Cu5Nd1,aflow:7f5f2aeb8ddd6aa8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cu5Nd1_ICSD_103059,191,hP6,1.14215,6.53662,235.015,17.4685,101.426,29.7935,6,8.21214
Co2Ga1Ti1,aflow:14af98168fbd6e8e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ga1Ti1_ICSD_102453,225,cF16,1.15756,31.807,406.992,10.9658,110.267,61.8344,4,6.95317
P2V2,aflow:8396cacfcd096cb9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1V1_ICSD_77855,194,hP4,1.1629,38.4159,485.957,10.5724,92.2379,59.9642,4,4.45643
Sr2,aflow:91f8e6a03809ef58,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Sr1_ICSD_44722,194,hP2,1.17362,2.94654,120.01,5.95417,11.6072,5.09916,2,2.63911
C1Ti3Tl1,aflow:a3351de2d57da1b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Ti3Tl1_ICSD_163845,221,cP5,1.21312,31.3673,403.007,13.7388,106.889,82.9119,5,6.97303
B2Co3Y1,aflow:865e8621089a6469,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Co3Y1_ICSD_23655,191,hP6,1.22341,57.2399,621.934,14.6593,178.696,127.109,6,7.38306
Ca1,aflow:da235dae85798482,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1_ICSD_181067,225,cF4,1.22539,9.44272,208.968,2.9309,17.3889,7.74843,1,1.5784
Y2,aflow:5a12ca65b4afe176,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Y1_ICSD_43588,194,hP2,1.2669,20.2194,254.041,5.79323,41.5471,28.96,2,4.50513
Ba2,aflow:863dc62f92621e76,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ba1_ICSD_52680,194,hP2,1.27614,1.81851,92.0006,5.97341,8.42265,4.63406,2,3.60231
Mo1P1,aflow:bc507e8b07782981,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo1P1_ICSD_186875,225,cF8,1.27731,19.4741,304.056,5.70732,87.5056,45.8248,2,6.09755
Co2Ge1Mn1,aflow:799112d927e1e790,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ge1Mn1_ICSD_185088,225,cF16,1.28226,14.6521,333.032,11.3065,82.3056,44.0454,4,7.19524
Er2,aflow:e219dcbe6a1616b9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1_ICSD_247674,194,hP2,1.29092,16.1785,195.017,5.8771,44.2931,32.3288,2,9.01113
Cr4Ga2N2,aflow:89d43c69edb626aa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cr2Ga1N1_ICSD_53124,194,hP8,1.30722,25.5787,522.96,20.7289,110.617,77.8289,8,5.84867
Ho2,aflow:cfd5feaf28197208,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ho1_ICSD_102660,194,hP2,1.31226,14.7772,192.023,5.88065,42.971,30.9191,2,8.7312
Be8Fe4,aflow:7ed1a29173747f10,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Be2Fe1_ICSD_106318,194,hP12,1.34616,28.6224,782.088,26.2074,125.394,122.369,12,4.41738
Dy2,aflow:65e867bc2a96d2f0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1_ICSD_108420,194,hP2,1.35155,12.2794,185.006,5.8897,39.3711,26.484,2,8.47208
Er1Mg1,aflow:56108ea12b0c6375,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Er1Mg1_ICSD_103260,221,cP2,1.35962,11.4835,220.967,5.84435,42.7056,24.678,2,5.96179
Co2Ga1Hf1,aflow:70e694f77ce2bdc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ga1Hf1_ICSD_102433,225,cF16,1.367,18.1245,325.997,11.3266,122.5,61.0838,4,10.1369
Al1C1Er3,aflow:89e7078d2a0917cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1C1Er3_ICSD_606192,221,cP5,1.36713,3.45882,173.043,14.7598,37.0278,15.383,5,6.00638
Co2Zr4,aflow:0a22469748423b7e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Co1Zr2_ICSD_625671,140,tI12,1.39221,3.04521,201.976,17.6024,98.1264,18.2566,6,6.72505
Co2Sb4,aflow:a2d0b7c455ed66dd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Sb2_ICSD_624899,58,oP6,1.39347,5.81571,229.016,17.4986,58.0376,27.5785,6,7.37156
Tb2,aflow:46c1e43233abef84,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Tb1_ICSD_104192,194,hP2,1.39627,9.35495,174.01,5.90295,39.0225,23.0423,2,8.16454
C1Mn3Sn1,aflow:138912092bc10cd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Mn3Sn1_ICSD_618271,221,cP5,1.40259,11.2367,340.028,14.0944,78.8778,45.3543,5,5.8055
Co2Fe1Ga1,aflow:66c24085ff2e8c69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Fe1Ga1_ICSD_102386,225,cF16,1.41004,20.0452,400.893,11.0052,106.367,66.0041,4,7.76553
Bi4Fe4O12,aflow:e44f5279fe7ec8cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Bi1Fe1O3_ICSD_168321,62,oP20,1.42213,12.5194,491.004,52.6005,160.815,68.4832,20,8.31948
Mn1,aflow:266a4c0484d78664,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1_ICSD_41509,225,cF4,1.43004,20.9082,298.907,2.86029,54.3111,30.4187,1,4.80399
Mg1Y1,aflow:582d36d531b92b8c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mg1Y1_ICSD_104889,221,cP2,1.43089,12.4829,280.053,5.75297,41.4889,23.0863,2,3.42165
Bi4O14Ru4,aflow:fb5e653ad146f5aa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_163387,227,cF88,1.43411,6.47422,394.978,60.6631,171.556,71.6833,22,8.40279
Be2Hf2,aflow:6fd30ea64b36137a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Be1Hf1_ICSD_616286,63,oS8,1.45115,16.0243,322.971,11.3433,121.158,61.9621,4,9.96577
Tb6,aflow:f6ae26d8aef81270,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Tb1_ICSD_52496,194,hP6,1.45627,4.67276,182.034,17.6815,40.1712,25.8364,6,8.2746
C1Pa1,aflow:fb1cd92584ed214f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pa1_ICSD_108177,225,cF8,1.46294,30.8236,316.019,5.68328,185.272,77.7165,2,12.3228
Ni2S2,aflow:e226cfd7bcb7f9e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1S1_ICSD_151603,194,hP4,1.4784,11.9317,378.09,11.1137,101.337,41.3398,4,4.94486
Al3Pr1,aflow:80202f2921a9ce3f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al3Pr1_ICSD_58126,221,cP4,1.48054,20.2019,409.983,10.9611,84.9528,61.9775,4,4.65696
Cs1,aflow:5acbf212d1783298,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Cs1_ICSD_426937,229,cI2,1.48274,0.148068,36.0384,2.99834,2.22778,0.630101,1,1.91348
Gd1Mg1,aflow:27ed5fb0514efc6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Gd1Mg1_ICSD_104065,221,cP2,1.48808,4.67375,177.028,5.90041,62.5167,21.6397,2,5.41786
Al1C1Tb3,aflow:b3744e8adac37cc5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1C1Tb3_ICSD_606265,221,cP5,1.49762,2.00545,156.05,14.8061,35.6278,11.9888,5,5.5375
Dy4,aflow:0b0f4769040db6b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Dy1_ICSD_157920,225,cF4,1.50251,5.71828,180.996,11.7913,41.1506,26.0604,4,8.61843
Co4Dy4Ge4,aflow:0ca271f7da7fe4c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Dy1Ge1_ICSD_601865,62,oP12,1.51913,10.4245,355.768,33.7181,83.7485,55.6128,12,8.4803
N1Pu1,aflow:5952bc520d57d141,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Pu1_ICSD_31718,225,cF8,1.52205,36.6746,341.017,5.63298,144.886,90.9559,2,14.2316
V1Zn3,aflow:ac085a73c29ce947,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/V1Zn3_ICSD_106240,221,cP4,1.52215,6.06174,280.026,11.5004,96.2889,35.0179,4,7.30519
B1H4Na1,aflow:3a531e5b3aa9205e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B1H4Na1_ICSD_165835,216,cF24,1.53076,7.46572,734.611,13.5892,20.9167,12.4896,6,1.10257
B4H16Na4,aflow:6460fdfb6bb26434,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1H4Na1_ICSD_182734,215,cP24,1.5363,3.12794,753.86,53.5484,20.4,12.5613,24,1.13721
Co1Sc1,aflow:9782d5248273d419,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Co1Sc1_ICSD_102642,221,cP2,1.53772,19.4033,368.081,5.57995,70.4167,42.4054,2,4.75385
Mg1Tb2,aflow:b423dadc0febee94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Mg1Tb2_ICSD_55549,139,tI6,1.53909,4.649,182.962,8.84013,39.5953,18.5495,3,6.49411
Hf2,aflow:8a4aa93da3d0b620,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1_ICSD_181757,194,hP2,1.54506,19.0675,237.997,5.8183,109.909,55.1023,2,13.2146
Ho1Mg1,aflow:726d2384643098a1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ho1Mg1_ICSD_104417,221,cP2,1.54628,6.36478,200.003,5.87393,41.5833,19.6042,2,5.85147
Ca7Ge1,aflow:4f2cacf7ff9a274e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca7Ge1_ICSD_43321,225,cF32,1.55078,1.29657,199.941,23.5061,19.35,7.87138,8,2.01044
Al2Hf4,aflow:dd8fe80eb93c30d7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Hf2_ICSD_150773,140,tI12,1.55818,9.22553,271.032,17.2977,112.192,52.8378,6,10.4162
Al4H12,aflow:8bc7e1a16279abff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1H3_ICSD_182535,227,cF64,1.56081,8.34334,889.43,31.9405,35.0444,32.6478,16,1.097
Li2,aflow:5588568293d3f856,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Li1_ICSD_44760,194,hP2,1.5621,3.15764,390.198,5.56879,13.9884,6.79437,2,0.568605
Zr2,aflow:05869eb713002f0e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Zr1_ICSD_164572,194,hP2,1.56414,14.7003,273.949,5.76004,94.658,35.9976,2,6.46795
Co4Si6Zr6,aflow:885488e7060e2e77,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Co2Si3Zr3_ICSD_625139,63,oS32,1.56448,11.5526,482.061,42.3888,131.641,86.8755,16,6.04784
B12H12Tl2,aflow:0e2d4391f6123980,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12H12Tl2_ICSD_151981,202,cF104,1.56692,1.89286,428.177,70.7769,12.1451,4.31411,26,2.85714
B4H16Hf1,aflow:26c10d524c048ff1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B4H16Hf1_ICSD_35379,215,cP21,1.56821,13.1745,974.856,38.8306,3.93333,5.81964,21,1.81118
B4N4,aflow:0df4010c4c8a315d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B1N1_ICSD_162875,131,tP8,1.56976,22.6644,824.982,16.8943,36.7391,22.3851,8,0.754034
B6H24Y2,aflow:235095bcd59919a5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B3H12Y1_ICSD_169076,226,cF128,1.57124,3.08241,731.63,72.6148,29.5333,17.3461,32,1.31951
Li23Sr6,aflow:9e7d5ff7423c0535,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li23Sr6_ICSD_15702,225,cF116,1.57131,0.511623,250.066,84.3566,12.8167,7.41574,29,1.40868
B6H6K2,aflow:7e573b2c847567ad,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B6H6K2_ICSD_65507,225,cF56,1.57286,10.454,827.165,29.4809,12.0333,9.77161,14,1.40029
Ba2Be26,aflow:e72d9d4159dcccf8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ba1Be13_ICSD_58633,226,cF112,1.57309,11.4948,850.286,57.9007,89.4444,96.1777,28,2.82912
B6Yb1,aflow:b564fd983e6ad2e2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Yb1_ICSD_150586,221,cP7,1.57377,14.9926,558.01,17.7971,159.572,79.402,7,5.55222
Be26Lu2,aflow:181c3843c017b3a3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Lu1_ICSD_616321,226,cF112,1.57435,12.6346,852.273,57.8125,113.161,122.192,28,3.77775
Be26Mg2,aflow:a513c57b276194cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Mg1_ICSD_58713,226,cF112,1.57862,13.4032,1107.88,45.6979,98.7111,99.2055,28,1.8282
Er1Zn1,aflow:f51976eddf9ee37c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Er1Zn1_ICSD_103316,221,cP2,1.58126,9.04826,218.005,5.8491,59.5056,30.9824,2,8.76742
B6Ca1,aflow:5c5618217287430a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Ca1_ICSD_26753,221,cP7,1.58483,28.2052,907.764,13.7906,143.478,85.4684,7,2.44055
Be26Ho2,aflow:e3977bd14545293c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Ho1_ICSD_616296,226,cF112,1.58995,12.922,873.198,56.8034,112.861,123.316,28,3.56775
Be26Er2,aflow:51715da4e7415591,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Er1_ICSD_603924,226,cF112,1.59004,12.7868,867.789,57.056,113.156,123.04,28,3.61307
Be26Dy2,aflow:b7b87b545942b8b9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Dy1_ICSD_58707,226,cF112,1.59318,12.9931,878.22,56.5684,112.367,123.304,28,3.52111
Be26Tb2,aflow:9b25336a7cbe2ca1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Tb1_ICSD_108888,226,cF112,1.59367,13.0592,882.888,56.3192,111.833,122.755,28,3.45876
Be26Sc2,aflow:6581a5fa5b7c456a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Sc1_ICSD_616416,226,cF112,1.59485,14.7661,1102.82,45.9518,111.739,116.103,28,2.11143
Be26Ca2,aflow:ae212ec034e7c653,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Ca1_ICSD_58692,226,cF112,1.59614,17.9306,1182.23,42.4295,94.9278,123.031,28,1.94471
Er2H2,aflow:298e31465c44583e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1H1_ICSD_187373,194,hP4,1.59866,9.4282,301.981,11.4331,69.1015,49.9346,4,9.30524
Al2Zr4,aflow:5f1511de835d4c8a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Zr2_ICSD_150774,140,tI12,1.60068,8.43437,326.994,16.9921,99.3378,40.8237,6,5.49056
Be26Sb2,aflow:bcffe2cd231ff59a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Sb1_ICSD_834,226,cF112,1.60071,7.74314,778.833,61.2896,100.278,77.6648,28,2.92206
B1Be2,aflow:114d179739831b45,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B1Be2_ICSD_108027,225,cF12,1.60106,79.8454,1273.16,4.14603,145.728,136.525,3,2.00765
Sc2,aflow:64dd09f7a69e539c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Sc1_ICSD_102654,194,hP2,1.60123,18.1683,372.989,5.56894,55.8657,33.319,2,2.81372
Al1C1Tb3,aflow:d8aa91de693b2f8a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1C1Tb3_ICSD_43866,221,cP5,1.60331,13.5368,318.993,14.1999,76.8,57.7903,5,7.21699
H1Li1,aflow:abb2662fe2505171,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/H1Li1_ICSD_157495,225,cF8,1.6045,9.01672,744.365,4.51679,,,2,0.827385
Sr1,aflow:4f01f9799983fd51,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sr1_ICSD_44721,225,cF4,1.60502,2.66941,124.981,2.97611,11.1778,5.39757,1,2.6701
Co5Y1,aflow:3158ffedfbc332e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Co5Y1_ICSD_625597,65,oS12,1.60787,4.02615,271.946,17.3007,84.3919,29.9891,6,6.63028
Al1Co2Nb1,aflow:e3653e7c2fdd34bf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Co2Nb1_ICSD_57620,225,cF16,1.60856,23.0936,463.032,10.6967,129.739,87.4073,4,7.06455
Be26Sr2,aflow:d73b0934ea26239d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Sr1_ICSD_58737,226,cF112,1.60859,14.5127,1009.96,50.2395,94.7722,116.007,28,2.42047
Be26La2,aflow:9f91094658af1ae5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13La1_ICSD_616302,226,cF112,1.60878,12.1913,884.794,56.2293,105.761,110.345,28,3.0145
Be2Ta4,aflow:70cb036266453cff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Be1Ta2_ICSD_58738,140,tI12,1.61119,23.8404,398.041,16.5243,186.979,123.594,6,13.4125
Be26Hf2,aflow:0bdcb21b070ee9c8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Hf1_ICSD_150775,226,cF112,1.6114,14.1184,900.084,55.5186,125.944,140.939,28,3.97476
Al1C1Dy3,aflow:c2ee38d28f73e121,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1C1Dy3_ICSD_43848,221,cP5,1.61171,13.965,322.02,14.1858,76.9278,58.4699,5,7.4968
Al1C1Gd3,aflow:800a343021454e90,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1C1Gd3_ICSD_43854,221,cP5,1.61201,9.83536,287.977,14.3422,80.65,51.6828,5,6.91793
C4Cr2Sc2,aflow:0a96527cdb83fd27,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C2Cr1Sc1_ICSD_80374,194,hP8,1.61219,25.97,719.96,18.2976,148.688,103.456,8,4.35971
Al1Tb3,aflow:3a792a64d75b5312,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Tb3_ICSD_58173,221,cP4,1.61311,6.14948,215.958,11.7028,49.8167,30.0666,4,7.67215
Be5Fe1,aflow:69921200781a42ea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be5Fe1_ICSD_616267,216,cF24,1.61476,35.9199,939.638,11.4767,116.528,124.593,6,3.14399
Er2Mg1,aflow:802ca601e72e8942,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Er2Mg1_ICSD_55548,139,tI6,1.61532,4.40438,183.992,8.83921,42.764,20.7923,3,7.12637
C1Dy3Ga1,aflow:92cdec1b0786b0cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Dy3Ga1_ICSD_76812,221,cP5,1.61574,2.79703,179.038,14.7451,43.5056,17.8771,5,6.35884
Al4Tb8,aflow:48e1c56b5a8980e0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Al1Tb2_ICSD_609457,62,oP12,1.61802,2.8517,221.049,35.0687,54.138,28.4362,12,7.1442
B12Yb1,aflow:62f394dfa8c9cee5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Yb1_ICSD_603063,225,cF52,1.61858,32.9105,987.096,23.8832,199.311,185.138,13,4.76724
La1Mg1,aflow:e721c69e30fe7c1d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La1Mg1_ICSD_104658,221,cP2,1.61969,8.27996,233.021,5.82926,35.3556,22.2898,2,4.3091
B2Gd1,aflow:45291de1f333cbdf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Gd1_ICSD_44306,191,hP3,1.61978,45.3575,553.074,7.64988,146.058,123.802,3,7.91068
Al8Tb12,aflow:3677ba6a2d1dd30d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al2Tb3_ICSD_609454,136,tP20,1.61996,2.17162,233.009,58.2798,57.9702,29.2788,20,6.75335
Y1Zn1,aflow:440eed1fe4e9897b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Y1Zn1_ICSD_653454,221,cP2,1.62114,9.6607,258.972,5.7893,58.2056,29.2814,2,5.59975
B48,aflow:e84cd18d210591c3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B1_ICSD_240995,134,tP48,1.62187,10.1441,1158.1,74.954,156.591,87.7272,48,2.3055
Be44W2,aflow:85bb846caa383021,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be22W1_ICSD_58755,227,cF184,1.62365,11.866,1038.29,80.4266,133.083,151.928,46,3.27059
Be2Si1,aflow:de5897093b42c24b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be2Si1_ICSD_183010,225,cF12,1.6242,22.0829,685.031,7.03664,98.7278,50.2261,3,2.07434
B6Pu1,aflow:cf9657d40d9da190,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Pu1_ICSD_43658,221,cP7,1.62444,20.6604,584.096,17.5243,151.728,99.2488,7,7.40462
Al4Y8,aflow:a99a4e29778fe125,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Al1Y2_ICSD_58211,62,oP12,1.62563,4.07048,296.975,34.3341,52.9926,29.7262,12,4.24186
Fe2Zr4,aflow:f1d774fa5d7605af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Fe1Zr2_ICSD_102804,140,tI12,1.62633,1.52389,180.031,17.6876,92.141,14.3518,6,6.5324
Cs3H9Mg3,aflow:4d44ca8da00e59f9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Cs1H3Mg1_ICSD_162260,166,hR15,1.62667,1.84575,323.943,42.6555,24.0836,19.6954,15,3.1937
Cs4Na8,aflow:ac17f93692487046,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cs1Na2_ICSD_627052,194,hP12,1.62668,0.131432,90.9868,35.8762,5.11304,2.24474,12,1.83313
Be26Zr2,aflow:286acac732fe4ad8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be13Zr1_ICSD_58758,226,cF112,1.62845,16.0662,1061.63,47.8642,123.939,140.33,28,2.76834
B6Er1,aflow:d0a676571ed2778b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Er1_ICSD_150625,221,cP7,1.62866,10.3357,512.097,18.2589,169.478,59.8431,7,5.65502
B8Be4C8,aflow:6975681558eb6cdc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Be1C2_ICSD_418618,59,oP20,1.6292,31.6826,1391.04,24.511,193.66,153.144,20,2.31777
B6Ho1,aflow:e0ad2ad23e4aafc4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Ho1_ICSD_150624,221,cP7,1.62974,11.2188,527.965,18.1035,169.761,63.1052,7,5.57878
H2Pu1,aflow:9bd9f59d06ba13d3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/H2Pu1_ICSD_56082,225,cF12,1.62984,2.38881,187.041,8.83772,62.4722,19.4141,3,10.7912
B6Sr1,aflow:f4874036e4939ad3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Sr1_ICSD_50313,221,cP7,1.63001,31.7532,848.043,14.5088,146.361,110.915,7,3.42219
