compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density
Hf3Rh3Sn3,aflow:04cbb93ef62c455f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Rh1Sn1_ICSD_638836,189,hP9,2.18908,2.84684,254.946,26.0711,152.845,49.8145,9,11.6149
Ir4Th2,aflow:21b1a78a86ff153f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2Th1_ICSD_104571,227,cF24,2.18911,6.02065,257.991,17.3631,200.133,77.5074,6,17.2865
Ca1P2Ru2,aflow:e0e0ce19b3a834a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ca1P2Ru2_ICSD_602125,139,tI10,2.18936,19.5328,561.996,12.6891,103.02,80.5024,5,6.22244
Co8Ge26Yb6,aflow:c7283e578de551e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Co4Ge13Yb3_ICSD_623672,223,cP40,2.1894,0.998261,294.867,114.634,89.9889,44.0664,40,8.3859
O8Te4,aflow:9ad0c281438d571e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/OTe/A2B_tP12_92_b_a-002.AB,92,tP12,2.18963,12.2327,612.84,29.5273,29.1428,29.969,12,5.62848
Cu1Mg1Sb1,aflow:1e5384907ec9de3d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Mg1Sb1_ICSD_412294,216,cF12,2.18997,4.30762,281.86,8.63377,64.5333,32.6522,3,5.69447
Br4Na4O12,aflow:b454313ab1a5628f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Br1Na1O3_ICSD_30208,198,cP20,2.19005,2.4991,487.883,52.9501,25.365,15.2206,20,3.16789
Ba2F8Ni2,aflow:e5158f531002e4cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ba1F4Ni1_ICSD_23141,36,oS24,2.19019,1.92704,350.172,33.7739,59.8012,28.0318,12,4.92897
Er1Ni2P2,aflow:477fd09200619ca1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Er1Ni2P2_ICSD_630857,139,tI10,2.19028,9.69237,433.879,13.5712,156.932,88.0277,5,8.43589
O1Rb2,aflow:ed5547e7e4115236,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O1Rb2_ICSD_180572,225,cF12,2.1903,0.70091,154.993,8.90029,22.7389,7.82506,3,3.81374
