compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density,poscar_file
Ba6P8,aflow:23c79c4a50ec0484,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCF/Ba3P4_ICSD_38322,43,oF56,2.00308,1.77483,256.955,40.5613,33.8768,19.224,14,4.12374,aflow_23c79c4a50ec0484.poscar
Mg4Si2,aflow:a607f27fa6c48822,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mg2Si1_ICSD_167512,194,hP6,2.00371,1.5409,309.166,17.1253,55.7237,14.1795,6,2.25503,aflow_a607f27fa6c48822.poscar
O4S1Zn1,aflow:32900c9d0831cc96,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O4S1Zn1_ICSD_2456,216,cF24,2.00424,2.38717,350.902,16.8518,71.7056,13.0699,6,2.3215,aflow_32900c9d0831cc96.poscar
Cd1Sr1,aflow:3a6fa1590482d690,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cd1Sr1_ICSD_102066,221,cP2,2.0066,2.86209,177.099,5.90692,24.95,16.0475,2,4.96933,aflow_3a6fa1590482d690.poscar
Na2Se1,aflow:5477ab0c5a3ac253,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Na2Se1_ICSD_168447,225,cF12,2.00787,2.48774,254.191,8.71634,25.5444,15.6784,3,2.62476,aflow_5477ab0c5a3ac253.poscar
N1Na3,aflow:23ecd8e48b977db0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1Na3_ICSD_165989,191,hP4,2.01009,1.91205,321.621,11.4021,28.9499,14.1088,4,1.70477,aflow_23ecd8e48b977db0.poscar
K1Na2Sb1,aflow:5d6d0cc05e18b116,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/K1Na2Sb1_ICSD_44332,225,cF16,2.01047,1.6165,216.018,11.7338,19.95,13.4604,4,2.93631,aflow_5d6d0cc05e18b116.poscar
As4Na12Se12,aflow:a905d9de297630fa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1Na3Se3_ICSD_50491,198,cP28,2.01209,0.651693,245.86,81.4501,18.794,9.62502,28,3.51798,aflow_a905d9de297630fa.poscar
Cd1La1,aflow:6a79b8d09c3fccbd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cd1La1_ICSD_102003,221,cP2,2.01224,3.11887,171.057,5.90872,45.4611,18.952,2,6.79223,aflow_6a79b8d09c3fccbd.poscar
Ca10In4Sb12,aflow:97b0ff1e229ca320,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca5In2Sb6_ICSD_36467,55,oP26,2.01269,0.936596,227.034,75.9132,35.7596,19.8891,26,4.769,aflow_97b0ff1e229ca320.poscar
Bi10La6Mg2,aflow:32e1b4a32d8eea59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Bi5La3Mg1_ICSD_415727,193,hP18,2.01533,0.455163,133.96,53.4889,50.4151,14.207,18,8.73945,aflow_32e1b4a32d8eea59.poscar
Cd1Li2Sb1,aflow:f11e7eb27a5363db,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1Li2Sb1_ICSD_52815,225,cF16,2.01533,0.863144,172.966,11.8248,37.2389,10.8823,4,5.25015,aflow_f11e7eb27a5363db.poscar
Na8S4,aflow:6c1834465c390db4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Na2S1_ICSD_92771,62,oP12,2.01773,0.907487,297.091,34.4414,29.9866,13.1854,12,2.01945,aflow_6c1834465c390db4.poscar
Rb2Se1,aflow:bc2372a6d49f86aa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Rb2Se1_ICSD_168449,225,cF12,2.01801,0.973149,139.941,8.91629,13.8333,7.24792,3,3.1002,aflow_bc2372a6d49f86aa.poscar
Hg1Tb1,aflow:c79bb5670ea37684,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hg1Tb1_ICSD_104348,221,cP2,2.0183,2.15168,137.006,5.941,66.2,17.6505,2,11.4576,aflow_c79bb5670ea37684.poscar
S1Se1,aflow:b32b592a2fabf9be,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/S1Se1_ICSD_62195,225,cF8,2.0184,1.49382,185.068,5.89276,77.1806,10.342,2,4.62879,aflow_b32b592a2fabf9be.poscar
Au4La8,aflow:b49f4099f7e1aa71,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Au1La2_ICSD_612100,62,oP12,2.01892,0.637761,139.003,35.6365,44.687,12.9226,12,8.34673,aflow_b49f4099f7e1aa71.poscar
As4Na12S12,aflow:1ed96631d1846438,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1Na3S3_ICSD_1036,198,cP28,2.02088,0.917617,326.976,79.4736,22.4879,11.7232,28,2.50986,aflow_1ed96631d1846438.poscar
Bi3Sr1,aflow:e5db61fa74861990,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Bi3Sr1_ICSD_58858,221,cP4,2.02099,0.924157,118.048,11.9122,44.9444,12.5029,4,9.17342,aflow_e5db61fa74861990.poscar
Au6Ca10,aflow:c04a329e050ee0ff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Au3Ca5_ICSD_58404,140,tI32,2.02268,0.642865,175.996,47.2441,35.6722,14.5547,16,5.75556,aflow_c04a329e050ee0ff.poscar
