compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density,poscar_file
Al1F5K2,aflow:fcfa27833696b719,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al1F5K2_ICSD_81864,123,tP8,2.06042,3.2006,435.994,21.7336,26.0512,14.0714,8,2.41116,aflow_fcfa27833696b719.poscar
Br4Ca2,aflow:fdbd47d5f13e4755,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Br2Ca1_ICSD_173970,136,tP6,2.06387,0.956454,182.992,17.6956,26.1559,10.3149,6,3.20889,aflow_fdbd47d5f13e4755.poscar
Ag1La1,aflow:6f8934d40bc1c3b7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1La1_ICSD_150963,221,cP2,2.0641,1.45764,137.054,5.94202,46.6056,11.753,2,7.12652,aflow_6f8934d40bc1c3b7.poscar
Ba2Sn2,aflow:8437382e018f3a1f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ba1Sn1_ICSD_58678,63,oS8,2.06444,2.07477,171.026,11.8188,27.5723,16.1083,4,5.20841,aflow_8437382e018f3a1f.poscar
Ho1Tl1,aflow:cdda0a8539ee985a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ho1Tl1_ICSD_104454,221,cP2,2.06602,1.77377,129.057,5.94791,56.6444,15.6186,2,11.3855,aflow_cdda0a8539ee985a.poscar
K2Te1,aflow:5a624ba9e35af61b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/K2Te1_ICSD_182742,225,cF12,2.06619,0.893514,147.154,8.90793,13.0667,6.51818,3,2.44811,aflow_5a624ba9e35af61b.poscar
Ba1O4S1,aflow:09807f267158661e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ba1O4S1_ICSD_23743,216,cF24,2.06817,5.87666,434.966,16.2763,44.0167,19.8484,6,3.84765,aflow_09807f267158661e.poscar
O12Se4Sr4,aflow:18f40e64a0a7b1c3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O3Se1Sr1_ICSD_419386,62,oP20,2.06869,1.96625,383.897,55.4884,47.9517,19.0344,20,4.42482,aflow_18f40e64a0a7b1c3.poscar
In1Mn1Ti2,aflow:74d88bfab6329811,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In1Mn1Ti2_ICSD_189700,216,cF16,2.06924,0.923756,180.042,11.7945,126.256,12.6885,4,6.68746,aflow_74d88bfab6329811.poscar
Cs1H1,aflow:66d73577b08ad09d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cs1H1_ICSD_53235,221,cP2,2.06973,0.976334,147.121,5.94744,12.3667,8.2827,2,3.91891,aflow_66d73577b08ad09d.poscar
Te2Ti2,aflow:a91f3d9f527c9db9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Te1Ti1_ICSD_104194,63,oS8,2.0701,1.51401,183.054,11.7934,52.8616,16.2983,4,5.37431,aflow_a91f3d9f527c9db9.poscar
Cl8Li4Zn2,aflow:68c7755c6a182425,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl4Li2Zn1_ICSD_202743,227,cF56,2.07038,1.13141,319.198,39.8819,33.3278,17.1583,14,2.64362,aflow_68c7755c6a182425.poscar
Al2K2Te4,aflow:fe6e33543b6edd63,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1K1Te2_ICSD_44703,140,tI16,2.07093,1.92813,232.963,23.3348,18.1246,11.7749,8,3.99299,aflow_fe6e33543b6edd63.poscar
Na12S12Sb4,aflow:6d6ffda2f9dfa751,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Na3S3Sb1_ICSD_425458,198,cP28,2.07226,0.779651,295.802,80.2869,22.8813,11.261,28,2.88513,aflow_6d6ffda2f9dfa751.poscar
Ag2Th4,aflow:981a1b462db4f147,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Th2_ICSD_150643,140,tI12,2.07253,1.18724,141.013,17.8106,70.487,18.3489,6,10.4019,aflow_981a1b462db4f147.poscar
K12Sb4Te12,aflow:d6e8878db8c79997,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/K3Sb1Te3_ICSD_300182,198,cP28,2.0726,0.34716,163.926,82.8755,10.2813,5.4716,28,3.50619,aflow_d6e8878db8c79997.poscar
In3Sc1,aflow:83c2263d4f6af40b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/In3Sc1_ICSD_59524,221,cP4,2.07272,1.57452,182.012,11.7941,62.9389,19.8065,4,6.88699,aflow_83c2263d4f6af40b.poscar
K4S2,aflow:32cf9280ab2dee77,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/K2S1_ICSD_412535,63,oS12,2.07278,0.556778,189.903,17.688,18.1691,5.93455,6,2.05541,aflow_32cf9280ab2dee77.poscar
K4Na4S4,aflow:cdd7847fb7e8b974,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/K1Na1S1_ICSD_62658,62,oP12,2.07484,1.12346,299.937,34.4225,25.1325,15.7058,12,2.04144,aflow_cdd7847fb7e8b974.poscar
O2Rb1,aflow:b859d5fa2793bbf1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/O2Rb1_ICSD_180564,139,tI6,2.07516,2.06442,256.954,8.70491,20.6437,8.19924,3,3.15221,aflow_b859d5fa2793bbf1.poscar
Cl8U2,aflow:9a6cc70e1a9b394b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cl4U1_ICSD_202331,141,tI20,2.0753,2.68205,284.958,28.74,31.3595,17.2795,10,4.57714,aflow_9a6cc70e1a9b394b.poscar
Ca2Cl4,aflow:8dfd0bb804eca9a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ca1Cl2_ICSD_246417,136,tP6,2.07626,1.47214,263.089,17.3713,32.3886,12.801,6,2.11054,aflow_8dfd0bb804eca9a6.poscar
K16Sb8Sn2,aflow:bd20e4241ed4b5cf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/K8Sb4Sn1_ICSD_44679,227,cF104,2.07648,0.336695,171.916,76.8807,12.9556,7.53775,26,2.71967,aflow_bd20e4241ed4b5cf.poscar
Cr2O6,aflow:c8acdbf66750d476,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Cr_pvO/AB3_oC16_40_b_a2b-001.AB,40,oS16,2.07696,19.7069,803.171,17.1897,8.78513,7.48585,8,2.37894,aflow_c8acdbf66750d476.poscar
Ag2Te4Y2,aflow:b468cbf4ca46cb34,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Te2Y1_ICSD_154792,113,tP8,2.07697,1.93804,211.022,23.446,38.1973,19.4934,8,6.18953,aflow_b468cbf4ca46cb34.poscar
Na12Sb4Te12,aflow:d9b6cf00722ac4b8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Na3Sb1Te3_ICSD_75513,198,cP28,2.07707,0.45301,190.029,82.4901,14.5051,7.52503,28,4.26507,aflow_d9b6cf00722ac4b8.poscar
Na12Sb4Se12,aflow:30b515df88e0033e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Na3Sb1Se3_ICSD_425125,198,cP28,2.07779,0.647884,240.865,81.5503,19.1464,10.3844,28,3.82773,aflow_30b515df88e0033e.poscar
S4Si2,aflow:52876f739dd429b4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/S2Si1_ICSD_16952,122,tI12,2.07834,10.7017,556.989,15.271,25.7322,19.3253,6,2.22515,aflow_52876f739dd429b4.poscar
Ba2H2I2,aflow:17963b5ef054944f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ba1H1I1_ICSD_37203,129,tP6,2.07853,1.17032,182.019,17.7061,23.981,13.8549,6,4.94517,aflow_17963b5ef054944f.poscar
K4O6Pb4,aflow:1a4f8263ad0adfcc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/K2O3Pb2_ICSD_1412,199,cI28,2.07889,1.62271,264.081,40.5057,21.1407,13.0747,14,5.608,aflow_1a4f8263ad0adfcc.poscar
C2K8O8,aflow:58922299f89bc347,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/C1K4O4_ICSD_245428,86,tP18,2.07922,1.59611,415.74,49.324,34.5463,14.1104,18,2.68394,aflow_58922299f89bc347.poscar
Ba2Bi3,aflow:ec10eb407ac3cb2e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Ba2Bi3_ICSD_170218,71,oI10,2.07941,1.3491,139.992,14.8484,31.7497,15.8243,5,7.49679,aflow_ec10eb407ac3cb2e.poscar
F6Rb2Si1,aflow:b77dec9e36231396,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Rb2Si1_ICSD_38547,225,cF36,2.08007,1.93847,340.949,25.4081,19.0917,7.51559,9,3.28217,aflow_b77dec9e36231396.poscar
Al2Se4Tl2,aflow:2d87cbc355583fbb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Se2Tl1_ICSD_100130,140,tI16,2.08015,1.81809,219.951,23.4052,26.9027,14.2197,8,5.93852,aflow_2d87cbc355583fbb.poscar
Cs2F6Si1,aflow:f2420bdaea73f13a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cs2F6Si1_ICSD_38548,225,cF36,2.08058,1.34969,271.966,25.983,16.4472,5.82934,9,3.64326,aflow_f2420bdaea73f13a.poscar
Er1Tl1,aflow:cb514034f0a5a191,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Er1Tl1_ICSD_103311,221,cP2,2.08061,1.6723,126.994,5.94974,56.5056,15.1219,2,11.5442,aflow_cb514034f0a5a191.poscar
Br8Li6Mg1,aflow:ddee48f6f9bf413e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Br8Li6Mg1_ICSD_73275,225,cF60,2.08076,0.866196,257.277,43.5707,23.0111,14.8454,15,3.46529,aflow_ddee48f6f9bf413e.poscar
Tl1Y1,aflow:7a534e0fe4e0e735,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Tl1Y1_ICSD_106195,221,cP2,2.08127,2.14867,149.018,5.93071,54.4722,16.3247,2,8.87311,aflow_7a534e0fe4e0e735.poscar
S4Ta2,aflow:86952ebb6037f0de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S2Ta1_ICSD_169771,194,hP6,2.08136,9.51009,389.048,16.5957,28.0221,17.5927,6,6.13875,aflow_86952ebb6037f0de.poscar
Dy1Tl1,aflow:38fefb0ffb8a0914,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Dy1Tl1_ICSD_103375,221,cP2,2.0814,1.86399,131.932,5.94514,55.1111,15.9993,2,11.1545,aflow_38fefb0ffb8a0914.poscar
Rb2Te1,aflow:e7c5c7c5b4f9a113,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Rb2Te1_ICSD_182743,225,cF12,2.08183,0.705985,119.021,8.94028,11.4944,5.8551,3,3.11745,aflow_e7c5c7c5b4f9a113.poscar
Dy1Hg1,aflow:bb79767f7ff9b396,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Dy1Hg1_ICSD_103195,221,cP2,2.08199,2.39767,144.977,5.93404,67.4111,19.941,2,11.704,aflow_bb79767f7ff9b396.poscar
Au4Ba4,aflow:e5d622930c8ffda7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Au1Ba1_ICSD_611634,62,oP8,2.08236,0.682268,129.034,23.7995,30.7342,13.9001,8,8.09067,aflow_e5d622930c8ffda7.poscar
S4Ta2,aflow:ae63c4f893dd717a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S2Ta1_ICSD_651082,194,hP6,2.08239,10.7394,402.956,16.5011,24.726,17.2807,6,5.84051,aflow_ae63c4f893dd717a.poscar
Ba2Pd2,aflow:10ee17b38b9b345d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ba1Pd1_ICSD_616028,63,oS8,2.08308,1.4559,160.027,11.8438,33.4513,14.8427,4,6.46814,aflow_10ee17b38b9b345d.poscar
Cs1K2Sb1,aflow:1e79095987894d8e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cs1K2Sb1_ICSD_53237,225,cF16,2.08384,0.798508,143.86,11.8875,12.5833,8.08518,4,3.30246,aflow_1e79095987894d8e.poscar
Se6,aflow:7d6a2e6c742211e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Se1_ICSD_150731,227,cF24,2.08444,0.0931019,75.0033,17.9481,19.0167,1.65057,6,2.07995,aflow_7d6a2e6c742211e5.poscar
Ba2Br2H2,aflow:2cce4f73a021a5c3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ba1Br1H1_ICSD_37202,129,tP6,2.08485,1.23482,200.885,17.6408,29.8114,15.9332,6,4.65185,aflow_2cce4f73a021a5c3.poscar
Br4Eu4I4,aflow:46250f984f45620f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Br1Eu1I1_ICSD_59885,62,oP12,2.08585,0.479311,141.019,35.6431,30.747,11.9733,12,5.92378,aflow_46250f984f45620f.poscar
Rb2S1,aflow:e738c735121eb87f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Rb2S1_ICSD_29208,225,cF12,2.08751,1.07787,161.091,8.88907,15.6519,8.10391,3,2.81022,aflow_e738c735121eb87f.poscar
Al1F6K3,aflow:80c10bcea48c9956,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1F6K3_ICSD_262078,225,cF40,2.08768,1.23651,335.173,28.3188,39.4778,13.1563,10,2.60406,aflow_80c10bcea48c9956.poscar
Ca4Cl8,aflow:5ed02d9a45e81078,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca1Cl2_ICSD_56769,60,oP12,2.08821,0.960523,268.137,34.6919,28.1042,11.3858,12,2.15797,aflow_5ed02d9a45e81078.poscar
K12S12Sb4,aflow:32b78ac78f5ae2ea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/K3S3Sb1_ICSD_641323,198,cP28,2.08886,0.587073,248.847,81.3873,15.1135,7.68826,28,2.5017,aflow_32b78ac78f5ae2ea.poscar
K2O1,aflow:02918067ce677bf4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/K_svO/AB2_cF12_225_a_c.BA,225,cF12,2.08919,1.76966,260.925,8.70575,27.3661,12.5009,3,2.29266,aflow_02918067ce677bf4.poscar
Cl6Rb2Zr1,aflow:ed428a902e5d41de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl6Rb2Zr1_ICSD_26694,225,cF36,2.08943,1.43125,251.871,26.1288,9.22778,4.66488,9,2.74151,aflow_ed428a902e5d41de.poscar
Rb8Sb8,aflow:8cf08ce1df285278,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Rb1Sb1_ICSD_14030,19,oP16,2.09051,0.314214,133.084,47.5813,11.5673,4.96954,16,3.83971,aflow_8cf08ce1df285278.poscar
Rb4Te2,aflow:1dff4665ff68a2de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Rb2Te1_ICSD_55118,194,hP6,2.09089,0.393993,117.093,17.8858,12.5158,5.57489,6,3.73433,aflow_1dff4665ff68a2de.poscar
Li2Pd1,aflow:39fbb25ad81ea9a5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Li2Pd1_ICSD_104773,191,hP3,2.09126,2.17507,272.078,8.6756,49.3328,19.5659,3,4.7474,aflow_39fbb25ad81ea9a5.poscar
Ga1Li1Mg2,aflow:7a3214622338eebb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Li1Mg2_ICSD_103782,225,cF16,2.0913,1.94365,294.061,11.49,40.7333,17.2913,4,2.80292,aflow_7a3214622338eebb.poscar
Ca6Hg4,aflow:89fa2dba45153d8c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ca3Hg2_ICSD_58904,127,tP10,2.09133,0.653701,159.023,29.6217,31.2401,13.0324,10,5.60008,aflow_89fa2dba45153d8c.poscar
K2O1,aflow:9e183a9afc990944,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/K2O1_ICSD_180571,225,cF12,2.09138,1.76563,260.787,8.70608,27.45,12.534,3,2.29606,aflow_9e183a9afc990944.poscar
La4S4,aflow:2f48421ae3458aa7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/La1S1_ICSD_77831,64,oS16,2.09217,3.63708,271.923,23.0738,14.2412,9.89033,8,2.85799,aflow_2f48421ae3458aa7.poscar
K5Sb4,aflow:129f24d8bdf2c435,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/K5Sb4_ICSD_56530,12,mS18,2.09263,0.771061,176.935,26.5839,14.982,8.75111,9,3.08095,aflow_129f24d8bdf2c435.poscar
Cd1Li2Pb1,aflow:cfbceda193fc9a79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1Li2Pb1_ICSD_102015,216,cF16,2.093,0.775195,153.856,11.8627,32.6056,11.4381,4,6.48701,aflow_cfbceda193fc9a79.poscar
Cd2Se8Yb4,aflow:2f2f997069e31015,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1Se4Yb2_ICSD_37408,227,cF56,2.09304,0.29051,128.952,41.6407,48.9389,10.7181,14,6.20727,aflow_2f2f997069e31015.poscar
Ca4N8O24,aflow:b7ba9a9f2b076a37,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ca1N2O6_ICSD_52351,205,cP36,2.0932,6.49476,894.648,71.6113,12.6517,11.3559,36,2.35409,aflow_b7ba9a9f2b076a37.poscar
O2Pb2,aflow:8e1df3004e6ef769,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O1Pb1_ICSD_15466,129,tP4,2.09353,3.91442,239.04,11.6438,20.4054,10.5832,4,8.32366,aflow_8e1df3004e6ef769.poscar
S8Sn2Sr4,aflow:bca3f4fd2918d84d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/S4Sn1Sr2_ICSD_413024,40,oS28,2.09362,1.59124,280.054,40.299,30.6184,14.7399,14,3.57436,aflow_bca3f4fd2918d84d.poscar
Ga4Li4Se8,aflow:e5d89371a9e11bb0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ga1Li1Se2_ICSD_96915,33,oP16,2.09387,1.11692,263.09,46.3154,36.3455,17.5234,16,4.04695,aflow_e5d89371a9e11bb0.poscar
K2S1,aflow:e4dd36659b848305,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/K2S1_ICSD_183837,225,cF12,2.09396,1.68403,232.761,8.76513,18.3611,9.84152,3,1.75988,aflow_e4dd36659b848305.poscar
Ga1Hf1Ni2,aflow:da5ce7d4e4ec8f69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Hf1Ni2_ICSD_103734,225,cF16,2.09399,0.716183,153.041,11.8502,163.489,13.58,4,11.0398,aflow_da5ce7d4e4ec8f69.poscar
N8O4,aflow:0d80a637c412b773,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N2O1_ICSD_22397,205,cP12,2.09403,5.12946,673.123,28.3926,4.46111,2.72299,12,1.38626,aflow_0d80a637c412b773.poscar
Cs2Na2S2,aflow:b58f57b429d3e7c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Cs1Na1S1_ICSD_41323,129,tP6,2.09417,0.927923,189.201,17.6913,21.1088,11.2794,6,3.37169,aflow_b58f57b429d3e7c2.poscar
Al2Te4Zn1,aflow:f271f31b7b56d2c5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al2Te4Zn1_ICSD_25639,82,tI14,2.0958,2.75125,248.984,20.3289,29.6723,19.1892,7,4.74511,aflow_f271f31b7b56d2c5.poscar
F6Na1P1,aflow:8ec0ddedd7a8e8ea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Na1P1_ICSD_90615,225,cF32,2.09679,4.56798,532.715,20.6728,21.1111,9.88395,8,2.23804,aflow_8ec0ddedd7a8e8ea.poscar
Mn1Te1,aflow:70733edbcdfdc0c8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Te1_ICSD_181324,216,cF8,2.09736,1.92182,164.942,5.91634,37.1944,11.8874,2,4.44596,aflow_70733edbcdfdc0c8.poscar
Pb3Tb1,aflow:e059c8bcb764bfa2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb3Tb1_ICSD_105629,221,cP4,2.09741,0.468345,95.0241,11.9431,50.2278,8.65957,4,11.1463,aflow_e059c8bcb764bfa2.poscar
Li1Pb1,aflow:a7b9a122dec417bf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Li1Pb1_ICSD_104762,221,cP2,2.09819,0.897914,127.058,5.95351,34.0444,9.86566,2,7.85762,aflow_a7b9a122dec417bf.poscar
K10Te6,aflow:5b8c6ef02fe2db2a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/K5Te3_ICSD_66024,87,tI32,2.0985,0.450145,172.132,47.3249,14.8008,9.07266,16,3.07634,aflow_5b8c6ef02fe2db2a.poscar
Cl1Li1,aflow:3d5c7e27f5a6cca6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl1Li1_ICSD_26909,225,cF8,2.09853,3.82212,363.038,5.62406,32.0444,18.5325,2,2.05288,aflow_3d5c7e27f5a6cca6.poscar
Au1K3O1,aflow:f40823291e45087f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Au1K3O1_ICSD_79086,221,cP5,2.1008,0.987767,183.242,14.7663,18.5778,11.7236,5,3.64094,aflow_f40823291e45087f.poscar
Cl6Cs2Zr1,aflow:e833f0eceb0b201f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl6Cs2Zr1_ICSD_26695,225,cF36,2.10089,1.52754,240.921,26.2024,7.40556,4.38089,9,3.01623,aflow_e833f0eceb0b201f.poscar
Bi4K12Te12,aflow:1b77bae9c459f82a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Bi1K3Te3_ICSD_300183,198,cP28,2.10111,0.329715,156.003,82.9921,10.2746,5.48686,28,4.04094,aflow_1b77bae9c459f82a.poscar
Br6Cs2Mg2,aflow:fdf1ecb52d3d236a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Br3Cs1Mg1_ICSD_87260,194,hP10,2.10162,0.627088,170.168,29.5752,12.0149,6.0372,10,3.77694,aflow_fdf1ecb52d3d236a.poscar
Sn8Sr2,aflow:b6b877fb8d8fa020,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Sn4Sr1_ICSD_281669,63,oS20,2.10184,0.51492,143.966,29.6788,40.2189,11.2146,10,6.10948,aflow_b6b877fb8d8fa020.poscar
Rb6S6,aflow:3514633aa46a9f48,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Rb2S2_ICSD_73176,189,hP12,2.10303,0.625174,195.109,35.3326,15.8471,8.08643,12,2.7248,aflow_3514633aa46a9f48.poscar
K4O4,aflow:afaf34e9dd446777,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/K_svO/AB_oC16_64_e_f-001.AB,64,oS16,2.10382,1.85977,352.249,22.5417,30.3473,16.6413,8,2.31067,aflow_afaf34e9dd446777.poscar
Cl8Mg2Na4,aflow:81ee2ef7b606c650,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cl4Mg1Na2_ICSD_69343,55,oP14,2.10467,0.91383,299.726,40.1424,26.0297,12.5528,14,2.19535,aflow_81ee2ef7b606c650.poscar
Ga4Se8Sr2,aflow:df2ac674923b54bf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga2Se4Sr1_ICSD_635400,66,oS28,2.10476,1.80968,270.079,40.4285,29.3315,17.371,14,4.64279,aflow_df2ac674923b54bf.poscar
Mn4Te8Zn2,aflow:07eae5aae7ba2e7d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2Te4Zn1_ICSD_643810,227,cF56,2.10479,0.234734,126.006,41.6605,42.1944,7.54221,14,5.66185,aflow_07eae5aae7ba2e7d.poscar
C1Ru1,aflow:4990d46926dfee7a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ru1_ICSD_183169,225,cF8,2.10513,1.49975,204.963,5.86492,317.922,16.1078,2,9.38138,aflow_4990d46926dfee7a.poscar
Bi8O12,aflow:dfaa12a3d112d79d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O3_ICSD_168811,227,cF80,2.10542,2.31233,312.101,56.9739,27.0722,14.1347,20,8.30837,aflow_dfaa12a3d112d79d.poscar
In6S8,aflow:b763bddbb78748a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In24S32_ICSD_640361,227,cF56,2.10555,0.661433,204.939,41.0887,53.0778,13.4895,14,4.549,aflow_b763bddbb78748a7.poscar
F6Si1Tl2,aflow:9fab41bd3120e637,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Si1Tl2_ICSD_38549,225,cF36,2.10646,1.02404,230.088,26.2751,19.8944,5.99617,9,5.66681,aflow_9fab41bd3120e637.poscar
Br3Cs1Ge1,aflow:75cade801fdcdde7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Br3Cs1Ge1_ICSD_80320,221,cP5,2.10669,1.09442,169.149,14.7888,22.9833,12.5055,5,4.20442,aflow_75cade801fdcdde7.poscar
Cl6K2Ti1,aflow:318629758c94a56e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl6K2Ti1_ICSD_26934,225,cF36,2.10717,1.48494,290.91,25.8463,11.4833,5.54023,9,2.2095,aflow_318629758c94a56e.poscar
Al2Cd1Te4,aflow:74c0b1109069d665,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al2Cd1Te4_ICSD_25640,82,tI14,2.10736,2.2933,227.902,20.4376,25.9922,15.7338,7,4.77832,aflow_74c0b1109069d665.poscar
Cl6Rb2Ti1,aflow:cdeebb26060edc5e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl6Rb2Ti1_ICSD_26689,225,cF36,2.10881,1.17799,246.945,26.1727,10.2778,4.66555,9,2.63948,aflow_cdeebb26060edc5e.poscar
Al2Cl8Cu2,aflow:af155c777063d34b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al1Cl4Cu1_ICSD_35050,112,tP12,2.10895,1.72822,326.035,34.0626,11.9007,6.49342,12,2.44242,aflow_af155c777063d34b.poscar
Ni2Ta2Te10,aflow:72c858b8c990275d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ni1Ta1Te5_ICSD_73314,63,oS28,2.10909,2.32505,250.095,40.6223,22.154,13.0443,14,7.36038,aflow_72c858b8c990275d.poscar
