arm,best_epoch,seconds,tag,test_gamma_corr,test_gamma_corr_derived,test_kappa_mae_derived,test_kappa_mae_oracle,test_kappa_mae_predicted,test_mae_gamma,test_mae_gamma_derived,test_mae_log10,test_mae_log_G,test_mae_log_K,test_mae_log_ratio,test_median_ae_log10,test_n,test_p95_ae_log10,test_recall10_derived,test_recall10_oracle,test_recall10_predicted,test_rmse_log10
control,223,377.20895743370056,control_s1,0.533597138328486,0.2275670402209071,0.3107223038728982,0.23013342382218266,0.2538282685438667,0.13968450896478526,0.4401593156530021,,0.1548190414905548,0.12696093320846558,0.10652285814285278,,,,0.43373493975903615,0.4819277108433735,0.4578313253012048,
control,137,283.96875524520874,control_s2,0.4649921162475629,0.24648588414551992,0.3178143832067192,0.24041507429588588,0.26601949425317095,0.1494276652277598,0.39832355764122446,,0.1726493388414383,0.1507311314344406,0.11112204939126968,,,,0.3855421686746988,0.4457831325301205,0.39759036144578314,
control,167,306.0339467525482,control_s42,0.5461960757982129,0.24013841254458645,0.29489584895163534,0.2293837090461481,0.2502712146004018,0.13902454677058237,0.45627736944849595,,0.1527700573205948,0.12503524124622345,0.10411486774682999,,,,0.4578313253012048,0.46987951807228917,0.43373493975903615,
direct,138,268.7841491699219,s1,,,,,,,,0.26284030079841614,,,,0.1923213005065918,835,0.7065457105636597,,,,0.3520982265472412
direct,79,195.80929470062256,s2,,,,,,,,0.2593799829483032,,,,0.19949674606323242,835,0.7003462910652161,,,,0.34730708599090576
direct,235,365.8892517089844,s42,,,,,,,,0.25290802121162415,,,,0.17847388982772827,835,0.7353851199150085,,,,0.35124871134757996
