vs,d_f1,ci_lo,ci_hi,decisive
control,-0.04069382036617828,-0.13082256111870905,0.046472552983662214,False
round 9,-0.04069382036617828,-0.13082256111870905,0.046472552983662214,False
tree,-0.28713108653131847,-0.3986805139912839,-0.17753673339881193,True
