split,n,MAE_log10,R2,MAE_GPa,rel_error_pct,pct_of_range
train,7691,0.03745569942242736,0.9742663395599114,7.39125019409457,9.007329286143495,1.2876741129199762
val,1648,0.06725558320295463,0.8945023049956857,11.1610536001695,16.749648903253167,1.9444342183590657
test,1648,0.06955145415171836,0.8824098535631322,11.536779374390552,17.368472956030722,2.0098916633536645
