rank,material_id,formula,n_atoms,space_group,crystal_system,kappa_CGCNN,kappa_ALIGNN,kappa_worse_of_two,kappa_p05_recal,kappa_p50_recal,kappa_p95_recal,p95_p05_ratio_recal,confidence,clears_p95_threshold,gnome_source_id,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
111,4c3992ab8b,Rb3Cu3AsP,8,R3m,trigonal,0.7159,0.7511,0.7511,0.1447,0.7019,3.1977,22.1,wide,False,4c3992ab8b,22.043282212481163,11.564389726566771,2.2233578339074827,0.5751171154774857,23.80261,8.728524,2.2135088,0.3837817024688584,0.5751171154774857,0.2289781945582918
112,0f007e6887,KTmSnI6,9,R3,trigonal,0.2746,0.3232,0.3232,0.0151,0.2699,3.198,212.42,wide,False,0f007e6887,18.174962029554035,9.772761283669643,2.259660077564841,0.4800776560457559,24.392464,7.9688354,2.2578526,0.3578255516902726,0.4800776560457559,0.2022512728910253
113,d495c81573,CoICl2,8,C2/m,monoclinic,0.1861,0.081,0.1861,0.009,0.1856,3.2693,361.28,wide,False,d495c81573,23.801023130361703,11.401004639878453,2.1577423563256426,0.624578682318732,37.536507,10.956991,2.089604,0.6360667157380551,0.624578682318732,0.1176213584377079
114,80db2bc5cb,CsK2Cu(AgAs)2,8,C2/m,monoclinic,0.6939,0.2917,0.6939,0.1194,0.6862,3.4914,29.25,wide,False,80db2bc5cb,23.36449078085201,13.419354622118297,2.232288187549901,0.6979907314131235,19.508583,12.77411,2.2710378,0.6216163874387689,0.6979907314131235,0.1944159176754444
115,d88ee0f6bc,K3Cu(AgP)2,8,C2/m,monoclinic,0.9542,0.5304,0.9542,0.2299,0.9586,3.5271,15.35,wide,False,d88ee0f6bc,24.090233447486664,13.403677705969764,2.2082934496142204,0.7741474331990692,24.219427,11.716428,2.2126415,0.6319707598637694,0.7741474331990692,0.2063818585563408
116,30ee5d3be2,Be(Se3Br)2,9,P-1,triclinic,0.2408,0.725,0.725,0.0061,0.24,3.5297,575.37,wide,False,30ee5d3be2,29.909503369156223,13.44552218828928,2.166850100744937,0.9288345071544826,25.531866,11.0109625,2.0936074,0.741319335113829,0.9288345071544826,0.971452269861856
117,93e0a3048a,Er2SBr5,8,P1,triclinic,0.5567,0.1035,0.5567,0.0697,0.5431,3.5656,51.17,wide,False,93e0a3048a,11.042962225786969,6.516222137952787,2.1198231478968137,0.3213389701753389,15.330659,6.6292906,2.2150505,0.3019230318424228,0.3213389701753389,0.0830726057970934
118,c03b821eda,Ag3HgAsO4,9,P1,triclinic,0.2929,0.162,0.2929,0.0294,0.3248,3.6649,124.77,wide,False,c03b821eda,68.20368418450934,24.38904382544848,2.2710256262320927,0.9965258257996908,68.79828,21.51548,2.2830904,0.8177937809051896,0.9965258257996908,0.3526626055340717
119,757d018561,Gd2(BrCl)3,8,P1,triclinic,0.4675,0.2543,0.4675,0.0441,0.4905,3.6806,83.38,wide,False,757d018561,25.65713389791732,14.294669701868024,2.122177912883817,1.0844554173296577,30.347599,13.506465,2.1548617,0.9689122801501234,1.0844554173296577,0.2795921145498711
120,164b7cd4e3,MnPtCl6,8,C2,monoclinic,0.1573,0.1408,0.1573,0.0042,0.1514,3.6852,867.87,wide,False,164b7cd4e3,19.355165373257865,9.674830845337796,2.234291575450781,0.4799344815746905,28.784435,9.271774,2.2993627,0.4256828841679925,0.4799344815746905,0.0814542597594727
121,0b5574a75e,Cs2HPtI5,9,I4mm,tetragonal,0.3231,0.469,0.469,0.019,0.3258,3.6871,194.33,wide,False,0b5574a75e,13.83216955697143,5.805481448024905,2.4013995598780915,0.1806956471503784,11.454039,4.682737,2.3135831,0.1429930848807921,0.1806956471503784,0.2618090465093833
122,871f3f6ecb,Cs2Ni(PdS2)2,9,Fmmm,orthorhombic,0.3253,0.3894,0.3894,0.0235,0.3262,3.6903,157.15,wide,False,871f3f6ecb,15.91658270390672,11.429346637192785,2.174922961962243,0.5316000994546056,22.887602,13.086005,2.267144,0.5972686911778197,0.5316000994546056,0.1212255346780547
123,d39a73b18d,Rb4NaBi2Au,8,C2/m,monoclinic,0.5202,0.5363,0.5363,0.0466,0.5212,3.711,79.65,wide,False,d39a73b18d,11.620595459378016,6.090502457136794,2.0405352368495957,0.291450898036822,11.303201,6.056457,2.1003723,0.272083973635682,0.291450898036822,0.1442203946324882
124,46146298a1,CsK2Ag3AsP,8,R3m,trigonal,0.8459,0.2762,0.8459,0.1788,0.8744,3.7761,21.12,wide,False,46146298a1,22.753367921226182,12.04634846217271,2.2426648403646268,0.6031815486442964,18.364922,10.675448,2.311442,0.4687175591669435,0.6031815486442964,0.2069855259651113
125,3670d609fd,CsNaNi3S4,9,Fmm2,orthorhombic,0.9929,0.8189,0.9929,0.221,0.9972,3.8007,17.2,wide,False,3670d609fd,68.51815787568897,30.15173540546024,2.086474311351956,2.686323583737083,56.226803,28.150927,2.174386,2.21314121553997,2.686323583737083,0.3929206411414403
126,bbac81b90d,Cs3Cu(AgP)2,8,C2/m,monoclinic,0.5849,0.3382,0.5849,0.0714,0.5934,3.8133,53.39,wide,False,bbac81b90d,22.78234706455012,11.609177098869097,2.232538492783625,0.572144688216645,17.787428,9.788475,2.2245736,0.4457142019179059,0.572144688216645,0.1823824354951914
127,89fc3780f4,CsMgAgTe2,5,I-4m2,tetragonal,0.9972,0.9938,0.9972,0.2268,1.0029,3.8529,16.99,wide,False,89fc3780f4,43.31739020613856,13.672340094458107,2.1992016815487143,1.0450849696286664,37.941795,14.356137,2.260877,1.0536408548938525,1.0450849696286664,0.798562760398365
128,1f9b804fdb,ErInBr6,8,C2,monoclinic,0.2257,0.0484,0.2257,0.008,0.228,3.9241,491.38,wide,False,1f9b804fdb,5.009290880817314,4.604801730876525,2.202422126979686,0.1616747835178867,8.031313,3.4131045,2.2058833,0.1047626163081887,0.1616747835178867,0.0449596827533984
129,a5b82da44f,AlIrBr6,8,C2,monoclinic,0.1561,0.2176,0.2176,0.0027,0.1513,3.931,1466.39,wide,False,a5b82da44f,3.5113563274999327,3.5348370271856013,2.27356693912265,0.0885847563512089,6.650434,2.8023276,2.108192,0.0753670292296471,0.0885847563512089,0.0204430866695781
130,02028ee042,CsRbPd2PtSe4,9,C2,monoclinic,0.2266,0.1196,0.2266,0.0106,0.2204,3.9432,370.78,wide,False,02028ee042,14.785188941377786,12.302376252808957,2.25840597862846,0.4979299319637191,19.619633,15.663897,2.3627996,0.6451559920252664,0.4979299319637191,0.1807338654747015
131,9dc733aa85,K2Os(Cl2F)2,9,I4/mmm,tetragonal,0.2548,0.4647,0.4647,0.0171,0.2557,3.9753,231.9,wide,False,9dc733aa85,14.77740884491123,7.947608859067772,2.234205158429269,0.3330901291154682,13.612412,7.2518783,2.209453,0.2976658675281034,0.3330901291154682,0.054810477925799
132,8175bee583,Rb2H2SeO,6,P1,triclinic,0.7571,0.6184,0.7571,0.1188,0.7519,3.9992,33.67,wide,False,8175bee583,19.48647416152165,10.515992009374497,2.0680561230142933,0.7947814769592355,18.063215,11.613968,1.9842616,0.9988314890519892,0.7947814769592355,0.8508002967377051
133,fa02cd6824,RbCu(AuSe)2,6,C2/m,monoclinic,0.7273,0.4173,0.7273,0.0763,0.6784,4.0603,53.21,wide,False,fa02cd6824,58.53771770037131,13.91892455830668,2.4712470697512905,0.6217805509240422,40.06969,10.783199,2.5285475,0.3996414233577762,0.6217805509240422,0.1753773680136371
134,c681f7a9f5,AgAu3S2,6,R-3m,trigonal,0.0623,0.2505,0.2505,0.0025,0.0675,4.0909,1628.33,wide,False,c681f7a9f5,85.8963460082999,21.665501015678075,2.442731537742916,1.0416617238856825,83.919075,21.15911,2.5615337,0.8927438845554673,1.0416617238856825,0.5529692534063592
135,9cd1174d5f,ScAsI6,8,R3,trigonal,0.1891,0.8386,0.8386,0.0043,0.1889,4.1005,962.04,wide,False,9cd1174d5f,13.021860152794844,7.56614084141996,2.291726357909326,0.3343224280970727,12.720759,4.0060105,2.268963,0.1334749753035949,0.3343224280970727,0.1807664034370102
136,26f790a4a2,KRb2BiO4,8,C2,monoclinic,0.3545,0.3286,0.3545,0.0336,0.3635,4.1216,122.49,wide,False,26f790a4a2,31.087328655622027,12.484070804200687,2.102417405325164,0.7022250801961053,29.161894,13.131087,2.1592364,0.7139533289463192,0.7022250801961053,0.5538602867128941
137,3b9554aae1,TmGaSnI6,9,R3,trigonal,0.2207,0.3721,0.3721,0.0052,0.208,4.3029,826.84,wide,False,3b9554aae1,15.10989169997294,11.310281968062853,2.210329146803846,0.5873252480309166,24.729458,8.44152,2.273572,0.3618658252022531,0.5873252480309166,0.2088347568700248
138,c19de2f1bb,MnVCl4,6,P2/m,monoclinic,0.723,0.827,0.827,0.0999,0.6736,4.3355,43.4,wide,False,c19de2f1bb,21.13422135657689,10.081326360037442,2.16719910191361,0.7331425570094776,23.975256,11.127353,2.090622,0.918375934570635,0.7331425570094776,0.0690862379366325
139,fddc1971c1,K2Rb2LiAgAs2,8,P-1,triclinic,0.9583,0.559,0.9583,0.1419,0.9209,4.3435,30.61,wide,False,fddc1971c1,14.301868033705931,9.31726663502474,1.9954597205640616,0.6320734093984159,15.148503,12.73709,2.06859,0.9329069857001058,0.6320734093984159,0.3956239087429407
140,c642751c94,MnPbCl6,8,P312,trigonal,0.1593,0.2273,0.2273,0.0038,0.1698,4.6016,1206.14,wide,False,c642751c94,13.838681901968238,5.931364752881322,2.18923942443964,0.2772511556485479,11.538596,4.737089,2.2049358,0.1949768040936439,0.2772511556485479,0.0453187031423431
141,0a7c624c48,Ru(IF)2,5,Cmmm,orthorhombic,0.3593,0.1929,0.3593,0.0232,0.3557,4.766,205.63,wide,False,0a7c624c48,43.52376389240055,16.83670982118939,2.357536966783761,1.1990860502222944,28.56265,14.227286,2.3082101,0.9732416255487704,1.1990860502222944,0.5668749755735473
142,863fc75f1b,CsK2Cu3AsP,8,R3m,trigonal,0.7558,0.3736,0.7558,0.1147,0.7601,4.767,41.57,wide,False,863fc75f1b,23.670220575492117,12.222353017021376,2.241037551138616,0.6140554337829457,21.269428,9.168303,2.240751,0.4006565296953525,0.6140554337829457,0.2747554232072914
143,18e6fdcbe4,VHg2F6,9,P-1,triclinic,0.4513,0.1256,0.4513,0.023,0.4044,4.7926,208.52,wide,False,18e6fdcbe4,64.84644520366469,25.289166325676582,2.2433060721066584,1.219026732184908,52.18836,19.16376,2.2635658,0.7889495610810334,1.219026732184908,0.463095466106624
144,6d5ddc5b7b,In3HgAsSe4,9,P1,triclinic,0.8462,0.7513,0.8462,0.1309,0.8723,4.9651,37.94,wide,False,6d5ddc5b7b,29.798679183451767,13.19940632831741,2.230112983213747,0.5905282892116361,25.426596,15.289542,2.2069135,0.7481997563252751,0.5905282892116361,0.3619942660789297
145,3dc9a53ee3,Rb2Ru(Cl2F)2,9,I4/mmm,tetragonal,0.3753,0.2563,0.3753,0.0222,0.3903,5.267,236.98,wide,False,3dc9a53ee3,13.828570687263744,7.521193480446472,2.2332115364047027,0.3230278134783801,13.266773,7.114413,2.214327,0.3029451280608495,0.3230278134783801,0.0782293494787415
146,de5b2b3816,Cs5Sb2Au,8,R-3m,trigonal,0.471,0.7404,0.7404,0.0244,0.4681,5.5098,226.13,wide,False,de5b2b3816,10.949939589987643,5.170465843098187,2.053612471662697,0.2303545540408421,9.817065,5.105817,2.111596,0.2128463333035959,0.2303545540408421,0.4142886198008889
147,00b4c5137e,CsCu2AuSe2,6,C2/m,monoclinic,0.88,0.4628,0.88,0.0905,0.8848,5.7431,63.44,wide,False,00b4c5137e,57.80295242563893,15.772858398406427,2.3735650889122955,0.8832762828745084,40.531296,12.606206,2.3798885,0.6257816669170365,0.8832762828745084,0.2132470623531784
148,0d392955a3,Nb2I3BrO2,8,P1,triclinic,0.9578,0.7092,0.9578,0.1106,0.9487,5.9412,53.7,wide,False,0d392955a3,44.52361156247216,17.428979823890145,2.1242444132655445,1.133818383308043,39.723415,28.592968,2.168629,2.247078219614461,1.133818383308043,0.3468297161696126
149,0ee58daf7a,Cs2Hg(ClF)2,7,I4/mmm,tetragonal,0.6955,0.5875,0.6955,0.0533,0.6743,5.9915,112.49,wide,False,0ee58daf7a,20.10990289177137,8.94804360492708,2.2457284332343472,0.4108266953294619,15.72207,8.567577,2.2647486,0.3759266013172501,0.4108266953294619,0.1239196985306207
150,fe6f83c2bd,BaNa(AgTe2)2,8,I4mm,tetragonal,0.9711,0.4847,0.9711,0.1483,0.9385,6.161,41.56,wide,False,fe6f83c2bd,40.68392883760799,17.117559343175042,2.237837786269054,0.8955204549199832,32.966537,16.199509,2.2943594,0.7765144560361168,0.8955204549199832,0.4168513162633679
151,2103477c87,Gd2ICl5,8,P1,triclinic,0.6392,0.3692,0.6392,0.0543,0.6734,6.1896,113.91,wide,False,2103477c87,26.60490424974161,15.504295091487654,2.1110019780152416,1.278924791335463,38.05603,15.795384,2.1156323,1.3190982869817252,1.278924791335463,0.4312303292022316
152,8344cb67c9,MgMnCl6,8,C2,monoclinic,0.2894,0.4057,0.4057,0.0077,0.306,6.2351,813.11,wide,False,8344cb67c9,19.14200634106624,9.9825017948519,2.150228565078649,0.6671927324465329,15.953604,7.3302927,2.139123,0.4257334520912452,0.6671927324465329,0.0868492751080955
153,cb3cf94167,Rb3Li(SbAu)2,8,C2/m,monoclinic,0.448,0.2269,0.448,0.023,0.4331,6.2692,272.42,wide,False,cb3cf94167,20.226049942833903,10.227465406647688,2.291329874000653,0.4355082392653983,20.285742,8.577659,2.2667797,0.3441643224473077,0.4355082392653983,0.1782002261843694
154,0c86c8636a,AlRhBr6,8,C2,monoclinic,0.1904,0.1255,0.1904,0.0044,0.2133,6.3207,1434.9,wide,False,0c86c8636a,3.249099726828585,3.5026572055166203,2.179639034342709,0.1026774523959555,6.5562105,2.8192997,2.1019924,0.0819758842535735,0.1026774523959555,0.0226299753362453
155,19662eb567,Li2VAgS4,8,P-42m,tetragonal,0.2597,0.6059,0.6059,0.0099,0.2604,6.3647,642.37,wide,False,19662eb567,63.06788424659872,30.524512508768638,2.0757597411666864,3.8332863937378487,63.43714,33.978455,2.0496213,4.610469811977052,3.8332863937378487,0.8789014790888607
156,28362a88b3,Cs2RuOF5,9,I4mm,tetragonal,0.3471,0.3814,0.3814,0.0171,0.3557,6.4289,376.65,wide,False,28362a88b3,17.12217510542145,6.466797395526644,2.2042378062923067,0.2192538620977011,16.670788,8.148074,2.2683873,0.289245556225095,0.2192538620977011,0.2672788669653099
157,0af99d013d,Rb4NaAgBi2,8,C2/m,monoclinic,0.6266,0.4296,0.6266,0.0312,0.5943,6.4369,206.53,wide,False,0af99d013d,11.49280916916533,5.9560930298368575,2.035758170876916,0.3031075437214023,11.255311,5.9447217,2.044639,0.2994357622641673,0.3031075437214023,0.1474527087414323
158,ea02b909e9,SnBiSbSe4,7,R3m,trigonal,0.9937,0.5653,0.9937,0.1009,0.9758,6.5887,65.3,wide,False,ea02b909e9,39.68320895867849,19.367208638024184,2.179698641677595,1.2090357806153256,34.542152,14.649188,2.1604352,0.813307171882949,1.2090357806153256,0.4368302910104863
159,5e5c060528,KAg(HgO2)2,8,P-1,triclinic,0.486,0.8031,0.8031,0.0303,0.4566,6.6736,219.9,wide,False,5e5c060528,104.40470783629064,32.23913637132455,2.2865560709423405,1.6814511755295536,90.63223,28.484106,2.220344,1.491542987638928,1.6814511755295536,0.4676844424646793
160,7b77d5ff30,NaScSnI6,9,R3,trigonal,0.353,0.2134,0.353,0.0108,0.3596,6.6907,619.14,wide,False,7b77d5ff30,15.52971684017205,9.102081672061304,2.255061591494381,0.4201055102841103,18.499655,6.2106767,2.259637,0.2385366991937703,0.4201055102841103,0.1491091073027258
161,953d09d290,K4LiSb2Au,8,C2/m,monoclinic,0.7278,0.8763,0.8763,0.0534,0.7605,6.7383,126.26,wide,False,953d09d290,14.220175073953914,8.495910782379832,2.0316911793782757,0.5211330824495877,13.193818,8.931876,2.0673347,0.5404085621523367,0.5211330824495877,0.2782506836101706
162,7a34973f56,RuPtBr6,8,C2,monoclinic,0.1328,0.0527,0.1328,0.0014,0.1241,6.7383,4865.68,wide,False,7a34973f56,6.158486565910928,4.505760424630579,2.3450414954591445,0.1196057470310172,12.167781,4.1661763,2.334248,0.1093525222601433,0.1196057470310172,0.0259762752099548
163,bf20f38dc1,NaCeSnBr6,9,R3,trigonal,0.4513,0.7165,0.7165,0.0193,0.4711,6.777,351.34,wide,False,bf20f38dc1,16.153438389531498,8.704183396665197,2.263622913129886,0.3963920536183367,22.408312,7.00161,2.2353952,0.2974819852363866,0.3963920536183367,0.1085350858023522
164,b9d06f4526,K4NaSb2Au,8,C2/m,monoclinic,0.7029,0.5358,0.7029,0.0569,0.6677,6.782,119.25,wide,False,b9d06f4526,14.446250751873867,8.068291437672139,2.0374112296022284,0.4957090364107213,13.728808,8.204253,2.0670807,0.4926293900262284,0.4957090364107213,0.2039455745101563
165,d28a038d70,K3InI4,8,Pm,monoclinic,0.5312,0.8225,0.8225,0.0335,0.4998,6.7821,202.47,wide,False,d28a038d70,16.81972348923389,8.17839014978625,2.31133523198386,0.4151790927227212,15.279087,6.9728003,2.30681,0.3287914122234444,0.4151790927227212,0.7284640634172509
166,35b68ec966,Rb2HfCuAgTe4,9,C222,orthorhombic,0.6825,0.5232,0.6825,0.0386,0.7248,6.8878,178.34,wide,False,35b68ec966,11.94810689696546,8.585490609521713,2.187231559191884,0.3324036647721851,15.616154,8.304032,2.210727,0.3111418162861406,0.3324036647721851,0.2127820561339151
167,9f332958d5,NaNdSnI6,9,R3,trigonal,0.3194,0.7494,0.7494,0.0077,0.2985,6.9095,896.85,wide,False,9f332958d5,17.061482859010365,12.489144402743769,2.269778384297742,0.6680783746917344,22.942835,9.874988,2.2535524,0.4834436194661498,0.6680783746917344,0.2052474371168046
168,2c8d4b19df,Rb2IrOF5,9,I4mm,tetragonal,0.4765,0.6961,0.6961,0.0196,0.452,6.9096,352.94,wide,False,2c8d4b19df,17.464181417466563,7.637876038796153,2.290161591198112,0.2321195836868748,17.832788,8.86372,2.2389877,0.304561909450988,0.2321195836868748,0.1604437648781621
169,b52c3705f5,Cs2Te(OF2)2,9,C2/m,monoclinic,0.6673,0.3151,0.6673,0.0482,0.6539,6.9237,143.6,wide,False,b52c3705f5,16.98917992485131,6.500251816574363,2.288314360605312,0.1909752399050148,17.412468,7.252735,2.2950642,0.2231787313590648,0.1909752399050148,0.4145711510360319
170,d3b2175275,Gd2BrCl5,8,P1,triclinic,0.5567,0.2365,0.5567,0.0305,0.5412,6.9887,228.99,wide,False,d3b2175275,26.497779060574203,15.475229495791591,2.11605917427524,1.2618706890417368,39.85733,15.636017,2.089631,1.327625736239919,1.2618706890417368,0.3276893144442085
171,acd98d9d95,K2Ti(Te2Au)2,9,C222,orthorhombic,0.6954,0.707,0.707,0.0428,0.7155,7.012,163.71,wide,False,acd98d9d95,11.644706118821466,10.9038238888374,2.211503781859668,0.4433695163606213,19.704966,11.137461,2.2694273,0.4375212577961401,0.4433695163606213,0.302776718323195
172,ebe4491461,GaIrCl6,8,C2,monoclinic,0.1432,0.1131,0.1432,0.0009,0.1313,7.1355,7557.48,wide,False,ebe4491461,13.485714586241668,7.477485231017924,2.177370609052224,0.3242850910037492,16.179264,5.2456613,2.0280383,0.2237332259790821,0.3242850910037492,0.0524641753043089
173,3bc26bf89a,CsRb4AgBi2,8,R-3m,trigonal,0.5717,0.2,0.5717,0.0249,0.566,7.1895,289.17,wide,False,3bc26bf89a,10.595539049318203,5.58472611249064,2.042022305120308,0.2708170732896525,9.896708,5.8058453,2.0488765,0.2843741904769953,0.2708170732896525,0.2177110709120883
174,09f6f8cefc,MgBr7,8,C2,monoclinic,0.0598,0.164,0.164,0.0004,0.0599,7.581,18687.18,wide,False,09f6f8cefc,4.29808127934716,2.954796758855077,2.15839910891747,0.1236356024767372,5.6609626,2.1704416,2.1232464,0.0817041345129614,0.1236356024767372,0.0389233277189597
175,09880933a7,Rb3ReO4,8,I-42m,tetragonal,0.4674,0.6168,0.6168,0.0228,0.442,8.4294,370.26,wide,False,09880933a7,33.773183878002456,12.470541608411194,2.116943862456832,0.6450145489741773,31.677439,14.7889595,2.1858487,0.7737594282406196,0.6450145489741773,0.9020211687339432
176,a107021b4a,RbNa2As2Au3,8,R-3m,trigonal,0.8249,0.3195,0.8249,0.0565,0.8037,8.581,151.97,wide,False,a107021b4a,53.43498991739374,17.11555436438062,2.3195272264892925,0.7386209467299054,43.17905,20.365166,2.3413458,0.9307443256960422,0.7386209467299054,0.2634830677756762
177,8b73a21f72,Cs2CoCuO4,8,Amm2,orthorhombic,0.9694,0.4568,0.9694,0.0644,0.9643,8.6893,135.03,wide,False,8b73a21f72,56.27005508802437,22.605666576292315,2.099201978373567,1.7154146643432675,73.54395,18.858467,2.1592145,1.2407693187139726,1.7154146643432675,1.0612319314638126
178,7af53f2b98,NbAg(Te2Au)2,8,P-42m,tetragonal,0.5713,0.9427,0.9427,0.0371,0.5644,8.8969,239.71,wide,False,7af53f2b98,50.6074062550867,18.840465913598447,2.3064159412741123,0.9197748303025328,41.248966,14.542411,2.437537,0.5476556145702329,0.9197748303025328,0.2917043703788469
179,a07e2bf627,Er2RhBr5,8,P1,triclinic,0.7467,0.1407,0.7467,0.0557,0.7619,8.9031,159.97,wide,False,a07e2bf627,22.22538904936573,11.08646632193299,2.1838456318325337,0.5861043430902206,28.419395,12.618375,2.0792618,0.7921925008122446,0.5861043430902206,0.1499887861093254
180,71567900ec,NaSnSbI6,9,R3,trigonal,0.221,0.2324,0.2324,0.0028,0.2317,8.9225,3221.99,wide,False,71567900ec,11.622608440938867,7.77135538502927,2.3145751523064053,0.3143121455892938,13.392905,5.6146874,2.287895,0.2004007433715662,0.3143121455892938,0.1106512238756192
181,8c8ae67bba,CeCdBr6,8,C2,monoclinic,0.2714,0.2253,0.2714,0.005,0.2624,9.1456,1838.53,wide,False,8c8ae67bba,5.952199309826188,4.83650694258953,2.2712507225197207,0.1648232198977357,9.416544,4.3437734,2.2598288,0.1438701804115882,0.1648232198977357,0.0545330479822786
182,dc166d4b9e,NaPrSnI6,9,R3,trigonal,0.3116,0.4585,0.4585,0.006,0.3291,9.1957,1545.47,wide,False,dc166d4b9e,16.77545129678781,12.179772038733628,2.285843390187334,0.6424280571333271,21.756363,9.736448,2.2477887,0.4825095500929586,0.6424280571333271,0.1983215632817802
183,8cd1ce9306,Rb2Pt3(SeS)2,9,C2/m,monoclinic,0.2825,0.1637,0.2825,0.0057,0.2509,9.3775,1635.2,wide,False,8cd1ce9306,15.42573323333808,11.59880882805341,2.2210379786439742,0.4356848012722924,26.243462,15.035713,2.2794209,0.6107052629652198,0.4356848012722924,0.1171017471043579
184,a95e772bb7,Rb5Sb2Au,8,R-3m,trigonal,0.9203,0.6849,0.9203,0.0532,0.9149,9.6263,180.92,wide,False,a95e772bb7,11.701544293596232,5.921989018796061,2.0469951467969296,0.2949746795169065,11.459111,6.4577813,2.1093879,0.3147884238785478,0.2949746795169065,0.1948340877304746
185,e52bf49973,Rb2Os(Cl2F)2,9,I4/mmm,tetragonal,0.2598,0.2692,0.2692,0.0056,0.2624,9.7709,1735.04,wide,False,e52bf49973,13.668316882380072,7.289346652057757,2.2466793525846485,0.2829013033647055,12.971384,6.782755,2.24119,0.2554432988924133,0.2829013033647055,0.0787762277831316
186,e4de4f655e,NaSnBiI6,9,R3,trigonal,0.1848,0.2639,0.2639,0.0015,0.1839,10.2181,6787.05,wide,False,e4de4f655e,11.08960556231519,7.759699126012283,2.261925272772044,0.3174430182456196,13.32294,5.6262403,2.2829838,0.1941871946220195,0.3174430182456196,0.1036344778119737
187,5516ca1e85,Rb2Hg(BrF)2,7,I4/mmm,tetragonal,0.5909,0.5199,0.5909,0.0232,0.575,10.672,459.21,wide,False,5516ca1e85,20.24737829159355,9.540442953253097,2.3225287403567503,0.4146285457866576,14.455944,8.716465,2.298072,0.3689242244937358,0.4146285457866576,0.0908073598169094
188,7b2a583a1e,Rb2Te(OF2)2,9,C2/m,monoclinic,0.8923,0.3196,0.8923,0.0547,0.8976,10.7403,196.24,wide,False,7b2a583a1e,17.702056645943685,8.16509963932057,2.283835540976864,0.2664672916603737,18.548462,8.508369,2.2653506,0.2887697591834821,0.2664672916603737,0.1634269047567043
189,34e7f7b4b5,NaEuTmI6,9,R3,trigonal,0.3186,0.4292,0.4292,0.0077,0.3236,10.7858,1399.41,wide,False,34e7f7b4b5,20.76380970329309,11.99814442836687,2.201102264080215,0.6650675143749855,31.144562,11.098194,2.2147403,0.5898008911519736,0.6650675143749855,0.2948349372469473
190,b47a7152c8,KTe2Au,8,P4/mbm,tetragonal,0.8217,0.3518,0.8217,0.0351,0.8248,11.119,317.08,wide,False,b47a7152c8,21.92647314248573,12.273035043285253,2.305046471876996,0.5428418947884972,23.8777,12.538611,2.3554318,0.5338140855722521,0.5428418947884972,0.6313092486952714
191,b68fb0482e,Li2Ti(AgS2)2,9,I-42m,tetragonal,0.4085,0.6969,0.6969,0.0133,0.3959,11.5069,863.44,wide,False,b68fb0482e,64.96554574352149,28.554153986214907,2.109633551441039,2.388199901763364,59.113728,26.54248,2.073968,2.2170151638823827,2.388199901763364,0.4809052149511882
192,89d8976c21,KRb(Te2Au)2,8,P4/m,tetragonal,0.5248,0.2022,0.5248,0.011,0.4586,11.9664,1085.94,wide,False,89d8976c21,21.585116782871967,11.943414907444666,2.3149779938555786,0.5213228322289445,23.8777,12.456942,2.3691916,0.5267272483323019,0.5213228322289445,0.5767655272059301
193,c28fa6f94f,NaTbSnI6,9,R3,trigonal,0.3271,0.4473,0.4473,0.0037,0.3087,11.9686,3220.83,wide,False,c28fa6f94f,16.400948249784406,10.73415354401963,2.262263311263122,0.5235056735941706,20.44219,7.9606905,2.2545855,0.3409267740654741,0.5235056735941706,0.1900760858928952
194,045269ad3b,Cs2Ni2PdSe4,9,C2/m,monoclinic,0.416,0.3487,0.416,0.0093,0.3913,11.9827,1287.37,wide,False,045269ad3b,14.777794067699103,10.456391294292583,2.206113823953771,0.426546280993336,18.325916,11.877986,2.30911,0.4669144662486891,0.426546280993336,0.1229407252882947
195,2c88caa301,NaSmSnI6,9,R3,trigonal,0.3059,0.868,0.868,0.0038,0.3257,13.0251,3393.44,wide,False,2c88caa301,17.061482859010365,12.491561239989569,2.2740138274573782,0.6589535643932017,22.942835,9.874988,2.2535524,0.478727926255179,0.6589535643932017,0.2256949900585597
196,6159616c79,K2RbCu(SbAu)2,8,C2/m,monoclinic,0.3161,0.2208,0.3161,0.005,0.3104,13.3772,2676.89,wide,False,6159616c79,22.88891213794961,11.490134807412256,2.2810038885945785,0.4891832925423297,23.297028,9.282182,2.3424175,0.3357031029693916,0.4891832925423297,0.2006804148708587
197,9d0c89704a,NaYSnI6,9,R3,trigonal,0.2598,0.5208,0.5208,0.0024,0.2911,13.7802,5800.37,wide,False,9d0c89704a,15.209699537276895,9.477208861403993,2.252879119317276,0.457520504600647,16.153574,6.1045165,2.2476788,0.2404282103051193,0.457520504600647,0.1582509383524701
198,73a5936444,RbCuWSe4,7,I-4,tetragonal,0.6861,0.6175,0.6861,0.0201,0.736,14.3893,717.16,wide,False,73a5936444,58.35078356400368,16.09469539274912,2.2156945485837976,1.0261553369322127,36.789116,11.03439,2.2707765,0.5505471182867001,1.0261553369322127,0.3869824783597277
199,198468c59e,V(OF3)2,9,P-1,triclinic,0.221,0.3615,0.3615,0.0012,0.1958,14.6768,12133.52,wide,False,198468c59e,35.42329935612378,18.550016324344373,2.1252424249304283,1.2452257979512815,38.360455,16.561604,2.157169,1.02184607857466,1.2452257979512815,0.3762700177142203
