rank,material_id,formula,n_atoms,space_group,crystal_system,kappa_CGCNN,kappa_ALIGNN,kappa_worse_of_two,kappa_p05_recal,kappa_p50_recal,kappa_p95_recal,p95_p05_ratio_recal,confidence,clears_p95_threshold,gnome_source_id,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
49,1babd4bb2e,KRbZr(Te2Au)2,9,P2,monoclinic,0.3094,0.5399,0.5399,0.0428,0.2961,1.6878,39.48,wide,False,1babd4bb2e,11.695880217614215,10.335147814335148,2.217649269279085,0.4098807449890242,19.796995,10.799449,2.2614183,0.4241878627695007,0.4098807449890242,0.3748974078804065
50,1f66734223,K3CuAgP2Au,8,P-1,triclinic,0.8061,0.5251,0.8061,0.3711,0.8123,1.6929,4.56,moderate,False,1f66734223,24.14377259931156,13.36647707735497,2.2199954025856643,0.7027435605725347,21.857515,12.510294,2.265674,0.6074208893389836,0.7027435605725347,0.2206040084889585
51,a58f6bad97,ScSbBr6,8,R3,trigonal,0.2346,0.2185,0.2346,0.0167,0.2225,1.694,101.28,wide,False,a58f6bad97,4.044611671712122,3.786437146995486,2.2321730650766423,0.1266578779648236,5.202034,2.1319375,2.1907976,0.0569001384783424,0.1266578779648236,0.0343635662522487
52,222af8439d,K3Ag(SbAu)2,8,C2/m,monoclinic,0.5241,0.4677,0.5241,0.1495,0.5365,1.6986,11.37,wide,False,222af8439d,23.333344943316693,11.82967839582583,2.2882071569996847,0.5175545678727819,23.150126,9.679273,2.3695097,0.3546388864238578,0.5175545678727819,0.232514141115458
53,a453186cd3,Rb3Ag2As2Au,8,C2/m,monoclinic,0.4379,0.4151,0.4379,0.1088,0.4515,1.6998,15.62,wide,False,a453186cd3,22.51132816710328,12.31813618711734,2.290932150710975,0.5550426153687428,24.160187,11.696139,2.3424268,0.4891421236342995,0.5550426153687428,0.2321160778808094
54,8f544304b7,K4LiAgAsP,8,Cm,monoclinic,0.9054,0.9926,0.9926,0.4395,0.9024,1.7165,3.91,moderate,False,8f544304b7,16.725474868910197,10.143324058643934,2.013744277867485,0.7648448469705125,15.559419,14.713526,2.0763938,1.2408487684361842,0.7648448469705125,0.4186442251391884
55,9f31c919f8,Rb3BiSbAu3,8,R3m,trigonal,0.1389,0.2224,0.2224,0.0121,0.1377,1.7274,143.03,wide,False,9f31c919f8,22.851674659113844,10.444251662049094,2.323185150054061,0.3840357799252359,23.27732,8.833416,2.374786,0.2847871081540663,0.3840357799252359,0.1751717740830728
56,4809ac6683,Rb3Cu(AgP)2,8,C2/m,monoclinic,0.7993,0.4979,0.7993,0.3754,0.8015,1.7741,4.73,moderate,False,4809ac6683,23.170441921886543,12.09163384919107,2.248200822770651,0.6093084065882064,22.350342,9.705603,2.2135663,0.4554727225792327,0.6093084065882064,0.1639010344691369
57,e2e64b1307,Cs3Ag3AsP,8,R3m,trigonal,0.4931,0.2941,0.4931,0.1171,0.5139,1.7852,15.25,wide,False,e2e64b1307,21.64643586115288,10.891471436618852,2.264374919310828,0.5011159864122137,17.923231,10.279039,2.3019712,0.4411403229372326,0.5011159864122137,0.1871674964788749
58,8ffe188ecc,LiNb(AgS2)2,8,P-42m,tetragonal,0.3495,0.8577,0.8577,0.0757,0.36,1.7866,23.59,wide,False,8ffe188ecc,58.89511797324283,23.17556439473271,2.137490192094573,2.073072999293114,53.753147,29.996498,2.1192107,3.0850680972873183,2.073072999293114,0.5031889197983989
