model,gamma_source,tp,fp,fn,tn,n_called,n_true_low,precision,recall,f1,spearman,recall10,n_bin10,recall20,n_bin20,mae_log10,median_ae_log10
round 9 (CGCNN),derived,21,11,72,731,32,93,0.65625,0.22580645161290322,0.336,0.7231209949382843,45.23809523809524,84,58.08383233532935,167,0.29132466409661145,0.21873314324763038
round 9 (CGCNN),predicted,28,19,65,723,47,93,0.5957446808510638,0.3010752688172043,0.4,0.7425889056969192,46.42857142857143,84,58.08383233532935,167,0.24314168715633924,0.17624908398547956
round 9 (CGCNN),oracle,37,21,56,721,58,93,0.6379310344827587,0.3978494623655914,0.4900662251655629,0.7927412807169387,48.80952380952381,84,62.874251497005986,167,0.22050532083482163,0.1606936970714101
tree (random_forest),derived,51,25,42,717,76,93,0.6710526315789473,0.5483870967741935,0.6035502958579881,0.8372237590840145,58.333333333333336,84,72.45508982035929,167,0.21014740961635897,0.15949089859490195
tree (random_forest),predicted,63,39,30,703,102,93,0.6176470588235294,0.6774193548387096,0.6461538461538462,0.875298015033236,67.85714285714286,84,77.84431137724552,167,0.18560992035687013,0.1278832329489162
tree (random_forest),oracle,67,41,26,701,108,93,0.6203703703703703,0.7204301075268817,0.6666666666666666,0.8856812003338338,67.85714285714286,84,77.24550898203593,167,0.1785351532331834,0.12243645119254509
