material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,family
b7c9da25a8,Ba2Sr6Sb4H2O,15,461.2675376338826,4.69947729743051,1305.4292799999998,28.95808172637452,15.699304501491632,2.132875351279836,0.0332166484003241,0.038335540438506,0.6497167851475553,0.5564962566603276,0.6465154949914169,0.7532467045123782,2.536111253635707,False,True,complex oxide (5 elements),complex oxide (5 elements)
7912907847,Ba5Sr3Sb4H2O,15,491.32790612783145,4.915938088442535,1454.55028,29.55871171643004,15.239360713773012,2.1327070991910317,0.0653900797821527,0.0667954403466277,0.6212927099853386,0.4474551361192719,0.6190901333675478,0.8699684032785465,1.8707858669809587,False,True,complex oxide (5 elements),complex oxide (5 elements)
34a391e0d5,Ba6Ca2Sb4H2O,15,478.3860971837118,4.891419922304995,1409.1732799999995,31.09596322280277,15.93665414756203,2.142722342473295,0.0671826988855569,0.0685840711480366,0.6536916384029444,0.457183310118096,0.6552498563545583,0.95228543363894,1.841976640257404,False,True,complex oxide (5 elements),complex oxide (5 elements)
fc4f01deca,Pr3NdCrMo5O24,34,639.9954862567735,3.846890705633159,1482.64665,75.8366979785495,20.27464187731516,2.218347911263252,0.2442569811087087,0.1113066230229196,0.4822232313723615,0.2474560778395299,0.4830527547414118,0.9723782396713658,0.7372908918568547,False,True,complex oxide (5 elements),complex oxide (5 elements)
2e4f096413,CaRe4Hg6PbO20,32,703.5727054921405,5.937280550389625,2515.634,59.58905683394693,19.71374470801997,2.191977809768143,0.3125415422780075,0.1422371309021848,0.4174356997732283,0.1806762590852775,0.4095450010481441,0.9878445576615964,0.3016990213758104,False,True,complex oxide (5 elements),complex oxide (5 elements)
220494c05f,Ba7SrSb4H2O,15,514.583677769619,5.014574908070442,1553.96428,29.992078528912465,14.584169369523773,2.1175766223583925,0.1008885939190353,0.0951263361569215,0.5945578740642105,0.3280011063963506,0.5931041487678614,1.0842998504829338,1.5859507666777313,False,True,complex oxide (5 elements),complex oxide (5 elements)
575d05f324,PrNd3CrMo5O24,34,635.0528178859719,3.894268720592181,1489.31535,81.65486393831667,22.25616314002779,2.215928898687626,0.2586428793084558,0.1193833514747682,0.5510446108204202,0.2737796670388039,0.5544795000225605,1.1011398731209514,0.8258304880359771,False,True,complex oxide (5 elements),complex oxide (5 elements)
7c38603a99,Pr3DyCrMo5O24,34,627.6595477696617,3.9708004425407473,1500.90465,80.63751864326639,21.943027814459395,2.21685952695915,0.2542162123177825,0.1252298518664313,0.5316971480681753,0.2551494029680025,0.5358129752270985,1.1082654950697464,0.8046193072535451,False,True,complex oxide (5 elements),complex oxide (5 elements)
ebc6783b81,Sr12Ta3Nb(As3O)4,32,912.1096289875616,4.824900699465156,2650.24682,29.796746558707778,15.125027137509743,2.083429257289552,0.1452197858709199,0.1728134965332514,0.3753942200694805,0.1333005689217339,0.3751490712994387,1.149872758967181,1.1060638296191487,False,True,complex oxide (5 elements),complex oxide (5 elements)
738006785,Sr12TaNb3(As3O)4,32,911.3231158898384,4.508220645765977,2474.16382,29.22265227258428,14.869976860964524,2.097962179787057,0.1563149498742415,0.1846811992706723,0.3729831887101391,0.1134906658068572,0.3665927996276696,1.1752587905703578,1.1018284724663014,False,True,complex oxide (5 elements),complex oxide (5 elements)
80ac1bd5a0,Sr6TaNb(As3O)2,32,910.275694112268,4.674014767145839,2562.20532,29.54924335997179,15.025289932620492,2.091501303012451,0.1509334118512201,0.179215911313466,0.3743365748621939,0.1227884158917652,0.3900224532743043,1.2047550704195122,1.104689730955123,False,True,complex oxide (5 elements),complex oxide (5 elements)
814a8c8bfc,Ce2DyBi(MoO4)6,34,631.8609518577885,4.234617908209694,1611.338,86.93475758264995,23.75662133006443,2.218376480876518,0.2838039240900761,0.138928203396603,0.5803666555757024,0.2517253900059087,0.578399540518687,1.361634169061789,0.6764886224068595,False,True,complex oxide (5 elements),complex oxide (5 elements)
99a9187c3b,LaEuGd2(MoO4)6,34,627.7249887286421,4.139926724385337,1564.99507,88.95030325414827,24.786013553475367,2.217080943902305,0.2814252339609225,0.1462881574586905,0.6248769551551938,0.266157243580551,0.60992403571326,1.4259438657060064,0.8421318651692914,False,True,complex oxide (5 elements),complex oxide (5 elements)
c027e638ff,Ba6Y2Al2Co2O15,54,893.7944373019151,5.252501569194989,2827.1883344,100.56572395288605,41.28417137608975,2.0716486478224687,0.1505661721019074,0.0675624540364567,0.970257844416224,0.6347841988215311,0.9744587532806072,1.466834409865582,1.2903250678880922,False,True,complex oxide (5 elements),complex oxide (5 elements)
85cebf656e,Nd3DyCrMo5O24,34,619.8442202718213,4.04766420872944,1510.9077,89.67757094701852,25.64076727743093,2.2087902745518466,0.2702125538358977,0.1440281356845418,0.6674073346209961,0.2783893090137614,0.6672830266660988,1.52563127517196,0.9578474227072368,False,True,complex oxide (5 elements),complex oxide (5 elements)
e590af01ea,Tb2Pr2CrMo5O24,34,616.901137260733,4.078925952416508,1515.3476999999998,87.83400645849173,24.672722820609405,2.2124280692197504,0.2668003900113277,0.1476179101139131,0.624412309388355,0.2680217108185976,0.6551512106318635,1.532339387426943,0.9047136032532797,False,True,complex oxide (5 elements),complex oxide (5 elements)
1d7785c90b,Ba12Y4Al7CoO30,54,884.1620855469926,5.129699449115633,2731.3333652,87.0639127495429,37.360340173412176,2.0376086770318502,0.2119532888973058,0.1297246461678343,0.8707725961994482,0.4698831919956141,0.8684908038752278,1.5934822435951894,1.3081604501461623,False,True,complex oxide (5 elements),complex oxide (5 elements)
983761bb11,Nd3YCrMo5O24,34,621.2819017181522,3.8415979887111615,1437.31355,89.58476502742282,25.497217554606447,2.20737190517448,0.2755467456643108,0.1463651907861581,0.6808330853615361,0.2811309085844,0.669653689690888,1.6473930616131371,1.0361481108104016,False,True,complex oxide (5 elements),complex oxide (5 elements)
d5766df99f,Ba8AlCr(CoO8)2,28,494.2447733723083,5.212486178872196,1551.4504286,61.61527744298411,29.004910177048025,2.0993367270309107,0.1075132967048465,0.0986145879565844,0.8808052295595789,0.4683981517224609,0.8863109694833129,1.7187879631047116,1.104890049921024,False,True,complex oxide (5 elements),complex oxide (5 elements)
6aa14ed832,Ba8AlV2NiO16,28,500.1723701376252,5.11988323992356,1542.1643385999998,51.21675960302919,25.871163951456,2.100210746919958,0.1233252243157498,0.1333511111737738,0.7499915655320685,0.3288131953790868,0.7589312341706624,1.7330610832278197,1.169542511876004,False,True,complex oxide (5 elements),complex oxide (5 elements)
55b33af075,Ba8TiAlV2O16,28,505.7796861729693,5.027577311389091,1531.3379386,54.18290808905291,27.51261574315637,2.1087532459932614,0.1205418360588152,0.1201342303681628,0.8259108836332362,0.3830556491876071,0.8444218416073891,1.7508076592474202,1.205588890517026,False,True,complex oxide (5 elements),complex oxide (5 elements)
7dbd177219,Ba8TiV2GaO16,28,511.7855717065953,5.107256800081587,1574.0794,58.823295269405385,30.80008920255352,2.1206581374922338,0.0873103312259813,0.093038795881422,0.9622155718071445,0.5248439695903231,0.9463057572227984,1.770913675924174,1.1648631444756683,False,True,complex oxide (5 elements),complex oxide (5 elements)
479b3b2747,Tb2Nd2CrMo5O24,34,611.953908617924,4.129996818624689,1522.0164,93.02180365621632,26.989163099960084,2.2075358623528856,0.2748368803693531,0.1549415320626413,0.711250441677166,0.2813214741059449,0.7003981296224945,1.7912453478455752,1.0268345838193962,False,True,complex oxide (5 elements),complex oxide (5 elements)
5a6d74903f,Tb3PrCrMo5O24,34,605.3884708715786,4.205916161509247,1533.3654,93.20281638523132,27.59972888660768,2.206767604561213,0.2735275669969391,0.1592655835815101,0.7265949609230824,0.2912699538397578,0.7271081963072427,1.8224137122166395,1.0256179123102909,False,True,complex oxide (5 elements),complex oxide (5 elements)
367dde0b98,Nd2Dy2CrMo5O24,34,608.578410859661,4.172411216683714,1529.1656999999998,94.2518329180627,27.73233061951909,2.198941203512029,0.2765851540841359,0.1582754295580738,0.7419275010582217,0.3016492400852577,0.7518003871945879,1.830929419021224,0.9763780235468176,False,True,complex oxide (5 elements),complex oxide (5 elements)
116b122dba,TbGd3CrMo5O24,34,601.0063301768281,4.2724779542161935,1546.3570499999998,96.51463947586338,29.632991198797377,2.199025917264488,0.2690408223446746,0.1589506273644693,0.8059150470833141,0.3140888857188914,0.7942782117943921,1.9926680357571949,1.0090325837616856,False,True,complex oxide (5 elements),complex oxide (5 elements)
2929414101,Ba12Y3Ho(Co4O15)2,54,900.6585326513829,5.588273468474202,3031.0194300000003,107.4555263744187,40.51327862325838,2.094449089544359,0.1146542234053611,0.1141065552782636,0.8972438854830608,0.4020322489177725,0.8882259147418086,2.008470996418709,1.150028806877924,False,True,complex oxide (5 elements),complex oxide (5 elements)
260cade994,V5BiMoPb7O24,38,687.7884472586331,5.779906545561725,2394.0135,95.05636655476772,33.154116246019555,2.1416494748221484,0.25933185599676,0.1610284428391924,0.8109705875819022,0.32049291122667,0.8085192550944609,2.017415925352513,0.4785359435303403,False,True,complex oxide (5 elements),complex oxide (5 elements)
3631859f01,Tb3GdCrMo5O24,34,595.7617453519481,4.319428503693021,1549.70775,97.9806118330609,30.816455441948204,2.192025135808084,0.2705285735438048,0.1622750629373741,0.8531636560771153,0.3501052856795516,0.8375547089599693,2.02881545875528,1.0312355189785811,False,True,complex oxide (5 elements),complex oxide (5 elements)
a70cd03b3d,Gd2Dy2CrMo5O24,34,595.7464681686926,4.334796948201418,1555.1817,98.3582865822378,31.124449322688783,2.1863997440655933,0.2673161959162253,0.1605111882915783,0.8692482824405838,0.3620584698515978,0.8614803484676549,2.0865826455355387,1.03944822264286,False,True,complex oxide (5 elements),complex oxide (5 elements)
972f778c6b,NdDy3CrMo5O24,34,598.2509501737889,4.295116471233848,1547.4236999999998,97.4095385240459,30.230050188669814,2.1875500685520866,0.2709714383751072,0.162181072310206,0.8363505206908773,0.3391855654428006,0.8405504997502464,2.1286967035081914,1.0904378504050911,False,True,complex oxide (5 elements),complex oxide (5 elements)
edc0544f1a,TbDy3CrMo5O24,34,588.355434022897,4.408797193601544,1562.1070499999998,100.57639240677058,33.147291605112656,2.17136121120916,0.2658406824425109,0.1622704678688012,0.9570092349023752,0.4076701456550713,0.9624172071372604,2.2250676241461065,1.0879102622198025,False,True,complex oxide (5 elements),complex oxide (5 elements)
89dec9aea3,MgInAg(MoO4)3,36,640.0192682421263,3.771406572686974,1453.608,90.94143052525848,30.914632008695687,2.167118357286641,0.2833206759139307,0.2193748927606409,0.9088135588953228,0.2569212807352116,0.9081937356499712,3.2904049767904784,0.8102403275101471,False,True,complex oxide (5 elements),complex oxide (5 elements)
