material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal,family
198468c59e,V(OF3)2,9,128.5474611956122,2.5438942944543816,196.9307192,6.24544631054811,3.820818604056623,0.1325945574515759,0.1215771096923182,0.2459241973633341,1.4806256656552186,0.2209559334425295,0.0623068694557536,0.2257354879529509,0.6949024509376537,True,8.888897895812988,5.357105255126953,0.3615272691140203,True,True,P-1,triclinic,0.3615272691140203,other oxide (mixed-anion / molecular-ion)
28362a88b3,Cs2RuOF5,9,197.78041007368003,4.012154978785394,477.8723198,26.53454920792516,8.559582052870217,0.163187870506225,0.0586529219317951,0.3543681631628513,2.16838721282298,0.347092655709403,0.1458713376076358,0.3465101838732158,0.8152837935675749,True,17.312646865844727,7.415807723999023,0.38137465473323,True,True,I4mm,tetragonal,0.38137465473323,other oxide (mixed-anion / molecular-ion)
b52c3705f5,Cs2Te(OF2)2,9,189.0866464945939,4.403271261803082,501.4033166,23.98186377479653,10.815774330108134,0.0765609610805967,0.0551235233236908,0.3039705922339317,1.7976078101663655,0.6672588542316138,0.3619427425309266,0.6577134949939079,1.2026028153717463,True,22.718795776367188,7.906653881072998,0.3150778718291801,True,True,C2/m,monoclinic,0.6672588542316138,other oxide (mixed-anion / molecular-ion)
2c8d4b19df,Rb2IrOF5,9,173.81992324805017,4.529599646290612,474.144016,18.659174292854544,8.689897887988083,0.0895519869455482,0.0629786863740483,0.2984325541753442,1.7630530552841466,0.4765432878384605,0.2302435442583534,0.4685960466902926,0.9078474735634392,True,14.67652988433838,9.177075386047363,0.6961178209184612,True,True,I4mm,tetragonal,0.6961178209184612,other oxide (mixed-anion / molecular-ion)
3d26d1d90b,Rb2Os(OF2)2,9,174.23923408493758,4.4711813263108,469.1580128,23.35490380882296,10.143146003151823,0.0794826064286583,0.1218592322999118,0.3103088713212659,1.8384737031657263,0.562224369633318,0.1547375593376704,0.5741265786796494,1.7164352792592203,True,15.537732124328612,9.440876960754396,0.7116654771552492,True,True,I4/mmm,tetragonal,0.7116654771552492,other oxide (mixed-anion / molecular-ion)
ddfd779509,NbAg2OF5,9,145.04003876690055,4.804321503476135,419.634196,47.624110959537,8.342847384274924,0.0806009583204509,0.1817361022009627,0.4172419656898437,2.841021679367547,0.1416843815485321,0.0262012212467625,0.1343960914587737,0.8700388402702852,True,40.55490493774414,14.680231094360352,0.7294016701091176,True,True,Cm,monoclinic,0.7294016701091176,other oxide (mixed-anion / molecular-ion)
8175bee583,Rb2H2SeO,6,143.95019406423845,3.090488943906595,267.91088,17.626313923562982,8.256158994690571,0.0396464267219687,0.0378418868351876,0.2974283457949416,1.7568982855461444,0.7571416248071919,0.510341167358621,0.7504959716912157,1.1028229490105488,True,13.959616661071776,6.92937707901001,0.618445218616117,True,True,P1,triclinic,0.7571416248071919,other oxide (mixed-anion / molecular-ion)
7b2a583a1e,Rb2Te(OF2)2,9,164.83534285889078,4.095333174043256,406.5280128,24.035291917083857,12.181411411310409,0.0264704695820391,0.0630506256679849,0.2832162152552755,1.6732490606440258,0.8922868960159436,0.4990617428157888,0.8885584864924305,1.614254341338151,True,35.073970794677734,9.59460163116455,0.3196480147649813,True,True,C2/m,monoclinic,0.8922868960159436,other oxide (mixed-anion / molecular-ion)
44cc9d9400,NbIClO,8,209.27518949753195,4.304793374395921,542.5265,15.057897490349257,9.630557738917794,0.0515846904033893,0.0950813481441355,0.2364102865556606,1.4368296947004795,0.9387921906087464,0.3587700659685537,0.9330270216094524,2.2138291928234173,True,11.780754089355469,7.249369621276855,0.5908151380592804,True,True,C2,monoclinic,0.9387921906087464,other oxide (mixed-anion / molecular-ion)
0d392955a3,Nb2I3BrO2,8,232.30843707796257,4.849405490141894,678.4289699999999,13.017284324000943,9.276549031788944,0.0216257165428547,0.0484083908325905,0.2120777230210989,1.333157944076756,0.957768116596644,0.6077168291248723,0.9500104928011152,1.47569090021917,True,11.798924446105955,7.893750667572021,0.7091589277169904,True,True,P1,triclinic,0.957768116596644,other oxide (mixed-anion / molecular-ion)
