material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence,family
4212cc1a82,Zn2InBCl2O3,9,197.26837301062093,3.1595806395810184,375.3512,38.31014738170515,11.596109271031244,0.2263022299990277,0.1225658250454414,0.3625255828767723,2.239956479898038,0.5742912765375695,0.128254943578587,0.5857948058289337,2.475035902983278,R32,trigonal,19.29778169889196,moderate,wide,other oxide (mixed-anion / molecular-ion)
8175bee583,Rb2H2SeO,6,143.95019406423845,3.090488943906595,267.91088,17.626313923562982,8.256158994690571,0.1691149593062837,0.17170894814597,0.2974283457949416,1.7568982855461444,0.7571416248071919,0.1187657177853445,0.7518793288364154,3.9992196034383154,P1,triclinic,33.67318177343437,moderate,wide,other oxide (mixed-anion / molecular-ion)
0d392955a3,Nb2I3BrO2,8,232.30843707796257,4.849405490141894,678.4289699999999,13.017284324000943,9.276549031788944,0.0922461991029211,0.2196548472200917,0.2120777230210989,1.333157944076756,0.957768116596644,0.1106310199056111,0.9486571597402436,5.941154855391468,P1,triclinic,53.70243228762041,moderate,wide,other oxide (mixed-anion / molecular-ion)
28362a88b3,Cs2RuOF5,9,197.78041007368003,4.012154978785394,477.8723198,26.53454920792516,8.559582052870217,0.6960907290201547,0.2661397824706619,0.3543681631628513,2.16838721282298,0.347092655709403,0.0170685281151483,0.3556881236238968,6.42892935079956,I4mm,tetragonal,376.6539977805048,wide,wide,other oxide (mixed-anion / molecular-ion)
76149ff4ec,FePb2(BrO)2,7,160.96815805876523,6.829691616073913,662.0518,48.63300814836816,15.51726477266477,0.1846129755375289,0.2172221537319172,0.3558020552213583,2.1806953980991977,0.7700989574657394,0.0773040121035515,0.7924750299529464,6.856758775535627,C2/m,monoclinic,88.69861458614521,moderate,wide,other oxide (mixed-anion / molecular-ion)
2c8d4b19df,Rb2IrOF5,9,173.81992324805017,4.529599646290612,474.144016,18.659174292854544,8.689897887988083,0.3819910614971358,0.2857680971353488,0.2984325541753442,1.7630530552841466,0.4765432878384605,0.0195770574349489,0.4519607987542778,6.909582840736631,I4mm,tetragonal,352.9428701783156,moderate,wide,other oxide (mixed-anion / molecular-ion)
b52c3705f5,Cs2Te(OF2)2,9,189.0866464945939,4.403271261803082,501.4033166,23.98186377479653,10.815774330108134,0.3265768163268195,0.2501250069594705,0.3039705922339317,1.7976078101663655,0.6672588542316138,0.0482159333932357,0.6538525527666736,6.923650420812607,C2/m,monoclinic,143.59673107114276,moderate,wide,other oxide (mixed-anion / molecular-ion)
7b2a583a1e,Rb2Te(OF2)2,9,164.83534285889078,4.095333174043256,406.5280128,24.035291917083857,12.181411411310409,0.1129118752007034,0.2860945243176407,0.2832162152552755,1.6732490606440258,0.8922868960159436,0.0547299578144416,0.8976311557818832,10.740322611972616,C2/m,monoclinic,196.24211384169132,moderate,wide,other oxide (mixed-anion / molecular-ion)
198468c59e,V(OF3)2,9,128.5474611956122,2.5438942944543816,196.9307192,6.24544631054811,3.820818604056623,0.5655925399005157,0.5516605901501603,0.2459241973633341,1.4806256656552186,0.2209559334425295,0.0012096035179963,0.1957883454343145,14.676751751046863,P-1,triclinic,12133.522706149017,wide,wide,other oxide (mixed-anion / molecular-ion)
44cc9d9400,NbIClO,8,209.27518949753195,4.304793374395921,542.5265,15.057897490349257,9.630557738917794,0.2200385643723716,0.4314351012473595,0.2364102865556606,1.4368296947004795,0.9387921906087464,0.0129501272692007,0.8444424933931479,30.31815304785458,C2,monoclinic,2341.147111346165,wide,wide,other oxide (mixed-anion / molecular-ion)
3d26d1d90b,Rb2Os(OF2)2,9,174.23923408493758,4.4711813263108,469.1580128,23.35490380882296,10.143146003151823,0.3390393249309315,0.5529407318198682,0.3103088713212659,1.8384737031657263,0.562224369633318,0.0032350064244623,0.4709615947738822,48.62797257761822,I4/mmm,tetragonal,15031.80092932909,wide,wide,other oxide (mixed-anion / molecular-ion)
ddfd779509,NbAg2OF5,9,145.04003876690055,4.804321503476135,419.634196,47.624110959537,8.342847384274924,0.3438097431075035,0.8246342230498642,0.4172419656898437,2.841021679367547,0.1416843815485321,0.0003307536108247,0.1590464367173954,209.8670711929028,Cm,monoclinic,634511.8067482517,wide,wide,other oxide (mixed-anion / molecular-ion)
