material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,family
848e65516f,YMo2(PO4)3,36,464.8993142201972,4.0411625325333,1131.399872,118.43885654045695,58.37981708973546,1.9766201750407104,0.1869796583702294,0.1506259038671539,2.459144020010968,1.2106930260538613,2.468336173926041,5.218781470962504,3.7863524181518073,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
389de08b35,Rb2Mo(PO4)2,13,221.13888707487845,3.430263597843385,456.818324,96.38694303400818,37.40847746803035,2.024584280044752,0.1984310915259604,0.1248799414400718,2.835017502182928,1.4750795256166254,2.79577971129193,5.227698583256299,4.642352256729246,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
d8661745f5,CaCrNi2(PO4)3,38,446.5896314354847,3.676435461840189,988.749972,139.21456359843418,71.71664869237428,2.0126979214690555,0.1083744243474841,0.0983887500306376,3.1620530575308265,1.933200603245699,3.1878108881772054,5.229640987422241,3.705433736364632,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
50789a4d14,Sr2V5Fe(PO4)6,38,483.2728860948386,3.6271419693750233,1055.620672,124.44940267499295,63.21150800003342,1.9767939293831809,0.1417119181301681,0.1244926262117051,2.804239887985489,1.4844881193717696,2.814900483041592,5.238280094018791,4.008441034596162,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
48a8c0d0e3,K2BO3,12,206.2321930866963,2.20628486914263,274.0116,41.4433076320139,20.179188903533408,1.9648635616588124,0.2210731431228003,0.2107514154461849,1.5662413888810138,0.4651024270162305,1.5415542621696383,5.24011669236863,0.4142314084675043,False,True,"ternary oxide (A-B-O, other ratio)",other oxide (mixed-anion / molecular-ion)
b412435fab,Mn2ZnNi(NO3)8,36,456.8562289053581,2.653401264008709,730.01769,62.04852455857158,29.125269722353973,1.9651140831247031,0.3797137111237864,0.3180178133578295,1.076303687107144,0.2091569400444717,1.063110130632868,5.252755454458204,0.1825097073189967,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
2f40c65f0d,RbY(TeO4)2,24,333.27284401522,5.556197426007578,1115.1377,165.90767773575504,80.86466509600457,2.121463512393014,0.0642628782916657,0.0553999598966332,3.9721301116328447,3.036659977973171,3.9617717073085705,5.254769289529315,4.624189797560145,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
11eb364b46,LiDy(TeO4)2,24,308.6917520029381,5.945568646037244,1105.2723999999998,159.79671335327836,75.6271900240589,2.12744975447987,0.0554331269808383,0.0726109631512407,3.3673527756910966,2.1390778174367298,3.370130616032724,5.25496048195182,2.461841076524064,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
daf28e9225,NdFeTeO6,18,243.5931612753872,5.776375944786806,847.3668,153.25684029400404,74.23466282786644,2.1227181007777114,0.0693426580138575,0.0449364502019831,4.11081361421703,3.169502179651588,4.082061857451707,5.258005201840415,3.884930343330877,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
e908f643d4,Ba2Mg3Fe3(PO4)6,38,482.2386207482125,3.7358522963984537,1084.9321719999998,131.07476135378585,67.80367143666086,1.9963401164549204,0.1262676627588285,0.1117426606017714,3.006881424103375,1.7354985348787273,2.979252559959701,5.260025007119132,3.562097751165141,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
a37ccd62d4,Sr2TiMn(PO4)4,24,316.427961509203,3.452663547966893,657.9304930000001,122.61223496578012,56.38995510812653,2.022298332138692,0.1647431068141346,0.1005742772606414,3.1883843541802057,1.9121695149687523,3.174143912088116,5.263192199917191,5.351301446487183,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
46630a570d,LaPb6IO7,30,704.2969661776672,7.64377383824922,3242.011479999999,86.9123056995393,37.34837447893728,2.095114058458062,0.330889710120563,0.2704046591700901,1.1233869670510137,0.2616143198809007,1.1536707340001815,5.265240545020249,0.3427474844158419,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
80f35387db,MnCr(IO3)6,26,408.2833209667793,4.703020005293887,1156.350165,120.12530064925546,55.83180695127111,2.083796675799062,0.1780783485838347,0.1193403371356372,2.5427350197727354,1.2481147474329752,2.527634092249695,5.265435647276668,2.3109487046336645,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
1c4308a6c9,Nd2CrFe(TeO6)2,18,243.5028006758803,5.752272353317933,843.5179,153.83139138863967,74.83447535270419,2.132542379730305,0.068094631487167,0.0416170842407187,4.127768990351653,3.243544323870027,4.113478088777634,5.265509950459329,4.240959220208682,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
d45a57a91d,TiMo(SeO3)4,18,276.98264227211695,3.906646777165733,651.6397999999999,122.08946678237818,50.42369328932181,2.070039445971088,0.1495707917734008,0.0789864232261062,3.088711781490136,1.750400541301634,3.094479992194219,5.265995255905996,1.1807191550374918,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
9c5ca16b6c,PrDyTe2(RhO6)2,18,241.23192636875248,6.583533956694157,956.41145,158.39087857270454,78.1701124164126,2.122698834334002,0.0606684995825288,0.0420758854891611,4.145691102226227,3.254586371394653,4.102574464976092,5.266117828797733,2.628751599885674,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
b5e44b3c94,Cr2TeO5,32,407.6176288719681,5.07736666331518,1246.3568,183.54105683132408,90.22158737923888,2.097509992172656,0.0679594952249351,0.0615282402179748,4.022132337901771,3.04340852072049,4.022285348416534,5.266226654602288,6.701895715155603,False,True,"ternary oxide (A-B-O, other ratio)",other oxide (mixed-anion / molecular-ion)
b4d55ff1ae,ReSn(P2O7)2,20,281.08676173757806,3.8564817323183815,652.8036480000001,117.10510271104351,50.51703873326735,2.02684258337564,0.187610485460314,0.1159878073133202,2.9412418918198906,1.6915467769925825,2.964371501890694,5.272091889324134,3.690126575095107,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
