material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,family
4a158b834a,Br2NClO,5,169.33276987343618,2.2090515661669885,225.2671,7.131832113817825,7.042634448154167,0.2456375856727646,0.2213387614307548,0.1285286205909243,1.0485493720621315,1.781476008827925,0.1812710371647301,1.654749165993501,10.368232095417412,False,5.180510997772217,5.0040130615234375,1.048699818844606,False,True,other oxide (mixed-anion / molecular-ion)
08b033031d,LaEuClO2,5,103.0260165392084,5.77530305496759,358.32127,63.50362391969456,28.14363045970333,0.0214582118816392,0.0070393387397447,0.3069308188892722,1.8165145716837272,3.5293873540090406,3.16967647403492,3.5381617835517862,3.943273080103967,False,68.479248046875,31.29393196105957,4.274793411297537,False,True,other oxide (mixed-anion / molecular-ion)
288c1e4121,Ce2AsNO,5,93.57960863410668,6.8345309299616295,385.1597,101.72450527301112,49.29735842623344,0.0172148011340046,0.0289898912129824,0.2913903707976156,1.7205861188315414,8.001714088473772,5.972068630739509,8.007745251750332,10.65840384541231,False,96.999267578125,50.126708984375,8.76669208494099,False,True,other oxide (mixed-anion / molecular-ion)
15d59004a8,Ce2PNO,5,89.74036724684879,6.313720848404878,341.21186200000005,112.00616824534208,59.4098190105433,0.0298357517946657,0.0188819583113874,0.2746374673632921,1.6256920015502532,11.917788449794962,9.58794958840222,11.86946775728824,14.80981291950014,False,108.297607421875,56.705177307128906,10.968185364786205,False,True,other oxide (mixed-anion / molecular-ion)
8175bee583,Rb2H2SeO,6,143.95019406423845,3.090488943906595,267.91088,17.626313923562982,8.256158994690571,0.0396464267219687,0.0378418868351876,0.2974283457949416,1.7568982855461444,0.7571416248071919,0.510341167358621,0.7504959716912157,1.1028229490105488,True,13.959616661071776,6.92937707901001,0.618445218616117,True,True,other oxide (mixed-anion / molecular-ion)
b6e1161414,K2H2SeO,6,128.50230311515637,2.263615075097107,175.17188,17.56360282948672,8.976859414871155,0.0200793568531573,0.0352590837536716,0.281647505408919,1.664394443671508,1.0572904435997303,0.7409958311538151,1.0592360916926509,1.4792065897351403,False,18.245826721191406,8.05957317352295,0.7722678976868058,True,True,other oxide (mixed-anion / molecular-ion)
c6650f6db0,Ca2AuBrO2,6,123.2670355070184,5.240588624269615,389.025369,40.59887793403243,17.32679636187861,0.0325529603770421,0.0108610821575315,0.3131860714461617,1.8575080063829,1.5210209727920438,1.2739913580785471,1.5193274094174605,1.8064044093405047,False,55.41992568969727,24.80138397216797,2.739747873882473,False,True,other oxide (mixed-anion / molecular-ion)
7869efb433,NaSb(OF)2,6,83.76256518157585,4.25718918007752,214.74537568,42.44134899683683,21.560215249836048,0.0452385212930334,0.051704019127528,0.2827821262764057,1.6707915939677025,2.4726121733259925,1.441271942315013,2.4544919528414204,4.074975723233425,False,56.413177490234375,34.69551086425781,6.10916676555594,False,True,other oxide (mixed-anion / molecular-ion)
a16ec9d877,Ca2AgClO2,6,117.22278040717458,3.618988371525105,255.476,55.641908562682346,23.34315385836377,0.0167662332311978,0.0441480429324761,0.3159723709362319,1.8762386314201265,2.763357469358065,1.7827715901004004,2.7557532729726,4.281750045358675,False,57.69422149658203,24.12723731994629,2.893846842057641,False,True,other oxide (mixed-anion / molecular-ion)
8fd5f2cf60,PrBi(OF)2,6,95.59470114162409,7.293638742802557,419.88365640000006,91.23468507313866,36.86884140947618,0.0316372197394635,0.0213696534623416,0.3219314604896226,1.917314270203555,3.4672090205319823,2.732687060834955,3.4713922200383447,4.421618799216955,False,88.35664367675781,40.76771545410156,4.644038355733749,False,True,other oxide (mixed-anion / molecular-ion)
218d64ce77,TbBi(OF)2,6,88.9591676026548,8.174000839162085,437.90135640000005,92.70430556478962,41.58877763679602,0.0342700118936722,0.0407551785453551,0.3048707042804282,1.803324027822348,4.283950004221946,2.8398618710157364,4.307166156677575,6.359122683867853,False,98.77439880371094,43.06634521484375,4.379604567413244,False,True,other oxide (mixed-anion / molecular-ion)
c15fc3b290,DyBi(OF)2,6,88.57975410470338,8.276023838940084,441.4760064000001,93.14245532944292,41.94067772470067,0.0347671850171652,0.0326678105811383,0.304239974017988,1.7993155588049692,4.322420142235201,3.086278431315942,4.3258165340679415,6.247975455879358,False,95.54501342773438,44.15925598144531,4.8001749964898455,False,True,other oxide (mixed-anion / molecular-ion)
f2dd1524e5,HoBi(OF)2,6,87.77871467413708,8.397523256798587,443.9063264,93.6555368028007,44.57253781986224,0.027363119782555,0.0269746328875867,0.2946213010211823,1.739870215524744,4.968016843342822,3.762086929430925,4.952105600708579,6.522821956800169,False,99.55711364746094,45.85029602050781,5.007637600864539,False,True,other oxide (mixed-anion / molecular-ion)
1ab6495a3c,LiSb(OF)2,6,70.54044653019731,4.677365880407005,198.6966064,75.55420247441441,54.12083180844935,0.1051953073597284,0.0705593140140175,0.2108759407790921,1.328324461210919,12.3739816303453,5.7167242572405215,12.276395838202635,24.84916423336164,False,76.50773620605469,62.56696319580078,17.292661894563814,False,True,other oxide (mixed-anion / molecular-ion)
76149ff4ec,FePb2(BrO)2,7,160.96815805876523,6.829691616073913,662.0518,48.63300814836816,15.51726477266477,0.0432797006048257,0.0478722643658094,0.3558020552213583,2.1806953980991977,0.7700989574657394,0.4647791518167485,0.7779392724239534,1.2522006641001813,True,29.805828094482425,14.906896591186523,1.176943516394365,False,True,other oxide (mixed-anion / molecular-ion)
0e29714ed6,La2Mn(TeO)2,7,174.3929430732203,5.903034260111626,619.947785,56.43325979955792,19.678468120230374,0.0238981343360349,0.0588165776656315,0.3438037045645012,2.0810744221247552,1.3400877931528965,0.7170104024905651,1.31538321780327,2.425060003969019,False,52.53646469116211,26.47566795349121,3.101744458407164,False,True,other oxide (mixed-anion / molecular-ion)
03af0ea28e,MnSn2(ClO)2,7,151.41085151931742,4.334890069165428,395.262845,33.62561355572042,15.465232244162044,0.0815299555474488,0.0330525574923245,0.3006065408175715,1.7764930526108906,1.4015290650045238,0.8962962686665225,1.3905424262917383,2.1888792428141417,False,19.781784057617188,14.747174263000488,2.0956440566148404,False,True,other oxide (mixed-anion / molecular-ion)
1f9f1806d2,LaPrMn(TeO)2,7,173.6184188775787,5.9485175736115385,621.9499649999999,60.01078065253423,20.719989021547587,0.021637232653146,0.0767800792860007,0.3451824525238051,2.092143864840019,1.424597962434302,0.663045289553139,1.4092003227880383,3.075318468706468,False,54.40096282958984,25.396955490112305,2.677073755934353,False,True,other oxide (mixed-anion / molecular-ion)
d715efd8f5,Nd2Mn(TeO)2,7,169.4908316800822,6.178331538158957,630.6208449999999,59.90380595952939,20.98818835347169,0.0202405774982605,0.0756707740631075,0.343137297968557,2.075757918629421,1.436658118361556,0.669524695428444,1.4811828177760726,3.1285873977191696,False,52.06504440307617,23.93253898620605,2.3451848861993283,False,True,other oxide (mixed-anion / molecular-ion)
13f96d1b07,PrNdMn(TeO)2,7,170.63881447378137,6.104318853630085,627.286495,61.376827726902405,21.297152287956123,0.0177559744448117,0.0879475290980449,0.3444915731077123,2.0865852140455505,1.4650215281404997,0.593241423475435,1.4441088348453823,3.454275162701572,False,54.4356575012207,23.99260711669922,2.270352309867013,False,True,other oxide (mixed-anion / molecular-ion)
9c6b0347d3,ZnSn2(ClO)2,7,144.59020144146055,4.659629904133895,405.7338,41.91599115863081,17.64521576044818,0.059324608656957,0.0288672106290185,0.3154178466799562,1.8724872111025528,1.476668378984808,1.013172910029564,1.483937756087142,2.0705828282145813,False,27.07860565185547,17.826383590698242,2.3596635706548774,False,True,other oxide (mixed-anion / molecular-ion)
3dcd36d0f5,NdSmMn(TeO)2,7,167.24968497265797,6.321863798992198,636.738845,61.11093165865023,21.793098597347782,0.016788033479195,0.0673866610155636,0.3406361706629662,2.055998115353832,1.525429022936413,0.7695539212102193,1.5146608135339206,2.900982784138566,False,55.14290237426758,25.369726181030277,2.5214927937803298,False,True,other oxide (mixed-anion / molecular-ion)
02c977c62e,Pr2Mn(TeO)2,7,172.03122205798454,6.022726000049638,623.9521449999999,63.32736766904019,21.9046398767305,0.0240662576700329,0.0985477742755773,0.3449314979884948,2.0901219837328617,1.5372836646276162,0.587696531059414,1.5351051007826273,4.074092474977165,False,55.49690628051758,23.95329093933105,2.235800662443291,False,True,other oxide (mixed-anion / molecular-ion)
a857982103,Sm2Mn(TeO)2,7,164.63927614427803,6.483804665842176,642.8568449999999,62.620196356237294,22.67718751044868,0.0172224916418025,0.0590475401869019,0.3384338344483117,2.038848194134837,1.617514892518257,0.8974014594697266,1.625356210251396,2.872670997757802,False,57.25887298583984,26.22571563720703,2.590952907958622,False,True,other oxide (mixed-anion / molecular-ion)
