subset,n,mean_abs_diff_gamma,median_abs_diff_gamma,bias_gamma_agl_minus_exp,mean_abs_diff_log10_gamma,median_abs_diff_log10_gamma,bias_log10,pearson_r,spearman_rho,median_gamma_exp,gamma_head_mae_abs,gamma_head_mae_log10_equiv
all matched,43,0.9780639534883722,0.9712800000000001,0.97767,0.30180514388079077,0.28819647883454774,0.3017198011694868,0.24846805407018796,0.17458092332998945,1.06,0.1427122403210425,0.058470885350452355
excluding AFLOW-consistent rows,42,1.0013015476190477,0.9836000000000001,1.0008982142857141,0.30898020644546925,0.28846488494914435,0.30889283176484855,0.28861097693070925,0.212988169923295,1.06,0.1427122403210425,0.058470885350452355
