material_id,formula,n_atoms,K_alignn,G_alignn,Kappa_alignn,alignn_prediction_reliable,Kappa_r9_gamma,K_r9_pred,G_r9_pred
d2bfc879d9,Cs6SmTe4I,24,17.18526840209961,9.865764617919922,0.5413143861212375,True,0.165309922295793,12.16011637987842,6.286097172033515
c23af56c1a,Cs6BiTe4Br,24,12.301610946655272,6.408421516418457,0.2511110363838978,True,0.1914103340383239,13.617946789862971,7.030026921843943
0a47011675,Cs3K3(SbTe3)2,28,17.339237213134766,5.168567657470703,0.0930046549462811,True,0.1799223042423067,13.730881901113372,7.193170615891897
b903a62657,Cs5K7(SbTe3)4,28,16.3092098236084,5.365842819213867,0.1098975080095378,True,0.1860261272156031,13.99873937365462,7.348666414342603
e3d3dd3c8d,Cs5Rb(SbTe3)2,28,16.38372230529785,4.347571849822998,0.0641747666555827,True,0.1726172920297312,13.368490466410464,6.94280475642352
fd18e8576b,Cs4HfTe4,36,16.916290283203125,7.185274600982666,0.1890218018686384,True,0.174987463205514,15.120958364529342,7.77742873220239
85fdcba4cd,Cs12Bi(SbTe4)3,28,15.735976219177246,4.876709938049316,0.089607174106207,True,0.1690713383747399,13.396863834474296,6.940456979899034
c8f38b5aea,Cs5K(SbTe3)2,28,16.60596466064453,4.613694667816162,0.0733943042700528,True,0.1719278587597495,13.327752596788264,6.942537006909913
8111fef992,Cs4K7Rb(SbTe3)4,28,15.6619234085083,5.215097904205322,0.1060483960004369,True,0.1958467678241651,14.416722683802227,7.60690552371271
d560cc829c,Cs6TbTe4I,24,17.03693389892578,8.00164794921875,0.3190319640058038,True,0.1801231690983045,12.84956681666414,6.661243821610644
fd7dd0c5c4,Cs6BiSbTe6,28,15.66835117340088,4.929668426513672,0.0917123953665574,True,0.1718060380813893,13.63150123049308,7.048936045836522
ea4edc98cc,FeH4I4N,20,14.654929161071776,7.443519115447998,0.3152015694491162,True,0.1663391353734694,15.335931566553745,6.400905169390078
902664112f,Cs6SmTe4Br,24,18.057695388793945,10.048735618591309,0.5377215090485628,True,0.1885785070405392,13.34043259936164,6.871093541155525
440afd27c5,Cs6NdTe4Br,24,16.53180694580078,10.097399711608888,0.6033419065428329,True,0.1875106897367527,13.306878075784152,6.832100013662673
332abe2f84,Cs4K8Bi3SbTe12,28,15.477970123291016,5.507914066314697,0.118795125290443,True,0.1927860973358184,14.66021561225614,7.740991096052077
